ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent,precinct_id
28,1,275,275,100.0,28001
28,12,308,308,100.0,28012
28,14,266,266,100.0,28014
28,31,351,351,100.0,28031
28,39,220,220,100.0,28039
28,41,223,223,100.0,28041
28,42,207,207,100.0,28042
28,43,397,397,100.0,28043
29,2,476,476,100.0,29002
29,3,386,386,100.0,29003
29,6,288,288,100.0,29006
29,8,297,297,100.0,29008
29,11,201,201,100.0,29011
29,14,334,334,100.0,29014
29,16,370,370,100.0,29016
29,18,357,357,100.0,29018
29,19,356,356,100.0,29019
29,20,409,409,100.0,29020
29,21,438,438,100.0,29021
29,22,280,280,100.0,29022
29,28,415,415,100.0,29028
29,34,192,192,100.0,29034
29,42,375,375,100.0,29042
37,1,242,242,100.0,37001
37,5,322,322,100.0,37005
37,6,290,290,100.0,37006
37,9,321,321,100.0,37009
37,10,318,318,100.0,37010
37,11,235,235,100.0,37011
37,14,297,297,100.0,37014
37,15,330,330,100.0,37015
37,16,282,282,100.0,37016
37,17,295,295,100.0,37017
37,20,260,260,100.0,37020
37,22,53,53,100.0,37022
37,23,330,330,100.0,37023
37,24,315,315,100.0,37024
37,25,300,300,100.0,37025
37,26,327,327,100.0,37026
37,27,282,282,100.0,37027
37,29,114,114,100.0,37029
37,30,197,197,100.0,37030
37,31,327,327,100.0,37031
37,32,267,267,100.0,37032
37,33,308,308,100.0,37033
37,34,296,296,100.0,37034
37,36,308,308,100.0,37036
37,38,344,344,100.0,37038
37,39,284,284,100.0,37039
37,40,341,341,100.0,37040
37,41,297,297,100.0,37041
