ward,precinct,total,Harish I. Patel,Harish I. Patel Percent,"Jaime M. Andrade, Jr.","Jaime M. Andrade, Jr. Percent",precinct_id
1,41,18,13,72.22,5,27.78,01041
1,42,0,0,0.0,0,0.0,01042
30,3,234,132,56.41,102,43.59,30003
30,7,18,7,38.89,11,61.11,30007
30,8,345,153,44.35,192,55.65,30008
30,15,285,113,39.65,172,60.35,30015
30,18,172,90,52.33,82,47.67,30018
30,22,412,189,45.87,223,54.13,30022
30,23,19,5,26.32,14,73.68,30023
30,24,227,117,51.54,110,48.46,30024
30,25,129,57,44.19,72,55.81,30025
30,28,324,101,31.17,223,68.83,30028
30,32,231,108,46.75,123,53.25,30032
32,1,27,11,40.74,16,59.26,32001
32,3,237,147,62.03,90,37.97,32003
32,17,425,180,42.35,245,57.65,32017
32,26,189,104,55.03,85,44.97,32026
32,28,182,87,47.8,95,52.2,32028
32,43,346,206,59.54,140,40.46,32043
33,1,436,156,35.78,280,64.22,33001
33,2,216,73,33.8,143,66.2,33002
33,3,344,166,48.26,178,51.74,33003
33,4,488,167,34.22,321,65.78,33004
33,5,180,63,35.0,117,65.0,33005
33,6,392,70,17.86,322,82.14,33006
33,7,319,149,46.71,170,53.29,33007
33,9,387,126,32.56,261,67.44,33009
33,11,432,151,34.95,281,65.05,33011
33,12,417,106,25.42,311,74.58,33012
33,13,420,178,42.38,242,57.62,33013
33,14,209,94,44.98,115,55.02,33014
33,15,474,182,38.4,292,61.6,33015
33,16,559,156,27.91,403,72.09,33016
33,17,433,135,31.18,298,68.82,33017
33,18,313,161,51.44,152,48.56,33018
33,19,396,171,43.18,225,56.82,33019
33,20,436,196,44.95,240,55.05,33020
33,21,409,130,31.78,279,68.22,33021
33,22,433,105,24.25,328,75.75,33022
33,25,468,176,37.61,292,62.39,33025
33,26,324,181,55.86,143,44.14,33026
33,27,372,195,52.42,177,47.58,33027
33,28,377,201,53.32,176,46.68,33028
35,1,307,131,42.67,176,57.33,35001
35,4,334,135,40.42,199,59.58,35004
35,5,314,141,44.9,173,55.1,35005
35,6,310,141,45.48,169,54.52,35006
35,9,327,113,34.56,214,65.44,35009
35,20,302,95,31.46,207,68.54,35020
35,22,369,139,37.67,230,62.33,35022
35,23,360,109,30.28,251,69.72,35023
35,24,318,134,42.14,184,57.86,35024
35,26,298,131,43.96,167,56.04,35026
35,27,316,129,40.82,187,59.18,35027
35,29,277,97,35.02,180,64.98,35029
35,30,337,117,34.72,220,65.28,35030
35,31,378,153,40.48,225,59.52,35031
39,3,328,185,56.4,143,43.6,39003
39,6,2,1,50.0,1,50.0,39006
39,12,220,128,58.18,92,41.82,39012
39,25,183,94,51.37,89,48.63,39025
39,28,407,170,41.77,237,58.23,39028
39,31,249,109,43.78,140,56.22,39031
39,34,315,113,35.87,202,64.13,39034
45,1,282,110,39.01,172,60.99,45001
45,2,317,158,49.84,159,50.16,45002
45,3,305,108,35.41,197,64.59,45003
45,4,377,152,40.32,225,59.68,45004
45,5,304,123,40.46,181,59.54,45005
45,6,368,151,41.03,217,58.97,45006
45,7,425,129,30.35,296,69.65,45007
45,8,15,8,53.33,7,46.67,45008
