ward,precinct,total,Scott Waguespack,Scott Waguespack Percent,precinct_id
32,1,267,267,100.0,32001
32,2,213,213,100.0,32002
32,3,367,367,100.0,32003
32,4,257,257,100.0,32004
32,5,218,218,100.0,32005
32,6,229,229,100.0,32006
32,7,223,223,100.0,32007
32,8,254,254,100.0,32008
32,9,248,248,100.0,32009
32,10,198,198,100.0,32010
32,11,318,318,100.0,32011
32,12,248,248,100.0,32012
32,13,204,204,100.0,32013
32,14,314,314,100.0,32014
32,15,219,219,100.0,32015
32,16,247,247,100.0,32016
32,17,320,320,100.0,32017
32,18,191,191,100.0,32018
32,19,233,233,100.0,32019
32,20,310,310,100.0,32020
32,21,264,264,100.0,32021
32,22,397,397,100.0,32022
32,23,223,223,100.0,32023
32,24,141,141,100.0,32024
32,25,216,216,100.0,32025
32,26,327,327,100.0,32026
32,27,174,174,100.0,32027
32,28,313,313,100.0,32028
32,29,312,312,100.0,32029
32,30,160,160,100.0,32030
32,31,245,245,100.0,32031
32,32,246,246,100.0,32032
32,33,201,201,100.0,32033
32,34,249,249,100.0,32034
32,35,215,215,100.0,32035
32,36,248,248,100.0,32036
32,37,209,209,100.0,32037
32,38,205,205,100.0,32038
32,39,177,177,100.0,32039
32,40,261,261,100.0,32040
32,41,241,241,100.0,32041
32,42,225,225,100.0,32042
32,43,296,296,100.0,32043
