ward,precinct,total,Raymond A. Lopez (Clinton),Raymond A. Lopez (Clinton) Percent,Milly Santiago (Clinton),Milly Santiago (Clinton) Percent,"Vicente ''Vince'' Sanchez, Jr. (Clinto","Vicente ''Vince'' Sanchez, Jr. (Clinto Percent",Emanuel ''Chris'' Welch (Clinton),Emanuel ''Chris'' Welch (Clinton) Percent,Barbara P. Guttmann (O'Malley),Barbara P. Guttmann (O'Malley) Percent,Richard Gutierrez (O'Malley),Richard Gutierrez (O'Malley) Percent,Will Guzzardi (Sanders),Will Guzzardi (Sanders) Percent,Andrea Perkins (Sanders),Andrea Perkins (Sanders) Percent,Carlos Ramirez-Rosa (Sanders),Carlos Ramirez-Rosa (Sanders) Percent,Shana East (Sanders),Shana East (Sanders) Percent,Ãlvaro R. ObregÃ³n (Sanders),Ãlvaro R. ObregÃ³n (Sanders) Percent,Melissa Rubio (Sanders),Melissa Rubio (Sanders) Percent,precinct_id
1,1,1610,92,5.71,102,6.34,67,4.16,52,3.23,5,0.31,11,0.68,184,11.43,228,14.16,205,12.73,196,12.17,173,10.75,184,11.43,01001
1,2,1427,88,6.17,104,7.29,64,4.48,49,3.43,16,1.12,17,1.19,161,11.28,185,12.96,180,12.61,170,11.91,133,9.32,158,11.07,01002
1,7,1079,71,6.58,73,6.77,57,5.28,47,4.36,12,1.11,13,1.2,141,13.07,137,12.7,123,11.4,118,10.94,102,9.45,106,9.82,01007
1,9,1162,82,7.06,103,8.86,61,5.25,57,4.91,8,0.69,11,0.95,131,11.27,138,11.88,133,11.45,121,10.41,100,8.61,115,9.9,01009
1,13,643,46,7.15,56,8.71,35,5.44,35,5.44,8,1.24,6,0.93,71,11.04,70,10.89,72,11.2,63,9.8,62,9.64,63,9.8,01013
1,15,1123,74,6.59,94,8.37,61,5.43,59,5.25,7,0.62,6,0.53,112,9.97,153,13.62,123,10.95,129,11.49,103,9.17,114,10.15,01015
1,16,1191,83,6.97,104,8.73,63,5.29,55,4.62,12,1.01,9,0.76,152,12.76,144,12.09,123,10.33,122,10.24,105,8.82,116,9.74,01016
1,17,1386,69,4.98,85,6.13,46,3.32,48,3.46,10,0.72,14,1.01,176,12.7,202,14.57,182,13.13,170,12.27,136,9.81,165,11.9,01017
1,18,1515,100,6.6,111,7.33,84,5.54,72,4.75,8,0.53,10,0.66,156,10.3,205,13.53,173,11.42,185,12.21,145,9.57,153,10.1,01018
1,19,1947,109,5.6,140,7.19,93,4.78,80,4.11,10,0.51,13,0.67,254,13.05,256,13.15,243,12.48,232,11.92,173,8.89,210,10.79,01019
1,20,1259,72,5.72,81,6.43,56,4.45,59,4.69,7,0.56,8,0.64,144,11.44,179,14.22,161,12.79,165,13.11,121,9.61,126,10.01,01020
1,22,984,77,7.83,78,7.93,47,4.78,46,4.67,3,0.3,10,1.02,105,10.67,118,11.99,116,11.79,103,10.47,92,9.35,110,11.18,01022
1,23,2366,126,5.33,146,6.17,97,4.1,103,4.35,13,0.55,11,0.46,312,13.19,321,13.57,309,13.06,291,12.3,235,9.93,246,10.4,01023
1,24,1423,93,6.54,101,7.1,76,5.34,76,5.34,16,1.12,21,1.48,148,10.4,190,13.35,165,11.6,170,11.95,132,9.28,141,9.91,01024
1,25,1401,64,4.57,73,5.21,50,3.57,54,3.85,9,0.64,20,1.43,163,11.63,213,15.2,188,13.42,192,13.7,145,10.35,157,11.21,01025
1,26,1089,67,6.15,90,8.26,60,5.51,48,4.41,11,1.01,12,1.1,107,9.83,135,12.4,140,12.86,109,10.01,101,9.27,127,11.66,01026
1,27,1381,114,8.25,133,9.63,98,7.1,97,7.02,7,0.51,15,1.09,122,8.83,155,11.22,139,10.07,138,9.99,104,7.53,127,9.2,01027
1,29,1342,91,6.78,108,8.05,78,5.81,73,5.44,6,0.45,8,0.6,132,9.84,178,13.26,146,10.88,154,11.48,123,9.17,134,9.99,01029
1,30,1589,109,6.86,119,7.49,90,5.66,92,5.79,14,0.88,11,0.69,170,10.7,190,11.96,192,12.08,173,10.89,141,8.87,163,10.26,01030
1,31,1376,101,7.34,115,8.36,76,5.52,73,5.31,21,1.53,17,1.24,130,9.45,165,11.99,157,11.41,141,10.25,117,8.5,145,10.54,01031
1,34,1346,77,5.72,83,6.17,72,5.35,65,4.83,9,0.67,11,0.82,185,13.74,178,13.22,161,11.96,157,11.66,134,9.96,125,9.29,01034
1,38,1024,62,6.05,83,8.11,48,4.69,51,4.98,9,0.88,10,0.98,107,10.45,133,12.99,125,12.21,124,12.11,96,9.38,103,10.06,01038
1,41,1003,52,5.18,72,7.18,47,4.69,45,4.49,8,0.8,8,0.8,141,14.06,131,13.06,125,12.46,117,11.67,86,8.57,99,9.87,01041
1,42,474,25,5.27,26,5.49,19,4.01,13,2.74,2,0.42,3,0.63,73,15.4,65,13.71,65,13.71,62,13.08,39,8.23,51,10.76,01042
1,43,1010,69,6.83,68,6.73,59,5.84,52,5.15,6,0.59,9,0.89,127,12.57,127,12.57,105,10.4,115,11.39,85,8.42,112,11.09,01043
1,44,1391,75,5.39,90,6.47,74,5.32,70,5.03,5,0.36,11,0.79,150,10.78,191,13.73,178,12.8,179,12.87,139,9.99,137,9.85,01044
11,3,1344,73,5.43,83,6.18,63,4.69,53,3.94,10,0.74,15,1.12,133,9.9,176,13.1,176,13.1,168,12.5,146,10.86,159,11.83,11003
11,37,10,1,10.0,1,10.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,1,10.0,1,10.0,1,10.0,1,10.0,1,10.0,11037
11,38,739,45,6.09,48,6.5,38,5.14,30,4.06,3,0.41,6,0.81,73,9.88,99,13.4,93,12.58,92,12.45,81,10.96,79,10.69,11038
12,2,1011,86,8.51,72,7.12,60,5.93,47,4.65,16,1.58,41,4.06,88,8.7,111,10.98,119,11.77,74,7.32,85,8.41,121,11.97,12002
12,3,301,20,6.64,19,6.31,14,4.65,14,4.65,5,1.66,5,1.66,27,8.97,39,12.96,40,13.29,29,9.63,34,11.3,35,11.63,12003
12,5,738,52,7.05,58,7.86,40,5.42,42,5.69,13,1.76,17,2.3,61,8.27,88,11.92,80,10.84,70,9.49,75,10.16,77,10.43,12005
12,6,1121,106,9.46,96,8.56,96,8.56,72,6.42,19,1.69,25,2.23,71,6.33,109,9.72,117,10.44,73,6.51,103,9.19,108,9.63,12006
12,7,1141,80,7.01,67,5.87,63,5.52,40,3.51,16,1.4,17,1.49,108,9.47,143,12.53,153,13.41,101,8.85,128,11.22,143,12.53,12007
12,8,1301,134,10.3,130,9.99,114,8.76,100,7.69,23,1.77,34,2.61,89,6.84,117,8.99,119,9.15,95,7.3,89,6.84,107,8.22,12008
12,10,1271,87,6.85,86,6.77,76,5.98,48,3.78,10,0.79,22,1.73,97,7.63,149,11.72,171,13.45,106,8.34,151,11.88,157,12.35,12010
12,11,1215,122,10.04,106,8.72,79,6.5,60,4.94,12,0.99,33,2.72,82,6.75,114,9.38,142,11.69,92,7.57,104,8.56,137,11.28,12011
12,12,1096,117,10.68,109,9.95,83,7.57,68,6.2,16,1.46,29,2.65,59,5.38,110,10.04,115,10.49,76,6.93,82,7.48,114,10.4,12012
12,13,1281,119,9.29,126,9.84,96,7.49,77,6.01,20,1.56,25,1.95,77,6.01,123,9.6,140,10.93,96,7.49,113,8.82,148,11.55,12013
12,14,1069,84,7.86,86,8.04,66,6.17,50,4.68,14,1.31,27,2.53,67,6.27,96,8.98,135,12.63,74,6.92,125,11.69,144,13.47,12014
12,15,622,49,7.88,55,8.84,41,6.59,26,4.18,12,1.93,7,1.13,37,5.95,59,9.49,76,12.22,45,7.23,70,11.25,79,12.7,12015
12,16,1092,92,8.42,106,9.71,73,6.68,53,4.85,18,1.65,26,2.38,70,6.41,96,8.79,135,12.36,76,6.96,106,9.71,123,11.26,12016
12,17,1180,100,8.47,89,7.54,72,6.1,62,5.25,22,1.86,21,1.78,90,7.63,119,10.08,146,12.37,91,7.71,110,9.32,140,11.86,12017
12,18,974,65,6.67,67,6.88,54,5.54,39,4.0,12,1.23,17,1.75,88,9.03,112,11.5,122,12.53,95,9.75,102,10.47,119,12.22,12018
12,19,5,1,20.0,1,20.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12019
12,20,1354,121,8.94,122,9.01,84,6.2,78,5.76,19,1.4,22,1.62,94,6.94,137,10.12,157,11.6,102,7.53,128,9.45,161,11.89,12020
12,21,1204,109,9.05,94,7.81,75,6.23,62,5.15,7,0.58,17,1.41,97,8.06,134,11.13,144,11.96,111,9.22,117,9.72,133,11.05,12021
12,22,1267,79,6.24,81,6.39,68,5.37,39,3.08,10,0.79,25,1.97,110,8.68,151,11.92,184,14.52,122,9.63,140,11.05,154,12.15,12022
14,2,1657,144,8.69,154,9.29,120,7.24,100,6.04,28,1.69,44,2.66,130,7.85,155,9.35,177,10.68,129,7.79,161,9.72,146,8.81,14002
14,3,1291,111,8.6,101,7.82,78,6.04,62,4.8,15,1.16,33,2.56,104,8.06,139,10.77,163,12.63,96,7.44,131,10.15,137,10.61,14003
14,5,1346,107,7.95,113,8.4,100,7.43,73,5.42,10,0.74,23,1.71,108,8.02,142,10.55,154,11.44,108,8.02,127,9.44,157,11.66,14005
14,6,562,50,8.9,51,9.07,51,9.07,37,6.58,5,0.89,14,2.49,39,6.94,51,9.07,55,9.79,41,7.3,50,8.9,52,9.25,14006
