ward,precinct,total,Paul Rosenfeld,Paul Rosenfeld Percent,precinct_id
47,1,143,143,100.0,47001
47,2,274,274,100.0,47002
47,3,286,286,100.0,47003
47,4,260,260,100.0,47004
47,5,276,276,100.0,47005
47,6,274,274,100.0,47006
47,7,264,264,100.0,47007
47,8,253,253,100.0,47008
47,9,200,200,100.0,47009
47,10,369,369,100.0,47010
47,11,208,208,100.0,47011
47,12,256,256,100.0,47012
47,13,296,296,100.0,47013
47,14,220,220,100.0,47014
47,15,368,368,100.0,47015
47,16,286,286,100.0,47016
47,17,284,284,100.0,47017
47,18,255,255,100.0,47018
47,19,359,359,100.0,47019
47,20,267,267,100.0,47020
47,21,252,252,100.0,47021
47,22,307,307,100.0,47022
47,23,341,341,100.0,47023
47,24,251,251,100.0,47024
47,25,297,297,100.0,47025
47,26,344,344,100.0,47026
47,27,240,240,100.0,47027
47,28,293,293,100.0,47028
47,29,291,291,100.0,47029
47,30,335,335,100.0,47030
47,31,280,280,100.0,47031
47,32,345,345,100.0,47032
47,33,227,227,100.0,47033
47,34,326,326,100.0,47034
47,35,239,239,100.0,47035
47,36,342,342,100.0,47036
47,37,284,284,100.0,47037
47,38,263,263,100.0,47038
47,39,279,279,100.0,47039
47,40,256,256,100.0,47040
47,41,290,290,100.0,47041
47,42,271,271,100.0,47042
47,43,232,232,100.0,47043
47,44,198,198,100.0,47044
47,45,290,290,100.0,47045
47,46,264,264,100.0,47046
47,47,268,268,100.0,47047
47,48,29,29,100.0,47048
