ward,precinct,total,Anna Loftus,Anna Loftus Percent,Edward J. Underhill,Edward J. Underhill Percent,Carlos Claudio,Carlos Claudio Percent,precinct_id
1,1,296,146,49.32,51,17.23,99,33.45,01001
1,2,282,111,39.36,40,14.18,131,46.45,01002
1,3,255,149,58.43,67,26.27,39,15.29,01003
1,4,234,129,55.13,48,20.51,57,24.36,01004
1,5,233,151,64.81,43,18.45,39,16.74,01005
1,6,255,128,50.2,50,19.61,77,30.2,01006
1,7,209,99,47.37,44,21.05,66,31.58,01007
1,8,206,107,51.94,40,19.42,59,28.64,01008
1,9,227,96,42.29,38,16.74,93,40.97,01009
1,10,228,144,63.16,41,17.98,43,18.86,01010
1,11,248,151,60.89,59,23.79,38,15.32,01011
1,12,265,166,62.64,55,20.75,44,16.6,01012
1,13,124,55,44.35,23,18.55,46,37.1,01013
1,14,271,156,57.56,54,19.93,61,22.51,01014
1,15,270,116,42.96,65,24.07,89,32.96,01015
1,16,258,117,45.35,47,18.22,94,36.43,01016
1,17,283,122,43.11,58,20.49,103,36.4,01017
1,18,303,145,47.85,59,19.47,99,32.67,01018
1,19,364,163,44.78,56,15.38,145,39.84,01019
1,20,237,135,56.96,40,16.88,62,26.16,01020
1,21,232,145,62.5,63,27.16,24,10.34,01021
1,22,187,73,39.04,34,18.18,80,42.78,01022
1,23,411,241,58.64,74,18.0,96,23.36,01023
1,24,247,133,53.85,41,16.6,73,29.55,01024
1,25,267,125,46.82,58,21.72,84,31.46,01025
1,26,241,84,34.85,28,11.62,129,53.53,01026
1,27,273,135,49.45,47,17.22,91,33.33,01027
1,28,102,37,36.27,22,21.57,43,42.16,01028
1,29,239,132,55.23,49,20.5,58,24.27,01029
1,30,318,127,39.94,50,15.72,141,44.34,01030
1,31,291,122,41.92,60,20.62,109,37.46,01031
1,32,249,138,55.42,54,21.69,57,22.89,01032
1,33,250,145,58.0,48,19.2,57,22.8,01033
1,34,246,130,52.85,42,17.07,74,30.08,01034
1,35,273,174,63.74,45,16.48,54,19.78,01035
1,36,222,145,65.32,52,23.42,25,11.26,01036
1,37,246,136,55.28,54,21.95,56,22.76,01037
1,38,254,118,46.46,63,24.8,73,28.74,01038
1,39,218,114,52.29,43,19.72,61,27.98,01039
1,40,252,113,44.84,53,21.03,86,34.13,01040
1,41,190,100,52.63,43,22.63,47,24.74,01041
1,42,92,51,55.43,8,8.7,33,35.87,01042
1,43,215,99,46.05,48,22.33,68,31.63,01043
1,44,246,140,56.91,51,20.73,55,22.36,01044
2,1,231,136,58.87,48,20.78,47,20.35,02001
2,3,246,155,63.01,56,22.76,35,14.23,02003
2,4,223,118,52.91,62,27.8,43,19.28,02004
2,5,273,169,61.9,56,20.51,48,17.58,02005
2,6,260,153,58.85,53,20.38,54,20.77,02006
2,7,206,105,50.97,48,23.3,53,25.73,02007
2,8,225,124,55.11,39,17.33,62,27.56,02008
2,14,259,145,55.98,62,23.94,52,20.08,02014
2,15,220,132,60.0,59,26.82,29,13.18,02015
2,16,195,114,58.46,40,20.51,41,21.03,02016
2,17,273,175,64.1,56,20.51,42,15.38,02017
2,20,2,2,100.0,0,0.0,0,0.0,02020
2,21,257,152,59.14,67,26.07,38,14.79,02021
2,25,231,147,63.64,39,16.88,45,19.48,02025
26,1,214,111,51.87,37,17.29,66,30.84,26001
26,2,60,31,51.67,4,6.67,25,41.67,26002
26,3,216,125,57.87,43,19.91,48,22.22,26003
26,4,169,53,31.36,41,24.26,75,44.38,26004
26,5,226,107,47.35,32,14.16,87,38.5,26005
26,6,229,59,25.76,41,17.9,129,56.33,26006
26,7,192,108,56.25,32,16.67,52,27.08,26007
26,8,131,34,25.95,19,14.5,78,59.54,26008
26,9,210,73,34.76,35,16.67,102,48.57,26009
26,10,123,62,50.41,15,12.2,46,37.4,26010
26,11,227,75,33.04,27,11.89,125,55.07,26011
26,12,229,110,48.03,31,13.54,88,38.43,26012
26,13,153,35,22.88,25,16.34,93,60.78,26013
26,14,196,76,38.78,24,12.24,96,48.98,26014
26,15,128,27,21.09,22,17.19,79,61.72,26015
26,16,143,35,24.48,23,16.08,85,59.44,26016
26,18,199,46,23.12,21,10.55,132,66.33,26018
26,19,128,39,30.47,18,14.06,71,55.47,26019
26,20,208,98,47.12,33,15.87,77,37.02,26020
26,21,280,114,40.71,60,21.43,106,37.86,26021
26,22,144,31,21.53,21,14.58,92,63.89,26022
26,23,157,33,21.02,22,14.01,102,64.97,26023
26,24,179,56,31.28,28,15.64,95,53.07,26024
26,25,175,82,46.86,31,17.71,62,35.43,26025
26,26,150,87,58.0,27,18.0,36,24.0,26026
26,27,223,103,46.19,32,14.35,88,39.46,26027
26,28,196,126,64.29,27,13.78,43,21.94,26028
26,29,119,50,42.02,19,15.97,50,42.02,26029
26,30,190,91,47.89,30,15.79,69,36.32,26030
26,31,103,26,25.24,7,6.8,70,67.96,26031
26,32,213,105,49.3,38,17.84,70,32.86,26032
26,33,208,108,51.92,45,21.63,55,26.44,26033
26,34,235,103,43.83,30,12.77,102,43.4,26034
26,35,180,70,38.89,18,10.0,92,51.11,26035
26,36,200,98,49.0,39,19.5,63,31.5,26036
26,37,245,114,46.53,29,11.84,102,41.63,26037
26,38,123,37,30.08,17,13.82,69,56.1,26038
26,39,208,111,53.37,35,16.83,62,29.81,26039
26,40,133,61,45.86,8,6.02,64,48.12,26040
26,41,235,110,46.81,38,16.17,87,37.02,26041
26,42,168,67,39.88,19,11.31,82,48.81,26042
26,43,126,29,23.02,14,11.11,83,65.87,26043
26,44,149,36,24.16,26,17.45,87,58.39,26044
26,45,93,31,33.33,16,17.2,46,49.46,26045
26,47,146,43,29.45,7,4.79,96,65.75,26047
26,48,195,104,53.33,33,16.92,58,29.74,26048
26,49,141,31,21.99,20,14.18,90,63.83,26049
27,1,164,100,60.98,29,17.68,35,21.34,27001
27,5,11,8,72.73,1,9.09,2,18.18,27005
27,7,276,146,52.9,53,19.2,77,27.9,27007
27,11,103,67,65.05,22,21.36,14,13.59,27011
27,13,352,182,51.7,107,30.4,63,17.9,27013
27,16,5,3,60.0,2,40.0,0,0.0,27016
27,24,33,9,27.27,11,33.33,13,39.39,27024
27,27,25,12,48.0,4,16.0,9,36.0,27027
27,33,41,26,63.41,7,17.07,8,19.51,27033
27,35,31,16,51.61,9,29.03,6,19.35,27035
27,40,235,122,51.91,53,22.55,60,25.53,27040
27,43,112,63,56.25,34,30.36,15,13.39,27043
27,45,3,1,33.33,0,0.0,2,66.67,27045
30,14,191,53,27.75,20,10.47,118,61.78,30014
30,19,290,74,25.52,26,8.97,190,65.52,30019
31,1,165,29,17.58,18,10.91,118,71.52,31001
31,2,167,44,26.35,23,13.77,100,59.88,31002
31,4,238,105,44.12,26,10.92,107,44.96,31004
31,5,188,53,28.19,39,20.74,96,51.06,31005
31,6,169,34,20.12,15,8.88,120,71.01,31006
31,7,264,114,43.18,50,18.94,100,37.88,31007
31,10,165,51,30.91,24,14.55,90,54.55,31010
31,13,195,64,32.82,21,10.77,110,56.41,31013
31,16,223,86,38.57,38,17.04,99,44.39,31016
31,17,109,34,31.19,21,19.27,54,49.54,31017
31,18,168,37,22.02,18,10.71,113,67.26,31018
31,20,155,31,20.0,26,16.77,98,63.23,31020
31,21,179,45,25.14,21,11.73,113,63.13,31021
31,22,158,49,31.01,16,10.13,93,58.86,31022
31,23,153,54,35.29,18,11.76,81,52.94,31023
31,24,207,52,25.12,42,20.29,113,54.59,31024
31,26,203,62,30.54,37,18.23,104,51.23,31026
31,27,158,34,21.52,23,14.56,101,63.92,31027
31,28,182,39,21.43,16,8.79,127,69.78,31028
31,29,193,60,31.09,21,10.88,112,58.03,31029
31,30,138,45,32.61,11,7.97,82,59.42,31030
31,32,152,44,28.95,30,19.74,78,51.32,31032
31,35,130,36,27.69,15,11.54,79,60.77,31035
31,36,175,70,40.0,24,13.71,81,46.29,31036
31,37,157,44,28.03,23,14.65,90,57.32,31037
31,38,193,49,25.39,23,11.92,121,62.69,31038
31,39,188,64,34.04,33,17.55,91,48.4,31039
31,40,182,64,35.16,12,6.59,106,58.24,31040
31,41,188,37,19.68,16,8.51,135,71.81,31041
32,1,266,127,47.74,54,20.3,85,31.95,32001
32,2,214,121,56.54,64,29.91,29,13.55,32002
32,3,370,162,43.78,117,31.62,91,24.59,32003
32,4,237,123,51.9,64,27.0,50,21.1,32004
32,5,195,111,56.92,48,24.62,36,18.46,32005
32,6,204,130,63.73,47,23.04,27,13.24,32006
32,9,230,107,46.52,58,25.22,65,28.26,32009
32,11,313,146,46.65,72,23.0,95,30.35,32011
32,12,266,122,45.86,51,19.17,93,34.96,32012
32,13,171,111,64.91,30,17.54,30,17.54,32013
32,14,320,175,54.69,65,20.31,80,25.0,32014
32,15,193,119,61.66,37,19.17,37,19.17,32015
32,16,222,119,53.6,60,27.03,43,19.37,32016
32,17,334,192,57.49,62,18.56,80,23.95,32017
32,19,26,17,65.38,3,11.54,6,23.08,32019
32,20,321,154,47.98,46,14.33,121,37.69,32020
32,21,44,32,72.73,7,15.91,5,11.36,32021
32,22,407,203,49.88,84,20.64,120,29.48,32022
32,24,114,78,68.42,26,22.81,10,8.77,32024
32,25,26,12,46.15,5,19.23,9,34.62,32025
32,26,330,203,61.52,54,16.36,73,22.12,32026
32,27,150,97,64.67,31,20.67,22,14.67,32027
32,28,330,192,58.18,53,16.06,85,25.76,32028
32,29,300,161,53.67,82,27.33,57,19.0,32029
32,30,141,82,58.16,30,21.28,29,20.57,32030
32,31,231,115,49.78,69,29.87,47,20.35,32031
32,32,233,126,54.08,59,25.32,48,20.6,32032
32,33,192,103,53.65,56,29.17,33,17.19,32033
32,34,219,126,57.53,58,26.48,35,15.98,32034
32,35,189,112,59.26,46,24.34,31,16.4,32035
32,36,222,152,68.47,37,16.67,33,14.86,32036
32,37,187,93,49.73,54,28.88,40,21.39,32037
32,38,190,119,62.63,36,18.95,35,18.42,32038
32,40,224,142,63.39,49,21.88,33,14.73,32040
32,41,208,135,64.9,33,15.87,40,19.23,32041
32,42,201,132,65.67,35,17.41,34,16.92,32042
32,43,279,143,51.25,56,20.07,80,28.67,32043
33,1,336,151,44.94,56,16.67,129,38.39,33001
33,3,402,199,49.5,92,22.89,111,27.61,33003
33,4,417,169,40.53,65,15.59,183,43.88,33004
33,5,249,102,40.96,34,13.65,113,45.38,33005
33,6,330,119,36.06,44,13.33,167,50.61,33006
33,8,418,250,59.81,91,21.77,77,18.42,33008
33,9,304,155,50.99,42,13.82,107,35.2,33009
33,10,283,131,46.29,62,21.91,90,31.8,33010
33,11,339,171,50.44,64,18.88,104,30.68,33011
33,12,350,124,35.43,53,15.14,173,49.43,33012
33,13,357,151,42.3,54,15.13,152,42.58,33013
33,14,168,66,39.29,27,16.07,75,44.64,33014
33,15,398,174,43.72,65,16.33,159,39.95,33015
33,16,471,193,40.98,88,18.68,190,40.34,33016
33,17,350,159,45.43,54,15.43,137,39.14,33017
33,19,325,130,40.0,58,17.85,137,42.15,33019
33,20,404,215,53.22,77,19.06,112,27.72,33020
33,21,361,154,42.66,71,19.67,136,37.67,33021
33,22,356,150,42.13,49,13.76,157,44.1,33022
33,23,319,169,52.98,68,21.32,82,25.71,33023
33,24,420,267,63.57,100,23.81,53,12.62,33024
33,25,379,171,45.12,58,15.3,150,39.58,33025
33,26,274,133,48.54,55,20.07,86,31.39,33026
33,27,299,152,50.84,52,17.39,95,31.77,33027
33,28,322,144,44.72,64,19.88,114,35.4,33028
35,1,247,110,44.53,40,16.19,97,39.27,35001
