ward,precinct,total,Gregory Raymond LaPapa,Gregory Raymond LaPapa Percent,Sean S. Chaudhuri,Sean S. Chaudhuri Percent,Mark A. Lyon,Mark A. Lyon Percent,Carolyn J. Gallagher,Carolyn J. Gallagher Percent,Bonnie Carol McGrath,Bonnie Carol McGrath Percent,precinct_id
1,1,288,43,14.93,28,9.72,66,22.92,115,39.93,36,12.5,01001
1,2,280,50,17.86,30,10.71,51,18.21,111,39.64,38,13.57,01002
1,3,250,20,8.0,27,10.8,60,24.0,112,44.8,31,12.4,01003
1,4,222,24,10.81,22,9.91,46,20.72,98,44.14,32,14.41,01004
1,5,229,15,6.55,23,10.04,48,20.96,104,45.41,39,17.03,01005
1,6,246,34,13.82,20,8.13,59,23.98,99,40.24,34,13.82,01006
1,7,208,30,14.42,22,10.58,58,27.88,73,35.1,25,12.02,01007
1,8,202,28,13.86,26,12.87,49,24.26,65,32.18,34,16.83,01008
1,9,216,40,18.52,25,11.57,38,17.59,76,35.19,37,17.13,01009
1,10,221,21,9.5,18,8.14,64,28.96,85,38.46,33,14.93,01010
1,11,242,15,6.2,21,8.68,73,30.17,105,43.39,28,11.57,01011
1,12,256,25,9.77,25,9.77,64,25.0,103,40.23,39,15.23,01012
1,13,117,26,22.22,14,11.97,22,18.8,44,37.61,11,9.4,01013
1,14,260,30,11.54,26,10.0,67,25.77,103,39.62,34,13.08,01014
1,15,246,27,10.98,32,13.01,48,19.51,103,41.87,36,14.63,01015
1,16,248,42,16.94,21,8.47,40,16.13,107,43.15,38,15.32,01016
1,17,271,42,15.5,22,8.12,62,22.88,107,39.48,38,14.02,01017
1,18,287,36,12.54,39,13.59,60,20.91,113,39.37,39,13.59,01018
1,19,339,56,16.52,37,10.91,65,19.17,124,36.58,57,16.81,01019
1,20,236,33,13.98,24,10.17,52,22.03,104,44.07,23,9.75,01020
1,21,226,11,4.87,29,12.83,76,33.63,83,36.73,27,11.95,01021
1,22,176,24,13.64,19,10.8,37,21.02,71,40.34,25,14.2,01022
1,23,408,46,11.27,41,10.05,103,25.25,162,39.71,56,13.73,01023
1,24,236,40,16.95,19,8.05,44,18.64,94,39.83,39,16.53,01024
1,25,258,30,11.63,28,10.85,62,24.03,93,36.05,45,17.44,01025
1,26,227,46,20.26,26,11.45,38,16.74,86,37.89,31,13.66,01026
1,27,255,41,16.08,21,8.24,59,23.14,96,37.65,38,14.9,01027
1,28,90,26,28.89,9,10.0,13,14.44,25,27.78,17,18.89,01028
1,29,234,28,11.97,24,10.26,50,21.37,94,40.17,38,16.24,01029
1,30,301,56,18.6,35,11.63,51,16.94,110,36.54,49,16.28,01030
1,31,271,49,18.08,21,7.75,57,21.03,102,37.64,42,15.5,01031
1,32,237,23,9.7,30,12.66,54,22.78,96,40.51,34,14.35,01032
1,33,237,19,8.02,34,14.35,45,18.99,103,43.46,36,15.19,01033
1,34,240,42,17.5,19,7.92,52,21.67,91,37.92,36,15.0,01034
1,35,274,29,10.58,22,8.03,60,21.9,118,43.07,45,16.42,01035
1,36,216,16,7.41,29,13.43,60,27.78,81,37.5,30,13.89,01036
1,37,241,23,9.54,24,9.96,54,22.41,100,41.49,40,16.6,01037
1,38,241,29,12.03,20,8.3,50,20.75,103,42.74,39,16.18,01038
1,39,213,31,14.55,25,11.74,52,24.41,73,34.27,32,15.02,01039
1,40,239,39,16.32,21,8.79,46,19.25,92,38.49,41,17.15,01040
1,41,184,23,12.5,12,6.52,43,23.37,77,41.85,29,15.76,01041
1,42,83,14,16.87,7,8.43,22,26.51,29,34.94,11,13.25,01042
1,43,198,19,9.6,13,6.57,48,24.24,82,41.41,36,18.18,01043
1,44,243,20,8.23,28,11.52,60,24.69,109,44.86,26,10.7,01044
2,1,231,26,11.26,34,14.72,64,27.71,89,38.53,18,7.79,02001
2,2,118,8,6.78,21,17.8,37,31.36,39,33.05,13,11.02,02002
2,3,241,20,8.3,31,12.86,66,27.39,93,38.59,31,12.86,02003
2,4,210,17,8.1,23,10.95,49,23.33,89,42.38,32,15.24,02004
2,5,278,20,7.19,25,8.99,70,25.18,115,41.37,48,17.27,02005
2,6,260,21,8.08,48,18.46,51,19.62,110,42.31,30,11.54,02006
2,7,200,24,12.0,22,11.0,53,26.5,76,38.0,25,12.5,02007
2,8,227,24,10.57,31,13.66,45,19.82,95,41.85,32,14.1,02008
2,9,123,7,5.69,12,9.76,33,26.83,49,39.84,22,17.89,02009
2,10,148,4,2.7,31,20.95,47,31.76,48,32.43,18,12.16,02010
2,11,141,8,5.67,20,14.18,39,27.66,46,32.62,28,19.86,02011
2,12,231,27,11.69,34,14.72,66,28.57,52,22.51,52,22.51,02012
2,13,186,15,8.06,23,12.37,60,32.26,72,38.71,16,8.6,02013
2,14,264,19,7.2,45,17.05,58,21.97,108,40.91,34,12.88,02014
2,15,224,8,3.57,27,12.05,60,26.79,92,41.07,37,16.52,02015
2,16,192,10,5.21,18,9.38,56,29.17,72,37.5,36,18.75,02016
2,17,274,20,7.3,33,12.04,66,24.09,123,44.89,32,11.68,02017
2,18,182,15,8.24,18,9.89,42,23.08,69,37.91,38,20.88,02018
2,19,132,8,6.06,31,23.48,45,34.09,33,25.0,15,11.36,02019
2,20,163,13,7.98,19,11.66,50,30.67,63,38.65,18,11.04,02020
2,21,248,14,5.65,33,13.31,71,28.63,106,42.74,24,9.68,02021
2,22,186,8,4.3,21,11.29,66,35.48,65,34.95,26,13.98,02022
2,23,116,6,5.17,22,18.97,27,23.28,35,30.17,26,22.41,02023
2,24,157,8,5.1,21,13.38,43,27.39,61,38.85,24,15.29,02024
2,25,223,17,7.62,31,13.9,60,26.91,79,35.43,36,16.14,02025
2,26,169,13,7.69,23,13.61,42,24.85,65,38.46,26,15.38,02026
2,27,154,10,6.49,23,14.94,37,24.03,53,34.42,31,20.13,02027
2,28,188,7,3.72,26,13.83,61,32.45,66,35.11,28,14.89,02028
2,29,178,6,3.37,21,11.8,49,27.53,73,41.01,29,16.29,02029
2,30,151,5,3.31,13,8.61,42,27.81,60,39.74,31,20.53,02030
2,31,226,14,6.19,20,8.85,64,28.32,75,33.19,53,23.45,02031
2,32,140,10,7.14,19,13.57,42,30.0,48,34.29,21,15.0,02032
2,33,279,14,5.02,32,11.47,97,34.77,88,31.54,48,17.2,02033
2,34,164,10,6.1,27,16.46,49,29.88,58,35.37,20,12.2,02034
2,35,184,13,7.07,21,11.41,45,24.46,79,42.93,26,14.13,02035
2,36,133,10,7.52,16,12.03,26,19.55,59,44.36,22,16.54,02036
2,37,189,11,5.82,24,12.7,49,25.93,66,34.92,39,20.63,02037
2,38,160,5,3.13,28,17.5,51,31.88,48,30.0,28,17.5,02038
2,39,123,11,8.94,15,12.2,27,21.95,44,35.77,26,21.14,02039
2,40,152,8,5.26,14,9.21,40,26.32,64,42.11,26,17.11,02040
2,41,130,12,9.23,16,12.31,36,27.69,42,32.31,24,18.46,02041
2,42,185,16,8.65,17,9.19,44,23.78,71,38.38,37,20.0,02042
2,43,194,7,3.61,25,12.89,65,33.51,64,32.99,33,17.01,02043
2,44,99,5,5.05,14,14.14,31,31.31,40,40.4,9,9.09,02044
2,45,223,20,8.97,23,10.31,59,26.46,72,32.29,49,21.97,02045
2,46,101,4,3.96,8,7.92,31,30.69,39,38.61,19,18.81,02046
3,1,417,45,10.79,44,10.55,92,22.06,156,37.41,80,19.18,03001
3,2,398,35,8.79,47,11.81,72,18.09,137,34.42,107,26.88,03002
3,3,242,35,14.46,28,11.57,53,21.9,75,30.99,51,21.07,03003
3,4,356,24,6.74,56,15.73,70,19.66,140,39.33,66,18.54,03004
3,5,240,29,12.08,20,8.33,58,24.17,93,38.75,40,16.67,03005
3,6,234,12,5.13,32,13.68,52,22.22,94,40.17,44,18.8,03006
3,7,198,24,12.12,19,9.6,50,25.25,70,35.35,35,17.68,03007
3,8,307,33,10.75,26,8.47,74,24.1,96,31.27,78,25.41,03008
3,9,341,40,11.73,50,14.66,80,23.46,112,32.84,59,17.3,03009
3,10,168,14,8.33,11,6.55,43,25.6,63,37.5,37,22.02,03010
3,11,338,32,9.47,38,11.24,69,20.41,124,36.69,75,22.19,03011
3,12,338,38,11.24,36,10.65,62,18.34,119,35.21,83,24.56,03012
3,13,311,17,5.47,50,16.08,66,21.22,120,38.59,58,18.65,03013
3,14,255,21,8.24,31,12.16,59,23.14,99,38.82,45,17.65,03014
