ward,precinct,total,Emil Jones III,Emil Jones III Percent,precinct_id
9,1,311,311,100.0,09001
9,2,282,282,100.0,09002
9,4,237,237,100.0,09004
9,5,285,285,100.0,09005
9,6,305,305,100.0,09006
9,9,65,65,100.0,09009
9,10,278,278,100.0,09010
9,13,85,85,100.0,09013
9,14,391,391,100.0,09014
9,17,246,246,100.0,09017
9,19,325,325,100.0,09019
9,20,342,342,100.0,09020
9,21,266,266,100.0,09021
9,22,321,321,100.0,09022
9,27,289,289,100.0,09027
9,29,247,247,100.0,09029
9,30,267,267,100.0,09030
9,31,189,189,100.0,09031
9,32,270,270,100.0,09032
9,34,259,259,100.0,09034
9,35,302,302,100.0,09035
9,38,82,82,100.0,09038
9,39,328,328,100.0,09039
9,40,337,337,100.0,09040
9,43,157,157,100.0,09043
9,44,52,52,100.0,09044
19,14,302,302,100.0,19014
19,20,273,273,100.0,19020
19,31,195,195,100.0,19031
19,40,269,269,100.0,19040
19,42,211,211,100.0,19042
19,43,418,418,100.0,19043
19,47,447,447,100.0,19047
19,48,379,379,100.0,19048
19,49,380,380,100.0,19049
21,2,136,136,100.0,21002
21,5,362,362,100.0,21005
21,6,270,270,100.0,21006
21,10,274,274,100.0,21010
21,11,278,278,100.0,21011
21,12,277,277,100.0,21012
21,17,241,241,100.0,21017
21,19,324,324,100.0,21019
21,20,80,80,100.0,21020
21,21,277,277,100.0,21021
21,22,176,176,100.0,21022
21,23,274,274,100.0,21023
21,24,277,277,100.0,21024
21,25,278,278,100.0,21025
21,27,309,309,100.0,21027
21,33,315,315,100.0,21033
21,34,130,130,100.0,21034
21,35,325,325,100.0,21035
21,36,248,248,100.0,21036
21,37,241,241,100.0,21037
21,38,314,314,100.0,21038
21,39,242,242,100.0,21039
21,40,263,263,100.0,21040
21,41,313,313,100.0,21041
21,42,181,181,100.0,21042
21,43,2,2,100.0,21043
21,44,196,196,100.0,21044
21,45,272,272,100.0,21045
21,46,304,304,100.0,21046
21,48,190,190,100.0,21048
21,49,324,324,100.0,21049
21,50,268,268,100.0,21050
21,52,36,36,100.0,21052
34,1,356,356,100.0,34001
34,2,271,271,100.0,34002
34,3,347,347,100.0,34003
34,4,273,273,100.0,34004
34,5,283,283,100.0,34005
34,6,376,376,100.0,34006
34,7,345,345,100.0,34007
34,8,271,271,100.0,34008
34,9,254,254,100.0,34009
34,10,316,316,100.0,34010
34,11,261,261,100.0,34011
34,12,358,358,100.0,34012
34,13,319,319,100.0,34013
34,14,256,256,100.0,34014
34,15,262,262,100.0,34015
34,16,254,254,100.0,34016
34,17,382,382,100.0,34017
34,18,247,247,100.0,34018
34,19,359,359,100.0,34019
34,20,380,380,100.0,34020
34,21,396,396,100.0,34021
34,22,305,305,100.0,34022
34,23,261,261,100.0,34023
34,24,325,325,100.0,34024
34,25,360,360,100.0,34025
34,26,333,333,100.0,34026
34,27,268,268,100.0,34027
34,28,253,253,100.0,34028
34,29,254,254,100.0,34029
34,30,324,324,100.0,34030
34,31,268,268,100.0,34031
34,32,319,319,100.0,34032
34,33,270,270,100.0,34033
34,34,355,355,100.0,34034
34,35,347,347,100.0,34035
34,36,305,305,100.0,34036
34,37,227,227,100.0,34037
34,38,181,181,100.0,34038
34,39,267,267,100.0,34039
34,40,361,361,100.0,34040
34,41,249,249,100.0,34041
34,42,321,321,100.0,34042
34,43,285,285,100.0,34043
34,44,315,315,100.0,34044
34,45,339,339,100.0,34045
34,46,221,221,100.0,34046
34,47,313,313,100.0,34047
34,48,332,332,100.0,34048
34,49,388,388,100.0,34049
34,50,267,267,100.0,34050
34,51,333,333,100.0,34051
34,52,266,266,100.0,34052
34,53,244,244,100.0,34053
