ward,precinct,total,James Cappleman,James Cappleman Percent,precinct_id
46,1,195,195,100.0,46001
46,2,259,259,100.0,46002
46,3,316,316,100.0,46003
46,4,275,275,100.0,46004
46,5,265,265,100.0,46005
46,6,214,214,100.0,46006
46,7,303,303,100.0,46007
46,8,185,185,100.0,46008
46,9,299,299,100.0,46009
46,10,345,345,100.0,46010
46,11,214,214,100.0,46011
46,12,272,272,100.0,46012
46,13,267,267,100.0,46013
46,14,253,253,100.0,46014
46,15,244,244,100.0,46015
46,16,310,310,100.0,46016
46,17,299,299,100.0,46017
46,18,268,268,100.0,46018
46,19,177,177,100.0,46019
46,20,247,247,100.0,46020
46,21,179,179,100.0,46021
46,22,139,139,100.0,46022
46,23,240,240,100.0,46023
46,24,266,266,100.0,46024
46,25,262,262,100.0,46025
46,26,278,278,100.0,46026
46,27,318,318,100.0,46027
46,28,275,275,100.0,46028
46,29,220,220,100.0,46029
46,30,272,272,100.0,46030
46,31,247,247,100.0,46031
46,32,248,248,100.0,46032
46,33,308,308,100.0,46033
46,34,288,288,100.0,46034
46,35,339,339,100.0,46035
46,36,240,240,100.0,46036
46,37,159,159,100.0,46037
46,38,234,234,100.0,46038
46,39,247,247,100.0,46039
46,40,242,242,100.0,46040
