ward,precinct,total,Freddrenna M. Lyle,Freddrenna M. Lyle Percent,precinct_id
3,1,375,375,100.0,03001
3,2,362,362,100.0,03002
3,4,342,342,100.0,03004
3,5,203,203,100.0,03005
3,7,193,193,100.0,03007
3,8,268,268,100.0,03008
3,9,328,328,100.0,03009
3,10,144,144,100.0,03010
3,11,312,312,100.0,03011
3,12,326,326,100.0,03012
3,15,284,284,100.0,03015
3,16,296,296,100.0,03016
3,18,391,391,100.0,03018
3,20,316,316,100.0,03020
3,23,273,273,100.0,03023
3,24,251,251,100.0,03024
3,28,188,188,100.0,03028
3,29,287,287,100.0,03029
3,30,278,278,100.0,03030
3,31,369,369,100.0,03031
3,35,150,150,100.0,03035
3,36,172,172,100.0,03036
3,37,253,253,100.0,03037
3,38,260,260,100.0,03038
3,41,242,242,100.0,03041
4,1,367,367,100.0,04001
4,3,286,286,100.0,04003
4,4,417,417,100.0,04004
4,5,323,323,100.0,04005
4,6,278,278,100.0,04006
4,7,373,373,100.0,04007
4,8,382,382,100.0,04008
4,9,405,405,100.0,04009
4,10,388,388,100.0,04010
4,11,328,328,100.0,04011
4,12,392,392,100.0,04012
4,14,307,307,100.0,04014
4,15,400,400,100.0,04015
4,18,278,278,100.0,04018
4,19,276,276,100.0,04019
4,22,298,298,100.0,04022
4,23,379,379,100.0,04023
4,24,287,287,100.0,04024
4,26,298,298,100.0,04026
4,27,342,342,100.0,04027
4,28,298,298,100.0,04028
4,29,314,314,100.0,04029
4,30,400,400,100.0,04030
4,31,342,342,100.0,04031
4,32,338,338,100.0,04032
4,33,339,339,100.0,04033
4,34,265,265,100.0,04034
4,35,397,397,100.0,04035
4,36,351,351,100.0,04036
4,38,366,366,100.0,04038
5,1,251,251,100.0,05001
5,2,285,285,100.0,05002
5,3,277,277,100.0,05003
5,4,326,326,100.0,05004
5,5,264,264,100.0,05005
5,6,257,257,100.0,05006
5,7,313,313,100.0,05007
5,8,256,256,100.0,05008
5,9,359,359,100.0,05009
5,10,232,232,100.0,05010
5,11,286,286,100.0,05011
5,12,63,63,100.0,05012
