ward,precinct,total,Brendan Reilly,Brendan Reilly Percent,precinct_id
42,1,203,203,100.0,42001
42,2,181,181,100.0,42002
42,3,242,242,100.0,42003
42,4,297,297,100.0,42004
42,5,154,154,100.0,42005
42,6,282,282,100.0,42006
42,7,215,215,100.0,42007
42,8,198,198,100.0,42008
42,9,221,221,100.0,42009
42,10,229,229,100.0,42010
42,11,127,127,100.0,42011
42,12,135,135,100.0,42012
42,13,226,226,100.0,42013
42,14,175,175,100.0,42014
42,15,108,108,100.0,42015
42,16,194,194,100.0,42016
42,17,200,200,100.0,42017
42,18,167,167,100.0,42018
42,19,202,202,100.0,42019
42,20,138,138,100.0,42020
42,21,152,152,100.0,42021
42,22,106,106,100.0,42022
42,23,157,157,100.0,42023
42,24,191,191,100.0,42024
42,25,176,176,100.0,42025
42,26,208,208,100.0,42026
42,27,189,189,100.0,42027
42,28,270,270,100.0,42028
42,29,177,177,100.0,42029
42,30,178,178,100.0,42030
42,31,223,223,100.0,42031
42,32,146,146,100.0,42032
42,33,245,245,100.0,42033
42,34,158,158,100.0,42034
42,35,311,311,100.0,42035
42,36,251,251,100.0,42036
42,37,126,126,100.0,42037
42,38,167,167,100.0,42038
42,39,166,166,100.0,42039
42,40,222,222,100.0,42040
42,41,200,200,100.0,42041
42,42,245,245,100.0,42042
