ward,precinct,total,Daryl Jones,Daryl Jones Percent,Robin Denise Shoffner,Robin Denise Shoffner Percent,precinct_id
3,1,421,250,59.38,171,40.62,03001
3,2,396,241,60.86,155,39.14,03002
3,4,387,214,55.3,173,44.7,03004
3,5,239,159,66.53,80,33.47,03005
3,7,263,118,44.87,145,55.13,03007
3,8,301,200,66.45,101,33.55,03008
3,9,354,217,61.3,137,38.7,03009
3,10,164,111,67.68,53,32.32,03010
3,11,334,204,61.08,130,38.92,03011
3,12,349,211,60.46,138,39.54,03012
3,15,320,192,60.0,128,40.0,03015
3,16,326,204,62.58,122,37.42,03016
3,18,434,270,62.21,164,37.79,03018
3,20,351,227,64.67,124,35.33,03020
3,23,301,199,66.11,102,33.89,03023
3,24,279,172,61.65,107,38.35,03024
3,28,210,115,54.76,95,45.24,03028
3,29,330,209,63.33,121,36.67,03029
3,30,304,200,65.79,104,34.21,03030
3,31,404,239,59.16,165,40.84,03031
3,35,153,97,63.4,56,36.6,03035
3,36,191,125,65.45,66,34.55,03036
3,37,271,170,62.73,101,37.27,03037
3,38,282,161,57.09,121,42.91,03038
3,41,252,127,50.4,125,49.6,03041
4,1,370,137,37.03,233,62.97,04001
4,3,328,199,60.67,129,39.33,04003
4,4,471,311,66.03,160,33.97,04004
4,5,335,181,54.03,154,45.97,04005
4,6,302,167,55.3,135,44.7,04006
4,7,410,261,63.66,149,36.34,04007
4,8,408,231,56.62,177,43.38,04008
4,9,422,230,54.5,192,45.5,04009
4,10,413,241,58.35,172,41.65,04010
4,11,366,234,63.93,132,36.07,04011
4,12,409,224,54.77,185,45.23,04012
4,14,339,198,58.41,141,41.59,04014
4,15,446,270,60.54,176,39.46,04015
4,18,309,198,64.08,111,35.92,04018
4,19,326,214,65.64,112,34.36,04019
4,22,315,142,45.08,173,54.92,04022
4,23,416,157,37.74,259,62.26,04023
4,24,312,180,57.69,132,42.31,04024
4,26,360,190,52.78,170,47.22,04026
4,27,362,155,42.82,207,57.18,04027
4,28,328,197,60.06,131,39.94,04028
4,29,345,218,63.19,127,36.81,04029
4,30,466,298,63.95,168,36.05,04030
4,31,341,172,50.44,169,49.56,04031
4,32,375,238,63.47,137,36.53,04032
4,33,380,212,55.79,168,44.21,04033
4,34,294,164,55.78,130,44.22,04034
4,35,436,272,62.39,164,37.61,04035
4,36,377,196,51.99,181,48.01,04036
4,38,394,207,52.54,187,47.46,04038
5,1,278,160,57.55,118,42.45,05001
5,2,310,209,67.42,101,32.58,05002
5,3,278,95,34.17,183,65.83,05003
5,4,374,214,57.22,160,42.78,05004
5,5,288,180,62.5,108,37.5,05005
5,6,284,188,66.2,96,33.8,05006
5,7,319,159,49.84,160,50.16,05007
5,8,255,47,18.43,208,81.57,05008
5,9,354,149,42.09,205,57.91,05009
5,10,264,169,64.02,95,35.98,05010
5,11,299,122,40.8,177,59.2,05011
5,12,73,47,64.38,26,35.62,05012
5,13,278,188,67.63,90,32.37,05013
5,14,302,150,49.67,152,50.33,05014
5,15,302,138,45.7,164,54.3,05015
5,16,318,212,66.67,106,33.33,05016
5,17,282,194,68.79,88,31.21,05017
5,18,281,116,41.28,165,58.72,05018
5,19,257,85,33.07,172,66.93,05019
5,20,322,155,48.14,167,51.86,05020
5,21,285,106,37.19,179,62.81,05021
5,22,317,125,39.43,192,60.57,05022
5,23,438,154,35.16,284,64.84,05023
5,24,312,135,43.27,177,56.73,05024
5,25,312,181,58.01,131,41.99,05025
5,26,316,197,62.34,119,37.66,05026
5,27,204,42,20.59,162,79.41,05027
5,28,353,192,54.39,161,45.61,05028
5,29,363,221,60.88,142,39.12,05029
5,30,250,162,64.8,88,35.2,05030
5,31,279,173,62.01,106,37.99,05031
5,32,365,206,56.44,159,43.56,05032
5,33,336,202,60.12,134,39.88,05033
5,34,277,68,24.55,209,75.45,05034
5,35,307,89,28.99,218,71.01,05035
5,36,235,153,65.11,82,34.89,05036
5,37,260,84,32.31,176,67.69,05037
5,38,352,223,63.35,129,36.65,05038
5,39,215,64,29.77,151,70.23,05039
5,40,263,147,55.89,116,44.11,05040
5,41,154,62,40.26,92,59.74,05041
6,7,297,181,60.94,116,39.06,06007
6,9,299,195,65.22,104,34.78,06009
6,11,298,197,66.11,101,33.89,06011
6,15,177,108,61.02,69,38.98,06015
6,18,23,14,60.87,9,39.13,06018
6,21,108,76,70.37,32,29.63,06021
6,23,156,90,57.69,66,42.31,06023
6,24,186,120,64.52,66,35.48,06024
6,26,175,98,56.0,77,44.0,06026
6,28,146,100,68.49,46,31.51,06028
6,30,231,131,56.71,100,43.29,06030
6,32,257,157,61.09,100,38.91,06032
6,40,24,12,50.0,12,50.0,06040
6,48,305,175,57.38,130,42.62,06048
7,1,256,153,59.77,103,40.23,07001
7,2,259,138,53.28,121,46.72,07002
7,3,272,187,68.75,85,31.25,07003
7,4,293,169,57.68,124,42.32,07004
7,5,201,131,65.17,70,34.83,07005
7,6,332,198,59.64,134,40.36,07006
7,8,214,135,63.08,79,36.92,07008
7,9,411,260,63.26,151,36.74,07009
7,13,8,5,62.5,3,37.5,07013
8,1,224,145,64.73,79,35.27,08001
8,2,195,124,63.59,71,36.41,08002
8,26,112,61,54.46,51,45.54,08026
8,42,371,213,57.41,158,42.59,08042
11,12,341,98,28.74,243,71.26,11012
11,13,309,90,29.13,219,70.87,11013
11,14,99,39,39.39,60,60.61,11014
11,15,83,35,42.17,48,57.83,11015
11,16,151,48,31.79,103,68.21,11016
11,18,215,66,30.7,149,69.3,11018
11,20,175,55,31.43,120,68.57,11020
11,23,150,50,33.33,100,66.67,11023
11,27,86,30,34.88,56,65.12,11027
11,28,135,39,28.89,96,71.11,11028
11,32,116,24,20.69,92,79.31,11032
11,34,67,28,41.79,39,58.21,11034
11,35,54,26,48.15,28,51.85,11035
15,2,183,129,70.49,54,29.51,15002
15,3,177,129,72.88,48,27.12,15003
15,7,205,132,64.39,73,35.61,15007
15,17,154,95,61.69,59,38.31,15017
15,18,194,142,73.2,52,26.8,15018
15,20,150,95,63.33,55,36.67,15020
15,21,213,157,73.71,56,26.29,15021
15,22,82,55,67.07,27,32.93,15022
15,23,205,143,69.76,62,30.24,15023
15,24,191,132,69.11,59,30.89,15024
16,2,193,137,70.98,56,29.02,16002
16,3,210,156,74.29,54,25.71,16003
16,5,229,159,69.43,70,30.57,16005
16,6,229,160,69.87,69,30.13,16006
16,8,169,115,68.05,54,31.95,16008
16,9,289,213,73.7,76,26.3,16009
16,10,211,149,70.62,62,29.38,16010
16,11,24,17,70.83,7,29.17,16011
16,12,211,145,68.72,66,31.28,16012
16,14,189,140,74.07,49,25.93,16014
16,15,247,164,66.4,83,33.6,16015
16,16,216,159,73.61,57,26.39,16016
16,20,193,134,69.43,59,30.57,16020
16,21,192,141,73.44,51,26.56,16021
16,24,141,103,73.05,38,26.95,16024
16,25,249,183,73.49,66,26.51,16025
16,26,179,118,65.92,61,34.08,16026
16,27,178,122,68.54,56,31.46,16027
16,28,199,143,71.86,56,28.14,16028
16,29,160,108,67.5,52,32.5,16029
16,30,184,117,63.59,67,36.41,16030
16,31,213,161,75.59,52,24.41,16031
16,33,201,132,65.67,69,34.33,16033
16,34,221,147,66.52,74,33.48,16034
16,36,173,137,79.19,36,20.81,16036
17,8,6,2,33.33,4,66.67,17008
17,13,202,138,68.32,64,31.68,17013
17,19,64,39,60.94,25,39.06,17019
17,35,16,8,50.0,8,50.0,17035
17,36,118,75,63.56,43,36.44,17036
20,1,253,160,63.24,93,36.76,20001
20,2,117,76,64.96,41,35.04,20002
20,3,220,143,65.0,77,35.0,20003
20,4,81,60,74.07,21,25.93,20004
20,5,259,163,62.93,96,37.07,20005
20,6,140,91,65.0,49,35.0,20006
20,7,292,178,60.96,114,39.04,20007
20,8,236,156,66.1,80,33.9,20008
20,9,309,207,66.99,102,33.01,20009
20,10,218,128,58.72,90,41.28,20010
20,11,337,223,66.17,114,33.83,20011
20,12,183,119,65.03,64,34.97,20012
20,13,279,191,68.46,88,31.54,20013
20,14,150,111,74.0,39,26.0,20014
20,16,312,184,58.97,128,41.03,20016
20,17,8,5,62.5,3,37.5,20017
20,18,205,148,72.2,57,27.8,20018
20,19,281,167,59.43,114,40.57,20019
20,21,218,147,67.43,71,32.57,20021
20,22,331,211,63.75,120,36.25,20022
20,23,273,167,61.17,106,38.83,20023
20,24,255,125,49.02,130,50.98,20024
20,25,195,139,71.28,56,28.72,20025
20,26,278,168,60.43,110,39.57,20026
20,27,161,112,69.57,49,30.43,20027
20,28,176,130,73.86,46,26.14,20028
20,29,298,189,63.42,109,36.58,20029
20,30,139,90,64.75,49,35.25,20030
20,31,316,191,60.44,125,39.56,20031
20,32,278,190,68.35,88,31.65,20032
20,33,156,107,68.59,49,31.41,20033
20,34,337,137,40.65,200,59.35,20034
20,35,218,148,67.89,70,32.11,20035
20,36,103,71,68.93,32,31.07,20036
20,37,99,67,67.68,32,32.32,20037
20,38,112,78,69.64,34,30.36,20038
20,39,43,32,74.42,11,25.58,20039
