ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,O. Patrick Brutus,O. Patrick Brutus Percent,"Howard B. Brookins, Jr.","Howard B. Brookins, Jr. Percent",precinct_id
3,2,28,24,85.71,2,7.14,2,7.14,03002
3,4,409,327,79.95,9,2.2,73,17.85,03004
3,7,325,235,72.31,13,4.0,77,23.69,03007
3,12,47,32,68.09,3,6.38,12,25.53,03012
3,18,197,138,70.05,13,6.6,46,23.35,03018
3,23,98,84,85.71,5,5.1,9,9.18,03023
3,29,0,0,0.0,0,0.0,0,0.0,03029
3,30,383,313,81.72,9,2.35,61,15.93,03030
3,31,18,16,88.89,1,5.56,1,5.56,03031
3,35,188,152,80.85,6,3.19,30,15.96,03035
3,38,372,309,83.06,7,1.88,56,15.05,03038
3,41,347,246,70.89,23,6.63,78,22.48,03041
4,1,470,313,66.6,41,8.72,116,24.68,04001
4,3,441,383,86.85,13,2.95,45,10.2,04003
4,4,105,77,73.33,4,3.81,24,22.86,04004
4,8,468,370,79.06,12,2.56,86,18.38,04008
4,9,542,411,75.83,14,2.58,117,21.59,04009
4,11,189,139,73.54,7,3.7,43,22.75,04011
4,12,497,406,81.69,19,3.82,72,14.49,04012
4,14,373,286,76.68,15,4.02,72,19.3,04014
4,15,414,311,75.12,19,4.59,84,20.29,04015
4,18,418,331,79.19,18,4.31,69,16.51,04018
4,19,463,408,88.12,18,3.89,37,7.99,04019
4,22,437,296,67.73,27,6.18,114,26.09,04022
4,23,540,377,69.81,43,7.96,120,22.22,04023
4,24,408,292,71.57,22,5.39,94,23.04,04024
4,26,461,386,83.73,17,3.69,58,12.58,04026
4,27,454,309,68.06,49,10.79,96,21.15,04027
4,28,161,132,81.99,5,3.11,24,14.91,04028
4,29,294,246,83.67,14,4.76,34,11.56,04029
4,30,561,470,83.78,21,3.74,70,12.48,04030
4,31,452,328,72.57,16,3.54,108,23.89,04031
4,32,467,374,80.09,21,4.5,72,15.42,04032
4,33,478,369,77.2,22,4.6,87,18.2,04033
4,36,260,210,80.77,7,2.69,43,16.54,04036
4,38,495,371,74.95,21,4.24,103,20.81,04038
5,2,378,309,81.75,10,2.65,59,15.61,05002
5,3,390,261,66.92,39,10.0,90,23.08,05003
5,4,468,357,76.28,29,6.2,82,17.52,05004
5,5,427,356,83.37,16,3.75,55,12.88,05005
5,7,396,297,75.0,17,4.29,82,20.71,05007
5,8,380,240,63.16,39,10.26,101,26.58,05008
5,9,474,314,66.24,44,9.28,116,24.47,05009
5,10,193,163,84.46,5,2.59,25,12.95,05010
5,11,159,115,72.33,9,5.66,35,22.01,05011
5,12,337,273,81.01,11,3.26,53,15.73,05012
5,13,359,295,82.17,19,5.29,45,12.53,05013
5,15,392,284,72.45,26,6.63,82,20.92,05015
5,16,413,331,80.15,17,4.12,65,15.74,05016
5,17,414,352,85.02,20,4.83,42,10.14,05017
5,18,230,170,73.91,13,5.65,47,20.43,05018
5,19,375,227,60.53,29,7.73,119,31.73,05019
5,20,451,314,69.62,23,5.1,114,25.28,05020
5,21,414,262,63.29,48,11.59,104,25.12,05021
5,22,436,269,61.7,28,6.42,139,31.88,05022
5,24,429,274,63.87,44,10.26,111,25.87,05024
5,25,112,94,83.93,3,2.68,15,13.39,05025
5,27,320,190,59.38,53,16.56,77,24.06,05027
5,30,335,272,81.19,8,2.39,55,16.42,05030
5,33,452,382,84.51,8,1.77,62,13.72,05033
5,34,428,255,59.58,62,14.49,111,25.93,05034
5,35,343,222,64.72,21,6.12,100,29.15,05035
5,39,303,201,66.34,21,6.93,81,26.73,05039
6,1,410,308,75.12,12,2.93,90,21.95,06001
6,2,391,290,74.17,13,3.32,88,22.51,06002
6,3,402,318,79.1,7,1.74,77,19.15,06003
6,4,291,233,80.07,8,2.75,50,17.18,06004
6,5,265,210,79.25,9,3.4,46,17.36,06005
6,6,378,271,71.69,8,2.12,99,26.19,06006
6,7,372,288,77.42,11,2.96,73,19.62,06007
6,8,404,329,81.44,9,2.23,66,16.34,06008
6,9,394,304,77.16,19,4.82,71,18.02,06009
6,10,278,232,83.45,11,3.96,35,12.59,06010
6,11,388,314,80.93,12,3.09,62,15.98,06011
6,12,319,270,84.64,10,3.13,39,12.23,06012
6,13,286,219,76.57,8,2.8,59,20.63,06013
6,14,347,279,80.4,17,4.9,51,14.7,06014
6,15,366,308,84.15,15,4.1,43,11.75,06015
6,16,401,290,72.32,15,3.74,96,23.94,06016
6,17,310,266,85.81,5,1.61,39,12.58,06017
6,18,281,239,85.05,9,3.2,33,11.74,06018
6,19,361,286,79.22,12,3.32,63,17.45,06019
6,20,254,213,83.86,8,3.15,33,12.99,06020
6,21,103,87,84.47,3,2.91,13,12.62,06021
6,22,266,225,84.59,10,3.76,31,11.65,06022
6,23,253,197,77.87,6,2.37,50,19.76,06023
6,24,278,227,81.65,13,4.68,38,13.67,06024
6,25,251,199,79.28,10,3.98,42,16.73,06025
6,26,321,267,83.18,18,5.61,36,11.21,06026
6,27,248,204,82.26,5,2.02,39,15.73,06027
6,28,220,191,86.82,8,3.64,21,9.55,06028
6,29,402,298,74.13,13,3.23,91,22.64,06029
6,30,341,278,81.52,10,2.93,53,15.54,06030
6,31,379,292,77.04,12,3.17,75,19.79,06031
6,32,360,276,76.67,6,1.67,78,21.67,06032
6,33,403,318,78.91,10,2.48,75,18.61,06033
6,34,386,307,79.53,7,1.81,72,18.65,06034
6,35,361,289,80.06,11,3.05,61,16.9,06035
6,36,426,331,77.7,7,1.64,88,20.66,06036
6,37,387,275,71.06,24,6.2,88,22.74,06037
6,38,414,317,76.57,18,4.35,79,19.08,06038
6,39,360,286,79.44,18,5.0,56,15.56,06039
6,40,337,267,79.23,9,2.67,61,18.1,06040
6,41,416,318,76.44,13,3.13,85,20.43,06041
6,42,389,308,79.18,9,2.31,72,18.51,06042
6,43,326,263,80.67,14,4.29,49,15.03,06043
6,44,382,294,76.96,13,3.4,75,19.63,06044
6,45,415,312,75.18,9,2.17,94,22.65,06045
6,46,260,207,79.62,6,2.31,47,18.08,06046
6,47,319,271,84.95,7,2.19,41,12.85,06047
6,48,396,311,78.54,19,4.8,66,16.67,06048
7,1,158,131,82.91,3,1.9,24,15.19,07001
8,1,285,241,84.56,3,1.05,41,14.39,08001
8,2,383,322,84.07,14,3.66,47,12.27,08002
8,3,409,308,75.31,20,4.89,81,19.8,08003
8,4,220,164,74.55,10,4.55,46,20.91,08004
8,5,395,296,74.94,9,2.28,90,22.78,08005
8,6,387,316,81.65,5,1.29,66,17.05,08006
8,8,368,281,76.36,11,2.99,76,20.65,08008
8,10,453,313,69.09,23,5.08,117,25.83,08010
8,11,330,269,81.52,9,2.73,52,15.76,08011
8,12,332,248,74.7,20,6.02,64,19.28,08012
8,13,432,345,79.86,20,4.63,67,15.51,08013
8,14,323,268,82.97,8,2.48,47,14.55,08014
8,15,353,287,81.3,9,2.55,57,16.15,08015
8,16,151,124,82.12,2,1.32,25,16.56,08016
8,18,355,297,83.66,11,3.1,47,13.24,08018
8,19,425,332,78.12,13,3.06,80,18.82,08019
8,20,409,333,81.42,14,3.42,62,15.16,08020
8,21,466,381,81.76,16,3.43,69,14.81,08021
8,22,331,270,81.57,8,2.42,53,16.01,08022
8,23,312,257,82.37,10,3.21,45,14.42,08023
8,24,224,175,78.13,6,2.68,43,19.2,08024
8,25,376,300,79.79,14,3.72,62,16.49,08025
8,26,394,312,79.19,18,4.57,64,16.24,08026
8,27,103,80,77.67,1,0.97,22,21.36,08027
8,29,442,339,76.7,17,3.85,86,19.46,08029
8,30,413,313,75.79,16,3.87,84,20.34,08030
8,31,293,216,73.72,11,3.75,66,22.53,08031
8,33,370,277,74.86,16,4.32,77,20.81,08033
8,34,335,268,80.0,8,2.39,59,17.61,08034
8,35,411,292,71.05,23,5.6,96,23.36,08035
8,37,323,235,72.76,12,3.72,76,23.53,08037
8,38,255,205,80.39,13,5.1,37,14.51,08038
8,40,307,242,78.83,7,2.28,58,18.89,08040
8,41,370,307,82.97,9,2.43,54,14.59,08041
8,43,204,164,80.39,1,0.49,39,19.12,08043
8,44,262,217,82.82,10,3.82,35,13.36,08044
8,45,401,330,82.29,16,3.99,55,13.72,08045
8,47,313,256,81.79,4,1.28,53,16.93,08047
8,48,370,288,77.84,16,4.32,66,17.84,08048
8,49,325,249,76.62,15,4.62,61,18.77,08049
8,50,256,205,80.08,5,1.95,46,17.97,08050
8,51,407,324,79.61,10,2.46,73,17.94,08051
8,52,481,355,73.8,17,3.53,109,22.66,08052
8,54,337,272,80.71,12,3.56,53,15.73,08054
8,55,295,242,82.03,9,3.05,44,14.92,08055
8,56,381,288,75.59,10,2.62,83,21.78,08056
9,12,382,291,76.18,7,1.83,84,21.99,09012
9,23,388,281,72.42,12,3.09,95,24.48,09023
9,24,379,289,76.25,9,2.37,81,21.37,09024
9,25,347,272,78.39,11,3.17,64,18.44,09025
9,36,326,262,80.37,7,2.15,57,17.48,09036
9,42,377,263,69.76,16,4.24,98,25.99,09042
9,47,381,259,67.98,7,1.84,115,30.18,09047
9,48,378,275,72.75,19,5.03,84,22.22,09048
9,49,393,284,72.26,12,3.05,97,24.68,09049
9,50,480,344,71.67,13,2.71,123,25.63,09050
9,51,355,246,69.3,9,2.54,100,28.17,09051
13,19,396,189,47.73,82,20.71,125,31.57,13019
13,41,45,28,62.22,8,17.78,9,20.0,13041
