ward,precinct,total,Gregory Harris,Gregory Harris Percent,precinct_id
33,18,131,131,100.0,33018
39,13,26,26,100.0,39013
39,22,180,180,100.0,39022
39,30,89,89,100.0,39030
40,1,212,212,100.0,40001
40,2,233,233,100.0,40002
40,3,360,360,100.0,40003
40,4,32,32,100.0,40004
40,5,294,294,100.0,40005
40,6,344,344,100.0,40006
40,7,320,320,100.0,40007
40,8,408,408,100.0,40008
40,9,195,195,100.0,40009
40,10,64,64,100.0,40010
40,11,272,272,100.0,40011
40,12,221,221,100.0,40012
40,13,465,465,100.0,40013
40,14,224,224,100.0,40014
40,15,240,240,100.0,40015
40,16,382,382,100.0,40016
40,17,231,231,100.0,40017
40,18,226,226,100.0,40018
40,19,337,337,100.0,40019
40,20,249,249,100.0,40020
40,21,347,347,100.0,40021
40,22,297,297,100.0,40022
40,23,371,371,100.0,40023
40,24,195,195,100.0,40024
40,25,390,390,100.0,40025
40,26,320,320,100.0,40026
40,27,407,407,100.0,40027
40,29,201,201,100.0,40029
40,30,234,234,100.0,40030
40,31,355,355,100.0,40031
40,32,330,330,100.0,40032
40,33,318,318,100.0,40033
40,34,214,214,100.0,40034
40,35,195,195,100.0,40035
40,36,260,260,100.0,40036
40,37,272,272,100.0,40037
40,38,387,387,100.0,40038
40,39,40,40,100.0,40039
46,1,235,235,100.0,46001
46,2,286,286,100.0,46002
46,4,301,301,100.0,46004
46,6,259,259,100.0,46006
46,8,223,223,100.0,46008
46,12,335,335,100.0,46012
46,14,280,280,100.0,46014
46,16,354,354,100.0,46016
46,20,276,276,100.0,46020
46,21,217,217,100.0,46021
46,22,212,212,100.0,46022
46,23,266,266,100.0,46023
46,25,294,294,100.0,46025
46,26,169,169,100.0,46026
46,29,167,167,100.0,46029
46,32,298,298,100.0,46032
46,37,181,181,100.0,46037
46,40,276,276,100.0,46040
47,5,250,250,100.0,47005
47,10,433,433,100.0,47010
47,15,447,447,100.0,47015
47,19,450,450,100.0,47019
47,20,316,316,100.0,47020
47,22,364,364,100.0,47022
47,23,410,410,100.0,47023
47,26,415,415,100.0,47026
47,28,318,318,100.0,47028
47,30,394,394,100.0,47030
47,31,323,323,100.0,47031
47,32,404,404,100.0,47032
47,34,380,380,100.0,47034
47,36,408,408,100.0,47036
47,37,337,337,100.0,47037
47,38,310,310,100.0,47038
47,39,3,3,100.0,47039
47,41,310,310,100.0,47041
47,42,325,325,100.0,47042
47,45,339,339,100.0,47045
48,4,315,315,100.0,48004
48,7,1,1,100.0,48007
48,14,74,74,100.0,48014
48,17,319,319,100.0,48017
48,20,249,249,100.0,48020
48,21,373,373,100.0,48021
48,23,333,333,100.0,48023
48,24,301,301,100.0,48024
48,35,221,221,100.0,48035
48,38,99,99,100.0,48038
