ward,precinct,total,Christopher Taliaferro,Christopher Taliaferro Percent,precinct_id
29,1,301,301,100.0,29001
29,2,426,426,100.0,29002
29,3,293,293,100.0,29003
29,4,310,310,100.0,29004
29,5,235,235,100.0,29005
29,6,260,260,100.0,29006
29,7,259,259,100.0,29007
29,8,246,246,100.0,29008
29,9,259,259,100.0,29009
29,10,338,338,100.0,29010
29,11,181,181,100.0,29011
29,12,361,361,100.0,29012
29,13,289,289,100.0,29013
29,14,273,273,100.0,29014
29,15,303,303,100.0,29015
29,16,272,272,100.0,29016
29,17,243,243,100.0,29017
29,18,316,316,100.0,29018
29,19,304,304,100.0,29019
29,20,335,335,100.0,29020
29,21,395,395,100.0,29021
29,22,207,207,100.0,29022
29,23,240,240,100.0,29023
29,24,239,239,100.0,29024
29,25,287,287,100.0,29025
29,26,243,243,100.0,29026
29,27,244,244,100.0,29027
29,28,361,361,100.0,29028
29,29,218,218,100.0,29029
29,30,296,296,100.0,29030
29,31,177,177,100.0,29031
29,32,193,193,100.0,29032
29,33,195,195,100.0,29033
29,34,133,133,100.0,29034
29,35,226,226,100.0,29035
29,36,242,242,100.0,29036
29,37,269,269,100.0,29037
29,38,216,216,100.0,29038
29,39,227,227,100.0,29039
29,40,327,327,100.0,29040
29,41,238,238,100.0,29041
29,42,300,300,100.0,29042
29,43,324,324,100.0,29043
29,44,345,345,100.0,29044
