ward,precinct,total,John C. D'Amico,John C. D'Amico Percent,Jac Charlier,Jac Charlier Percent,precinct_id
33,2,233,147,63.09,86,36.91,33002
33,7,68,56,82.35,12,17.65,33007
35,30,10,5,50.0,5,50.0,35030
39,1,287,151,52.61,136,47.39,39001
39,2,257,206,80.16,51,19.84,39002
39,4,259,145,55.98,114,44.02,39004
39,5,320,172,53.75,148,46.25,39005
39,6,309,220,71.2,89,28.8,39006
39,7,276,140,50.72,136,49.28,39007
39,8,400,297,74.25,103,25.75,39008
39,9,311,222,71.38,89,28.62,39009
39,10,166,100,60.24,66,39.76,39010
39,11,309,211,68.28,98,31.72,39011
39,12,163,105,64.42,58,35.58,39012
39,13,204,113,55.39,91,44.61,39013
39,14,249,162,65.06,87,34.94,39014
39,15,319,204,63.95,115,36.05,39015
39,16,225,165,73.33,60,26.67,39016
39,17,347,179,51.59,168,48.41,39017
39,18,305,137,44.92,168,55.08,39018
39,19,297,166,55.89,131,44.11,39019
39,24,11,7,63.64,4,36.36,39024
39,25,60,39,65.0,21,35.0,39025
39,26,252,141,55.95,111,44.05,39026
39,27,64,20,31.25,44,68.75,39027
39,29,153,94,61.44,59,38.56,39029
39,30,266,113,42.48,153,57.52,39030
39,31,29,19,65.52,10,34.48,39031
39,32,231,146,63.2,85,36.8,39032
39,33,319,198,62.07,121,37.93,39033
39,35,295,119,40.34,176,59.66,39035
39,36,94,65,69.15,29,30.85,39036
39,37,309,141,45.63,168,54.37,39037
39,38,173,104,60.12,69,39.88,39038
39,39,195,104,53.33,91,46.67,39039
39,40,236,141,59.75,95,40.25,39040
39,41,281,147,52.31,134,47.69,39041
39,42,335,184,54.93,151,45.07,39042
39,43,289,138,47.75,151,52.25,39043
39,44,245,62,25.31,183,74.69,39044
39,45,301,130,43.19,171,56.81,39045
41,6,388,174,44.85,214,55.15,41006
41,9,301,120,39.87,181,60.13,41009
41,14,359,149,41.5,210,58.5,41014
41,19,349,77,22.06,272,77.94,41019
41,32,221,148,66.97,73,33.03,41032
41,39,299,166,55.52,133,44.48,41039
41,47,291,142,48.8,149,51.2,41047
45,32,90,54,60.0,36,40.0,45032
50,24,138,78,56.52,60,43.48,50024
50,25,25,9,36.0,16,64.0,50025
