ward,precinct,total,Colleen Patricia Burns (Clinton),Colleen Patricia Burns (Clinton) Percent,Michael E. Hastings (Clinton),Michael E. Hastings (Clinton) Percent,Clarisol Duque (Clinton),Clarisol Duque (Clinton) Percent,Jorge Ramirez (Clinton),Jorge Ramirez (Clinton) Percent,Shirley Madigan (Clinton),Shirley Madigan (Clinton) Percent,Josephine Singler (O'Malley),Josephine Singler (O'Malley) Percent,Nancy Heskin Jados (O'Malley),Nancy Heskin Jados (O'Malley) Percent,Edward D. Maloney (O'Malley),Edward D. Maloney (O'Malley) Percent,Matthew Lafond (O'Malley),Matthew Lafond (O'Malley) Percent,Nathaniel Harris (Sanders),Nathaniel Harris (Sanders) Percent,Rebecca Davies (Sanders),Rebecca Davies (Sanders) Percent,Daniel Buys (Sanders),Daniel Buys (Sanders) Percent,Myriam Calvache (Sanders),Myriam Calvache (Sanders) Percent,Maureen Sullivan (Sanders),Maureen Sullivan (Sanders) Percent,precinct_id
11,1,1165,102,8.76,92,7.9,91,7.81,108,9.27,106,9.1,14,1.2,7,0.6,17,1.46,8,0.69,118,10.13,127,10.9,112,9.61,122,10.47,132,11.33,11001
11,4,1286,118,9.18,107,8.32,102,7.93,124,9.64,112,8.71,12,0.93,12,0.93,11,0.86,11,0.86,123,9.56,142,11.04,128,9.95,126,9.8,146,11.35,11004
11,5,1815,111,6.12,94,5.18,91,5.01,110,6.06,110,6.06,15,0.83,19,1.05,19,1.05,13,0.72,246,13.55,251,13.83,228,12.56,236,13.0,260,14.33,11005
11,8,1294,90,6.96,68,5.26,73,5.64,99,7.65,86,6.65,14,1.08,14,1.08,21,1.62,10,0.77,159,12.29,167,12.91,149,11.51,161,12.44,169,13.06,11008
11,9,1197,103,8.6,94,7.85,88,7.35,103,8.6,97,8.1,11,0.92,10,0.84,14,1.17,7,0.58,135,11.28,137,11.45,126,10.53,119,9.94,138,11.53,11009
11,10,1132,108,9.54,100,8.83,99,8.75,106,9.36,112,9.89,11,0.97,7,0.62,15,1.33,10,0.88,108,9.54,112,9.89,110,9.72,111,9.81,112,9.89,11010
11,11,1300,98,7.54,95,7.31,97,7.46,113,8.69,103,7.92,9,0.69,5,0.38,13,1.0,5,0.38,148,11.38,158,12.15,144,11.08,147,11.31,157,12.08,11011
11,12,1560,157,10.06,118,7.56,119,7.63,133,8.53,140,8.97,27,1.73,21,1.35,35,2.24,26,1.67,151,9.68,145,9.29,143,9.17,132,8.46,180,11.54,11012
11,13,1345,123,9.14,104,7.73,103,7.66,114,8.48,119,8.85,25,1.86,20,1.49,32,2.38,17,1.26,132,9.81,133,9.89,129,9.59,122,9.07,150,11.15,11013
11,15,488,43,8.81,35,7.17,37,7.58,43,8.81,51,10.45,12,2.46,8,1.64,13,2.66,5,1.02,45,9.22,49,10.04,43,8.81,43,8.81,54,11.07,11015
11,16,840,69,8.21,66,7.86,69,8.21,69,8.21,73,8.69,10,1.19,9,1.07,11,1.31,3,0.36,92,10.95,96,11.43,85,10.12,84,10.0,99,11.79,11016
11,17,1670,124,7.43,107,6.41,104,6.23,119,7.13,119,7.13,12,0.72,25,1.5,14,0.84,15,0.9,199,11.92,215,12.87,190,11.38,199,11.92,213,12.75,11017
11,18,1107,107,9.67,92,8.31,97,8.76,109,9.85,108,9.76,14,1.26,9,0.81,16,1.45,13,1.17,96,8.67,107,9.67,108,9.76,102,9.21,113,10.21,11018
11,19,1849,119,6.44,95,5.14,103,5.57,138,7.46,112,6.06,13,0.7,18,0.97,15,0.81,14,0.76,229,12.39,258,13.95,232,12.55,242,13.09,245,13.25,11019
11,20,897,98,10.93,92,10.26,87,9.7,90,10.03,85,9.48,14,1.56,7,0.78,11,1.23,8,0.89,80,8.92,76,8.47,73,8.14,79,8.81,86,9.59,11020
11,21,1784,196,10.99,177,9.92,165,9.25,188,10.54,187,10.48,16,0.9,17,0.95,18,1.01,14,0.78,151,8.46,161,9.02,147,8.24,150,8.41,180,10.09,11021
11,22,1692,152,8.98,141,8.33,134,7.92,149,8.81,147,8.69,21,1.24,14,0.83,20,1.18,15,0.89,178,10.52,174,10.28,175,10.34,172,10.17,185,10.93,11022
11,23,833,95,11.4,83,9.96,80,9.6,90,10.8,83,9.96,3,0.36,8,0.96,10,1.2,4,0.48,72,8.64,77,9.24,66,7.92,70,8.4,85,10.2,11023
11,24,1704,184,10.8,173,10.15,178,10.45,189,11.09,183,10.74,20,1.17,12,0.7,24,1.41,15,0.88,141,8.27,145,8.51,132,7.75,131,7.69,158,9.27,11024
11,25,1566,136,8.68,119,7.6,120,7.66,150,9.58,132,8.43,17,1.09,14,0.89,25,1.6,16,1.02,160,10.22,173,11.05,149,9.51,159,10.15,170,10.86,11025
11,26,1628,158,9.71,146,8.97,143,8.78,148,9.09,151,9.28,16,0.98,13,0.8,21,1.29,13,0.8,154,9.46,165,10.14,159,9.77,157,9.64,171,10.5,11026
11,27,452,47,10.4,41,9.07,38,8.41,43,9.51,42,9.29,2,0.44,2,0.44,0,0.0,1,0.22,50,11.06,47,10.4,45,9.96,43,9.51,48,10.62,11027
11,28,625,58,9.28,48,7.68,47,7.52,57,9.12,60,9.6,6,0.96,2,0.32,13,2.08,7,1.12,64,10.24,65,10.4,58,9.28,56,8.96,72,11.52,11028
11,29,1411,154,10.91,130,9.21,135,9.57,145,10.28,143,10.13,17,1.2,8,0.57,19,1.35,11,0.78,122,8.65,128,9.07,128,9.07,119,8.43,133,9.43,11029
11,31,1145,118,10.31,96,8.38,89,7.77,109,9.52,106,9.26,19,1.66,20,1.75,29,2.53,10,0.87,104,9.08,108,9.43,89,7.77,93,8.12,127,11.09,11031
11,32,584,51,8.73,43,7.36,48,8.22,45,7.71,55,9.42,6,1.03,5,0.86,9,1.54,2,0.34,61,10.45,65,11.13,63,10.79,61,10.45,66,11.3,11032
11,37,10,1,10.0,1,10.0,1,10.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,1,10.0,1,10.0,1,10.0,1,10.0,11037
12,1,1289,91,7.06,82,6.36,89,6.9,119,9.23,95,7.37,17,1.32,9,0.7,26,2.02,12,0.93,147,11.4,162,12.57,141,10.94,146,11.33,139,10.78,12001
12,3,1263,92,7.28,72,5.7,76,6.02,104,8.23,93,7.36,6,0.48,10,0.79,14,1.11,10,0.79,166,13.14,161,12.75,144,11.4,149,11.8,155,12.27,12003
12,4,1376,98,7.12,84,6.1,89,6.47,137,9.96,100,7.27,21,1.53,19,1.38,19,1.38,9,0.65,158,11.48,168,12.21,144,10.47,153,11.12,162,11.77,12004
12,5,377,34,9.02,24,6.37,24,6.37,36,9.55,30,7.96,6,1.59,3,0.8,8,2.12,1,0.27,39,10.34,45,11.94,37,9.81,40,10.61,42,11.14,12005
12,8,36,2,5.56,2,5.56,2,5.56,3,8.33,2,5.56,0,0.0,0,0.0,0,0.0,0,0.0,4,11.11,5,13.89,5,13.89,5,13.89,5,13.89,12008
12,9,1083,93,8.59,83,7.66,89,8.22,118,10.9,88,8.13,12,1.11,13,1.2,17,1.57,4,0.37,107,9.88,115,10.62,109,10.06,110,10.16,108,9.97,12009
12,19,1234,80,6.48,63,5.11,85,6.89,135,10.94,94,7.62,9,0.73,10,0.81,21,1.7,9,0.73,150,12.16,156,12.64,130,10.53,143,11.59,135,10.94,12019
12,23,1306,96,7.35,80,6.13,80,6.13,133,10.18,93,7.12,11,0.84,6,0.46,16,1.23,9,0.69,154,11.79,171,13.09,139,10.64,156,11.94,149,11.41,12023
13,1,1144,125,10.93,117,10.23,113,9.88,137,11.98,130,11.36,12,1.05,13,1.14,22,1.92,16,1.4,91,7.95,89,7.78,80,6.99,86,7.52,98,8.57,13001
13,2,1176,129,10.97,115,9.78,113,9.61,119,10.12,123,10.46,17,1.45,13,1.11,19,1.62,13,1.11,99,8.42,101,8.59,97,8.25,94,7.99,107,9.1,13002
13,3,1020,92,9.02,84,8.24,78,7.65,109,10.69,96,9.41,9,0.88,11,1.08,10,0.98,6,0.59,107,10.49,116,11.37,93,9.12,99,9.71,100,9.8,13003
13,4,1189,130,10.93,129,10.85,127,10.68,151,12.7,136,11.44,18,1.51,20,1.68,27,2.27,16,1.35,86,7.23,82,6.9,75,6.31,83,6.98,89,7.49,13004
13,5,1498,143,9.55,128,8.54,137,9.15,176,11.75,156,10.41,10,0.67,6,0.4,17,1.13,5,0.33,145,9.68,161,10.75,132,8.81,133,8.88,137,9.15,13005
13,6,1240,125,10.08,122,9.84,115,9.27,123,9.92,125,10.08,17,1.37,18,1.45,26,2.1,17,1.37,108,8.71,101,8.15,101,8.15,105,8.47,117,9.44,13006
13,7,1079,126,11.68,119,11.03,116,10.75,155,14.37,130,12.05,8,0.74,8,0.74,12,1.11,6,0.56,83,7.69,83,7.69,75,6.95,72,6.67,78,7.23,13007
13,8,949,90,9.48,80,8.43,81,8.54,95,10.01,90,9.48,20,2.11,17,1.79,24,2.53,18,1.9,81,8.54,86,9.06,76,8.01,83,8.75,88,9.27,13008
13,9,1154,100,8.67,100,8.67,97,8.41,125,10.83,105,9.1,9,0.78,8,0.69,11,0.95,8,0.69,110,9.53,120,10.4,111,9.62,114,9.88,121,10.49,13009
13,10,913,73,8.0,67,7.34,62,6.79,75,8.21,77,8.43,17,1.86,14,1.53,22,2.41,14,1.53,87,9.53,97,10.62,94,10.3,93,10.19,98,10.73,13010
13,11,1337,158,11.82,144,10.77,144,10.77,166,12.42,160,11.97,15,1.12,11,0.82,19,1.42,17,1.27,85,6.36,94,7.03,93,6.96,98,7.33,115,8.6,13011
13,12,1156,99,8.56,92,7.96,91,7.87,117,10.12,113,9.78,11,0.95,15,1.3,19,1.64,10,0.87,119,10.29,118,10.21,113,9.78,113,9.78,116,10.03,13012
13,13,1440,178,12.36,164,11.39,168,11.67,198,13.75,193,13.4,11,0.76,12,0.83,16,1.11,11,0.76,92,6.39,102,7.08,87,6.04,98,6.81,96,6.67,13013
13,14,1229,111,9.03,106,8.62,105,8.54,137,11.15,123,10.01,13,1.06,15,1.22,20,1.63,10,0.81,115,9.36,120,9.76,106,8.62,111,9.03,124,10.09,13014
13,15,2109,200,9.48,188,8.91,183,8.68,253,12.0,209,9.91,26,1.23,24,1.14,32,1.52,15,0.71,185,8.77,207,9.82,175,8.3,186,8.82,197,9.34,13015
13,16,995,92,9.25,92,9.25,87,8.74,129,12.96,100,10.05,7,0.7,8,0.8,11,1.11,13,1.31,91,9.15,93,9.35,89,8.94,89,8.94,86,8.64,13016
13,17,1184,140,11.82,124,10.47,127,10.73,148,12.5,141,11.91,14,1.18,14,1.18,17,1.44,9,0.76,87,7.35,86,7.26,83,7.01,82,6.93,95,8.02,13017
13,18,886,82,9.26,68,7.67,70,7.9,90,10.16,84,9.48,20,2.26,25,2.82,21,2.37,11,1.24,77,8.69,87,9.82,67,7.56,72,8.13,93,10.5,13018
13,20,679,62,9.13,62,9.13,56,8.25,59,8.69,68,10.01,10,1.47,8,1.18,16,2.36,11,1.62,65,9.57,58,8.54,57,8.39,63,9.28,70,10.31,13020
13,21,1228,119,9.69,110,8.96,103,8.39,115,9.36,122,9.93,21,1.71,20,1.63,31,2.52,12,0.98,106,8.63,104,8.47,108,8.79,108,8.79,132,10.75,13021
