ward,precinct,total,Carrie M. Austin,Carrie M. Austin Percent,precinct_id
34,1,348,348,100.0,34001
34,2,230,230,100.0,34002
34,3,310,310,100.0,34003
34,4,225,225,100.0,34004
34,5,263,263,100.0,34005
34,6,366,366,100.0,34006
34,7,327,327,100.0,34007
34,8,266,266,100.0,34008
34,9,233,233,100.0,34009
34,10,287,287,100.0,34010
34,11,237,237,100.0,34011
34,12,325,325,100.0,34012
34,13,286,286,100.0,34013
34,14,234,234,100.0,34014
34,15,244,244,100.0,34015
34,16,237,237,100.0,34016
34,17,358,358,100.0,34017
34,18,214,214,100.0,34018
34,19,325,325,100.0,34019
34,20,335,335,100.0,34020
34,21,394,394,100.0,34021
34,22,276,276,100.0,34022
34,23,225,225,100.0,34023
34,24,292,292,100.0,34024
34,25,323,323,100.0,34025
34,26,329,329,100.0,34026
34,27,233,233,100.0,34027
34,28,224,224,100.0,34028
34,29,230,230,100.0,34029
34,30,280,280,100.0,34030
34,31,252,252,100.0,34031
34,32,300,300,100.0,34032
34,33,236,236,100.0,34033
34,34,338,338,100.0,34034
34,35,327,327,100.0,34035
34,36,261,261,100.0,34036
34,37,194,194,100.0,34037
34,38,167,167,100.0,34038
34,39,229,229,100.0,34039
34,40,317,317,100.0,34040
34,41,212,212,100.0,34041
34,42,274,274,100.0,34042
34,43,272,272,100.0,34043
34,44,323,323,100.0,34044
34,45,327,327,100.0,34045
34,46,200,200,100.0,34046
34,47,276,276,100.0,34047
34,48,322,322,100.0,34048
34,49,372,372,100.0,34049
34,50,245,245,100.0,34050
34,51,314,314,100.0,34051
34,52,250,250,100.0,34052
34,53,226,226,100.0,34053
