ward,precinct,total,Scott Edward Lipinski,Scott Edward Lipinski Percent,Rossana Patricia Fernandez,Rossana Patricia Fernandez Percent,precinct_id
1,1,302,59,19.54,243,80.46,01001
1,2,286,60,20.98,226,79.02,01002
1,3,248,62,25.0,186,75.0,01003
1,4,235,63,26.81,172,73.19,01004
1,5,234,65,27.78,169,72.22,01005
1,6,258,52,20.16,206,79.84,01006
1,7,209,49,23.44,160,76.56,01007
1,8,208,61,29.33,147,70.67,01008
1,9,225,46,20.44,179,79.56,01009
1,10,234,58,24.79,176,75.21,01010
1,11,251,54,21.51,197,78.49,01011
1,12,261,73,27.97,188,72.03,01012
1,13,126,25,19.84,101,80.16,01013
1,14,264,59,22.35,205,77.65,01014
1,15,263,50,19.01,213,80.99,01015
1,16,261,33,12.64,228,87.36,01016
1,17,282,43,15.25,239,84.75,01017
1,18,305,55,18.03,250,81.97,01018
1,19,357,72,20.17,285,79.83,01019
1,20,243,45,18.52,198,81.48,01020
1,21,235,69,29.36,166,70.64,01021
1,22,185,41,22.16,144,77.84,01022
1,23,417,70,16.79,347,83.21,01023
1,24,243,47,19.34,196,80.66,01024
1,25,269,45,16.73,224,83.27,01025
1,26,231,41,17.75,190,82.25,01026
1,27,261,52,19.92,209,80.08,01027
1,28,88,25,28.41,63,71.59,01028
1,29,237,49,20.68,188,79.32,01029
1,30,306,62,20.26,244,79.74,01030
1,31,281,71,25.27,210,74.73,01031
1,32,245,65,26.53,180,73.47,01032
1,33,252,65,25.79,187,74.21,01033
1,34,239,55,23.01,184,76.99,01034
1,35,280,93,33.21,187,66.79,01035
1,36,227,65,28.63,162,71.37,01036
1,37,255,79,30.98,176,69.02,01037
1,38,242,56,23.14,186,76.86,01038
1,39,221,50,22.62,171,77.38,01039
1,40,246,72,29.27,174,70.73,01040
1,41,191,34,17.8,157,82.2,01041
1,42,91,20,21.98,71,78.02,01042
1,43,203,49,24.14,154,75.86,01043
1,44,249,43,17.27,206,82.73,01044
2,1,237,67,28.27,170,71.73,02001
2,2,123,47,38.21,76,61.79,02002
2,3,249,68,27.31,181,72.69,02003
2,4,227,60,26.43,167,73.57,02004
2,5,281,58,20.64,223,79.36,02005
2,6,262,77,29.39,185,70.61,02006
2,7,205,51,24.88,154,75.12,02007
2,8,228,52,22.81,176,77.19,02008
2,9,125,45,36.0,80,64.0,02009
2,10,162,62,38.27,100,61.73,02010
2,11,157,56,35.67,101,64.33,02011
2,12,234,66,28.21,168,71.79,02012
2,13,193,63,32.64,130,67.36,02013
2,14,273,65,23.81,208,76.19,02014
2,15,232,50,21.55,182,78.45,02015
2,16,199,50,25.13,149,74.87,02016
2,17,284,91,32.04,193,67.96,02017
2,18,193,60,31.09,133,68.91,02018
2,19,128,39,30.47,89,69.53,02019
2,20,168,52,30.95,116,69.05,02020
2,21,265,59,22.26,206,77.74,02021
2,22,196,48,24.49,148,75.51,02022
2,23,118,49,41.53,69,58.47,02023
2,24,154,33,21.43,121,78.57,02024
2,25,225,49,21.78,176,78.22,02025
2,26,181,54,29.83,127,70.17,02026
2,27,160,44,27.5,116,72.5,02027
2,28,195,52,26.67,143,73.33,02028
2,29,181,57,31.49,124,68.51,02029
2,30,168,47,27.98,121,72.02,02030
2,31,237,82,34.6,155,65.4,02031
2,32,142,40,28.17,102,71.83,02032
2,33,284,78,27.46,206,72.54,02033
2,34,173,58,33.53,115,66.47,02034
2,35,187,53,28.34,134,71.66,02035
2,36,139,47,33.81,92,66.19,02036
2,37,202,70,34.65,132,65.35,02037
2,38,156,46,29.49,110,70.51,02038
2,39,122,50,40.98,72,59.02,02039
2,40,158,49,31.01,109,68.99,02040
2,41,141,47,33.33,94,66.67,02041
2,42,186,50,26.88,136,73.12,02042
2,43,197,49,24.87,148,75.13,02043
2,44,103,31,30.1,72,69.9,02044
2,45,215,71,33.02,144,66.98,02045
2,46,104,21,20.19,83,79.81,02046
3,1,407,126,30.96,281,69.04,03001
3,2,396,134,33.84,262,66.16,03002
3,3,237,84,35.44,153,64.56,03003
3,4,359,94,26.18,265,73.82,03004
3,5,231,79,34.2,152,65.8,03005
3,6,248,68,27.42,180,72.58,03006
3,7,205,71,34.63,134,65.37,03007
3,8,310,105,33.87,205,66.13,03008
3,9,343,98,28.57,245,71.43,03009
3,10,168,66,39.29,102,60.71,03010
3,11,329,105,31.91,224,68.09,03011
3,12,342,78,22.81,264,77.19,03012
3,13,311,83,26.69,228,73.31,03013
3,14,254,72,28.35,182,71.65,03014
3,15,305,86,28.2,219,71.8,03015
3,16,322,90,27.95,232,72.05,03016
3,17,289,79,27.34,210,72.66,03017
3,18,479,142,29.65,337,70.35,03018
3,19,254,69,27.17,185,72.83,03019
3,20,343,98,28.57,245,71.43,03020
3,21,261,89,34.1,172,65.9,03021
3,22,299,70,23.41,229,76.59,03022
3,23,301,104,34.55,197,65.45,03023
3,24,270,88,32.59,182,67.41,03024
3,25,320,89,27.81,231,72.19,03025
3,26,318,72,22.64,246,77.36,03026
3,27,256,54,21.09,202,78.91,03027
3,28,212,60,28.3,152,71.7,03028
3,29,330,111,33.64,219,66.36,03029
3,30,298,74,24.83,224,75.17,03030
3,31,395,114,28.86,281,71.14,03031
3,32,262,63,24.05,199,75.95,03032
3,33,283,57,20.14,226,79.86,03033
3,34,305,95,31.15,210,68.85,03034
3,35,145,42,28.97,103,71.03,03035
3,36,186,74,39.78,112,60.22,03036
3,37,271,82,30.26,189,69.74,03037
3,38,265,77,29.06,188,70.94,03038
3,39,279,74,26.52,205,73.48,03039
3,40,311,80,25.72,231,74.28,03040
3,41,241,59,24.48,182,75.52,03041
4,1,377,59,15.65,318,84.35,04001
4,2,280,61,21.79,219,78.21,04002
4,3,312,101,32.37,211,67.63,04003
4,4,457,139,30.42,318,69.58,04004
4,5,334,85,25.45,249,74.55,04005
4,6,398,111,27.89,287,72.11,04006
4,7,394,118,29.95,276,70.05,04007
4,8,391,92,23.53,299,76.47,04008
4,9,394,90,22.84,304,77.16,04009
4,10,397,91,22.92,306,77.08,04010
4,11,349,90,25.79,259,74.21,04011
4,12,395,100,25.32,295,74.68,04012
4,13,225,54,24.0,171,76.0,04013
4,14,326,94,28.83,232,71.17,04014
4,15,420,92,21.9,328,78.1,04015
4,16,334,78,23.35,256,76.65,04016
4,17,318,61,19.18,257,80.82,04017
4,18,299,104,34.78,195,65.22,04018
4,19,300,104,34.67,196,65.33,04019
