ward,precinct,total,Aleksandra ''Alex'' Gillespie,Aleksandra ''Alex'' Gillespie Percent,Thomas Maloney Cushing,Thomas Maloney Cushing Percent,precinct_id
1,1,281,189,67.26,92,32.74,01001
1,2,273,161,58.97,112,41.03,01002
1,3,250,154,61.6,96,38.4,01003
1,4,226,139,61.5,87,38.5,01004
1,5,212,133,62.74,79,37.26,01005
1,6,240,151,62.92,89,37.08,01006
1,7,207,126,60.87,81,39.13,01007
1,8,191,117,61.26,74,38.74,01008
1,9,210,133,63.33,77,36.67,01009
1,10,220,127,57.73,93,42.27,01010
1,11,237,148,62.45,89,37.55,01011
1,12,256,178,69.53,78,30.47,01012
1,13,119,76,63.87,43,36.13,01013
1,14,255,138,54.12,117,45.88,01014
1,15,248,161,64.92,87,35.08,01015
1,16,240,163,67.92,77,32.08,01016
1,17,269,171,63.57,98,36.43,01017
1,18,283,181,63.96,102,36.04,01018
1,19,336,236,70.24,100,29.76,01019
1,20,233,167,71.67,66,28.33,01020
1,21,226,128,56.64,98,43.36,01021
1,22,175,116,66.29,59,33.71,01022
1,23,396,240,60.61,156,39.39,01023
1,24,241,153,63.49,88,36.51,01024
1,25,257,160,62.26,97,37.74,01025
1,26,213,144,67.61,69,32.39,01026
1,27,252,176,69.84,76,30.16,01027
1,28,83,49,59.04,34,40.96,01028
1,29,232,145,62.5,87,37.5,01029
1,30,296,199,67.23,97,32.77,01030
1,31,264,186,70.45,78,29.55,01031
1,32,233,161,69.1,72,30.9,01032
1,33,238,159,66.81,79,33.19,01033
1,34,234,154,65.81,80,34.19,01034
1,35,273,174,63.74,99,36.26,01035
1,36,217,138,63.59,79,36.41,01036
1,37,240,152,63.33,88,36.67,01037
1,38,232,147,63.36,85,36.64,01038
1,39,206,121,58.74,85,41.26,01039
1,40,240,151,62.92,89,37.08,01040
1,41,175,97,55.43,78,44.57,01041
1,42,82,52,63.41,30,36.59,01042
1,43,198,123,62.12,75,37.88,01043
1,44,242,149,61.57,93,38.43,01044
2,1,232,151,65.09,81,34.91,02001
2,2,122,74,60.66,48,39.34,02002
2,3,246,140,56.91,106,43.09,02003
2,4,214,142,66.36,72,33.64,02004
2,5,276,176,63.77,100,36.23,02005
2,6,260,183,70.38,77,29.62,02006
2,7,204,128,62.75,76,37.25,02007
2,8,222,143,64.41,79,35.59,02008
2,9,120,68,56.67,52,43.33,02009
2,10,151,81,53.64,70,46.36,02010
2,11,144,78,54.17,66,45.83,02011
2,12,234,140,59.83,94,40.17,02012
2,13,193,91,47.15,102,52.85,02013
2,14,261,176,67.43,85,32.57,02014
2,15,219,121,55.25,98,44.75,02015
2,16,194,121,62.37,73,37.63,02016
2,17,267,164,61.42,103,38.58,02017
2,18,182,117,64.29,65,35.71,02018
2,19,125,65,52.0,60,48.0,02019
2,20,170,97,57.06,73,42.94,02020
2,21,247,152,61.54,95,38.46,02021
2,22,191,101,52.88,90,47.12,02022
2,23,114,57,50.0,57,50.0,02023
2,24,154,92,59.74,62,40.26,02024
2,25,216,129,59.72,87,40.28,02025
2,26,175,116,66.29,59,33.71,02026
2,27,153,85,55.56,68,44.44,02027
2,28,183,90,49.18,93,50.82,02028
2,29,180,106,58.89,74,41.11,02029
2,30,156,85,54.49,71,45.51,02030
2,31,222,121,54.5,101,45.5,02031
2,32,140,80,57.14,60,42.86,02032
2,33,277,154,55.6,123,44.4,02033
2,34,160,84,52.5,76,47.5,02034
2,35,177,98,55.37,79,44.63,02035
2,36,132,77,58.33,55,41.67,02036
2,37,192,112,58.33,80,41.67,02037
2,38,158,81,51.27,77,48.73,02038
2,39,119,74,62.18,45,37.82,02039
2,40,153,97,63.4,56,36.6,02040
2,41,135,87,64.44,48,35.56,02041
2,42,181,113,62.43,68,37.57,02042
2,43,192,113,58.85,79,41.15,02043
2,44,101,50,49.5,51,50.5,02044
2,45,221,140,63.35,81,36.65,02045
2,46,99,51,51.52,48,48.48,02046
3,1,409,281,68.7,128,31.3,03001
3,2,394,264,67.01,130,32.99,03002
3,3,231,139,60.17,92,39.83,03003
3,4,357,268,75.07,89,24.93,03004
3,5,232,155,66.81,77,33.19,03005
3,6,236,152,64.41,84,35.59,03006
3,7,199,130,65.33,69,34.67,03007
3,8,298,176,59.06,122,40.94,03008
3,9,336,243,72.32,93,27.68,03009
3,10,170,109,64.12,61,35.88,03010
3,11,337,232,68.84,105,31.16,03011
3,12,326,233,71.47,93,28.53,03012
3,13,296,174,58.78,122,41.22,03013
3,14,254,163,64.17,91,35.83,03014
3,15,308,194,62.99,114,37.01,03015
3,16,309,214,69.26,95,30.74,03016
3,17,279,188,67.38,91,32.62,03017
3,18,459,306,66.67,153,33.33,03018
3,19,245,142,57.96,103,42.04,03019
3,20,336,217,64.58,119,35.42,03020
3,21,253,167,66.01,86,33.99,03021
3,22,294,207,70.41,87,29.59,03022
3,23,301,192,63.79,109,36.21,03023
3,24,274,189,68.98,85,31.02,03024
3,25,311,192,61.74,119,38.26,03025
3,26,296,179,60.47,117,39.53,03026
3,27,241,164,68.05,77,31.95,03027
3,28,210,143,68.1,67,31.9,03028
3,29,336,214,63.69,122,36.31,03029
3,30,292,196,67.12,96,32.88,03030
3,31,395,257,65.06,138,34.94,03031
3,32,259,149,57.53,110,42.47,03032
3,33,280,180,64.29,100,35.71,03033
3,34,296,194,65.54,102,34.46,03034
3,35,141,96,68.09,45,31.91,03035
3,36,185,126,68.11,59,31.89,03036
3,37,265,186,70.19,79,29.81,03037
3,38,270,174,64.44,96,35.56,03038
3,39,263,154,58.56,109,41.44,03039
3,40,307,201,65.47,106,34.53,03040
3,41,235,160,68.09,75,31.91,03041
4,1,371,241,64.96,130,35.04,04001
4,2,267,175,65.54,92,34.46,04002
4,3,315,211,66.98,104,33.02,04003
4,4,444,292,65.77,152,34.23,04004
4,5,313,212,67.73,101,32.27,04005
4,6,390,265,67.95,125,32.05,04006
4,7,383,270,70.5,113,29.5,04007
4,8,388,296,76.29,92,23.71,04008
4,9,390,274,70.26,116,29.74,04009
4,10,391,268,68.54,123,31.46,04010
4,11,349,242,69.34,107,30.66,04011
4,12,398,276,69.35,122,30.65,04012
4,13,224,148,66.07,76,33.93,04013
4,14,326,227,69.63,99,30.37,04014
4,15,409,287,70.17,122,29.83,04015
4,16,320,206,64.38,114,35.63,04016
4,17,314,201,64.01,113,35.99,04017
4,18,292,196,67.12,96,32.88,04018
4,19,302,202,66.89,100,33.11,04019
4,20,237,134,56.54,103,43.46,04020
4,21,320,217,67.81,103,32.19,04021
4,22,309,193,62.46,116,37.54,04022
4,23,408,287,70.34,121,29.66,04023
4,24,302,196,64.9,106,35.1,04024
4,25,275,165,60.0,110,40.0,04025
4,26,326,186,57.06,140,42.94,04026
4,27,366,243,66.39,123,33.61,04027
4,28,313,216,69.01,97,30.99,04028
4,29,324,231,71.3,93,28.7,04029
4,30,440,287,65.23,153,34.77,04030
4,31,335,252,75.22,83,24.78,04031
4,32,347,261,75.22,86,24.78,04032
4,33,356,240,67.42,116,32.58,04033
4,34,282,178,63.12,104,36.88,04034
4,35,414,286,69.08,128,30.92,04035
4,36,364,259,71.15,105,28.85,04036
4,37,290,169,58.28,121,41.72,04037
4,38,369,274,74.25,95,25.75,04038
5,1,275,175,63.64,100,36.36,05001
5,2,289,177,61.25,112,38.75,05002
5,3,297,193,64.98,104,35.02,05003
5,4,351,256,72.93,95,27.07,05004
5,5,279,177,63.44,102,36.56,05005
5,6,272,173,63.6,99,36.4,05006
5,7,312,212,67.95,100,32.05,05007
5,8,284,157,55.28,127,44.72,05008
5,9,356,228,64.04,128,35.96,05009
5,10,259,157,60.62,102,39.38,05010
5,11,299,191,63.88,108,36.12,05011
5,12,242,159,65.7,83,34.3,05012
5,13,267,176,65.92,91,34.08,05013
5,14,292,210,71.92,82,28.08,05014
5,15,292,198,67.81,94,32.19,05015
5,16,298,200,67.11,98,32.89,05016
5,17,273,159,58.24,114,41.76,05017
5,18,277,195,70.4,82,29.6,05018
5,19,273,153,56.04,120,43.96,05019
5,20,319,223,69.91,96,30.09,05020
5,21,288,198,68.75,90,31.25,05021
5,22,323,203,62.85,120,37.15,05022
5,23,454,277,61.01,177,38.99,05023
5,24,326,200,61.35,126,38.65,05024
5,25,275,192,69.82,83,30.18,05025
5,26,309,209,67.64,100,32.36,05026
5,27,226,126,55.75,100,44.25,05027
5,28,328,224,68.29,104,31.71,05028
5,29,359,242,67.41,117,32.59,05029
5,30,235,140,59.57,95,40.43,05030
5,31,262,176,67.18,86,32.82,05031
5,32,345,240,69.57,105,30.43,05032
5,33,324,210,64.81,114,35.19,05033
5,34,299,171,57.19,128,42.81,05034
5,35,311,176,56.59,135,43.41,05035
5,36,227,141,62.11,86,37.89,05036
5,37,283,166,58.66,117,41.34,05037
5,38,321,196,61.06,125,38.94,05038
5,39,226,140,61.95,86,38.05,05039
5,40,236,156,66.1,80,33.9,05040
5,41,149,107,71.81,42,28.19,05041
6,1,298,206,69.13,92,30.87,06001
6,2,290,194,66.9,96,33.1,06002
6,3,292,193,66.1,99,33.9,06003
6,4,208,126,60.58,82,39.42,06004
6,5,200,130,65.0,70,35.0,06005
6,6,276,194,70.29,82,29.71,06006
6,7,293,196,66.89,97,33.11,06007
6,8,313,232,74.12,81,25.88,06008
6,9,285,185,64.91,100,35.09,06009
6,10,221,133,60.18,88,39.82,06010
6,11,304,174,57.24,130,42.76,06011
6,12,235,144,61.28,91,38.72,06012
6,13,228,146,64.04,82,35.96,06013
6,14,260,163,62.69,97,37.31,06014
6,15,229,148,64.63,81,35.37,06015
6,16,295,217,73.56,78,26.44,06016
6,17,206,131,63.59,75,36.41,06017
6,18,172,112,65.12,60,34.88,06018
6,19,260,176,67.69,84,32.31,06019
6,20,165,92,55.76,73,44.24,06020
6,21,163,96,58.9,67,41.1,06021
6,22,184,110,59.78,74,40.22,06022
6,23,154,98,63.64,56,36.36,06023
6,24,184,106,57.61,78,42.39,06024
6,25,175,109,62.29,66,37.71,06025
6,26,235,141,60.0,94,40.0,06026
6,27,185,117,63.24,68,36.76,06027
6,28,137,93,67.88,44,32.12,06028
6,29,283,209,73.85,74,26.15,06029
6,30,243,160,65.84,83,34.16,06030
6,31,294,201,68.37,93,31.63,06031
6,32,255,166,65.1,89,34.9,06032
6,33,292,191,65.41,101,34.59,06033
6,34,304,222,73.03,82,26.97,06034
6,35,266,173,65.04,93,34.96,06035
6,36,326,223,68.4,103,31.6,06036
6,37,299,210,70.23,89,29.77,06037
6,38,308,211,68.51,97,31.49,06038
6,39,281,183,65.12,98,34.88,06039
6,40,249,173,69.48,76,30.52,06040
6,41,320,208,65.0,112,35.0,06041
6,42,297,206,69.36,91,30.64,06042
6,43,232,157,67.67,75,32.33,06043
6,44,271,192,70.85,79,29.15,06044
6,45,319,215,67.4,104,32.6,06045
6,46,190,133,70.0,57,30.0,06046
6,47,218,146,66.97,72,33.03,06047
6,48,290,200,68.97,90,31.03,06048
7,1,260,164,63.08,96,36.92,07001
7,2,250,176,70.4,74,29.6,07002
7,3,264,194,73.48,70,26.52,07003
