ward,precinct,total,Proco ''Joe'' Moreno,Proco ''Joe'' Moreno Percent,Maria Teresa Gonzalez,Maria Teresa Gonzalez Percent,precinct_id
1,1,365,176,48.22,189,51.78,01001
1,2,311,133,42.77,178,57.23,01002
1,3,323,173,53.56,150,46.44,01003
1,4,298,163,54.7,135,45.3,01004
1,5,290,184,63.45,106,36.55,01005
1,6,307,165,53.75,142,46.25,01006
1,7,249,121,48.59,128,51.41,01007
1,8,251,160,63.75,91,36.25,01008
1,9,276,141,51.09,135,48.91,01009
1,10,312,169,54.17,143,45.83,01010
1,11,314,172,54.78,142,45.22,01011
1,12,312,145,46.47,167,53.53,01012
1,13,155,84,54.19,71,45.81,01013
1,14,325,184,56.62,141,43.38,01014
1,15,311,153,49.2,158,50.8,01015
1,16,298,120,40.27,178,59.73,01016
1,17,319,138,43.26,181,56.74,01017
1,18,356,187,52.53,169,47.47,01018
1,19,421,194,46.08,227,53.92,01019
1,20,273,124,45.42,149,54.58,01020
1,21,302,162,53.64,140,46.36,01021
1,22,238,120,50.42,118,49.58,01022
1,23,496,210,42.34,286,57.66,01023
1,24,319,180,56.43,139,43.57,01024
1,25,328,187,57.01,141,42.99,01025
1,26,257,117,45.53,140,54.47,01026
1,27,311,164,52.73,147,47.27,01027
1,28,121,74,61.16,47,38.84,01028
1,29,293,145,49.49,148,50.51,01029
1,30,366,209,57.1,157,42.9,01030
1,31,347,193,55.62,154,44.38,01031
1,32,289,150,51.9,139,48.1,01032
1,33,323,172,53.25,151,46.75,01033
1,34,298,141,47.32,157,52.68,01034
1,35,331,153,46.22,178,53.78,01035
1,36,274,121,44.16,153,55.84,01036
1,37,294,138,46.94,156,53.06,01037
1,38,318,191,60.06,127,39.94,01038
1,39,280,136,48.57,144,51.43,01039
1,40,298,178,59.73,120,40.27,01040
1,41,218,89,40.83,129,59.17,01041
1,42,105,47,44.76,58,55.24,01042
1,43,251,107,42.63,144,57.37,01043
1,44,286,134,46.85,152,53.15,01044
