ward,precinct,total,Jason C. Ervin,Jason C. Ervin Percent,precinct_id
28,1,243,243,100.0,28001
28,2,222,222,100.0,28002
28,3,201,201,100.0,28003
28,4,131,131,100.0,28004
28,5,147,147,100.0,28005
28,6,108,108,100.0,28006
28,7,279,279,100.0,28007
28,8,117,117,100.0,28008
28,9,223,223,100.0,28009
28,10,243,243,100.0,28010
28,11,369,369,100.0,28011
28,12,251,251,100.0,28012
28,13,220,220,100.0,28013
28,14,218,218,100.0,28014
28,15,85,85,100.0,28015
28,16,161,161,100.0,28016
28,17,230,230,100.0,28017
28,18,177,177,100.0,28018
28,19,192,192,100.0,28019
28,20,215,215,100.0,28020
28,21,199,199,100.0,28021
28,22,199,199,100.0,28022
28,23,300,300,100.0,28023
28,24,237,237,100.0,28024
28,25,340,340,100.0,28025
28,26,263,263,100.0,28026
28,27,187,187,100.0,28027
28,28,212,212,100.0,28028
28,29,113,113,100.0,28029
28,30,36,36,100.0,28030
28,31,299,299,100.0,28031
28,32,238,238,100.0,28032
28,33,298,298,100.0,28033
28,34,450,450,100.0,28034
28,35,257,257,100.0,28035
28,36,139,139,100.0,28036
28,37,347,347,100.0,28037
28,38,122,122,100.0,28038
28,39,202,202,100.0,28039
28,40,319,319,100.0,28040
28,41,199,199,100.0,28041
28,42,275,275,100.0,28042
28,43,325,325,100.0,28043
28,44,163,163,100.0,28044
28,45,152,152,100.0,28045
28,46,319,319,100.0,28046
