ward,precinct,total,Silvana Tabares,Silvana Tabares Percent,precinct_id
12,2,238,238,100.0,12002
12,6,253,253,100.0,12006
12,7,265,265,100.0,12007
12,10,287,287,100.0,12010
12,11,310,310,100.0,12011
12,12,291,291,100.0,12012
12,13,12,12,100.0,12013
12,14,279,279,100.0,12014
12,15,233,233,100.0,12015
12,16,275,275,100.0,12016
12,17,195,195,100.0,12017
12,18,249,249,100.0,12018
12,20,343,343,100.0,12020
12,22,301,301,100.0,12022
14,1,23,23,100.0,14001
15,6,273,273,100.0,15006
15,9,25,25,100.0,15009
15,10,156,156,100.0,15010
15,11,155,155,100.0,15011
15,12,37,37,100.0,15012
22,4,117,117,100.0,22004
22,5,8,8,100.0,22005
22,7,42,42,100.0,22007
22,10,367,367,100.0,22010
22,13,226,226,100.0,22013
22,14,215,215,100.0,22014
22,15,225,225,100.0,22015
22,16,265,265,100.0,22016
22,17,38,38,100.0,22017
22,18,132,132,100.0,22018
22,19,2,2,100.0,22019
22,22,258,258,100.0,22022
23,1,82,82,100.0,23001
23,12,197,197,100.0,23012
23,16,220,220,100.0,23016
23,21,217,217,100.0,23021
23,27,213,213,100.0,23027
23,36,209,209,100.0,23036
23,37,124,124,100.0,23037
24,16,249,249,100.0,24016
