ward,precinct,total,Pat Heneghan,Pat Heneghan Percent,Susana L. Ortiz,Susana L. Ortiz Percent,precinct_id
1,1,289,90,31.14,172,59.52,01001
1,2,287,81,28.22,169,58.89,01002
1,3,250,102,40.8,105,42.0,01003
1,4,236,83,35.17,124,52.54,01004
1,5,223,89,39.91,98,43.95,01005
1,6,253,90,35.57,134,52.96,01006
1,7,209,84,40.19,101,48.33,01007
1,8,206,81,39.32,97,47.09,01008
1,9,225,58,25.78,144,64.0,01009
1,10,224,91,40.63,103,45.98,01010
1,11,241,108,44.81,102,42.32,01011
1,12,259,96,37.07,110,42.47,01012
1,13,119,42,35.29,69,57.98,01013
1,14,263,109,41.44,118,44.87,01014
1,15,263,85,32.32,149,56.65,01015
1,16,254,75,29.53,151,59.45,01016
1,17,286,91,31.82,166,58.04,01017
1,18,305,87,28.52,171,56.07,01018
1,19,361,102,28.25,201,55.68,01019
1,20,238,78,32.77,129,54.2,01020
1,21,235,106,45.11,93,39.57,01021
1,22,191,58,30.37,107,56.02,01022
1,23,409,135,33.01,226,55.26,01023
1,24,246,64,26.02,151,61.38,01024
1,25,267,70,26.22,158,59.18,01025
1,26,237,35,14.77,189,79.75,01026
1,27,263,83,31.56,139,52.85,01027
1,28,92,22,23.91,60,65.22,01028
1,29,230,79,34.35,112,48.7,01029
1,30,307,89,28.99,183,59.61,01030
1,31,287,86,29.97,171,59.58,01031
1,32,242,75,30.99,132,54.55,01032
1,33,244,84,34.43,126,51.64,01033
1,34,234,71,30.34,139,59.4,01034
1,35,271,102,37.64,126,46.49,01035
1,36,216,87,40.28,101,46.76,01036
1,37,242,90,37.19,121,50.0,01037
1,38,246,70,28.46,135,54.88,01038
1,39,216,69,31.94,122,56.48,01039
1,40,255,82,32.16,137,53.73,01040
1,41,189,69,36.51,95,50.26,01041
1,42,88,23,26.14,57,64.77,01042
1,43,207,76,36.71,103,49.76,01043
1,44,255,100,39.22,120,47.06,01044
2,1,236,90,38.14,116,49.15,02001
2,2,119,62,52.1,38,31.93,02002
2,3,241,98,40.66,106,43.98,02003
2,4,213,83,38.97,100,46.95,02004
2,5,278,104,37.41,143,51.44,02005
2,6,263,105,39.92,121,46.01,02006
2,7,205,79,38.54,101,49.27,02007
2,8,230,79,34.35,126,54.78,02008
2,9,123,52,42.28,43,34.96,02009
2,10,150,78,52.0,46,30.67,02010
2,11,148,71,47.97,54,36.49,02011
2,12,237,100,42.19,84,35.44,02012
2,13,190,93,48.95,62,32.63,02013
2,14,256,99,38.67,123,48.05,02014
2,15,227,104,45.81,95,41.85,02015
2,16,198,76,38.38,85,42.93,02016
2,17,275,118,42.91,117,42.55,02017
2,18,182,68,37.36,64,35.16,02018
2,19,132,70,53.03,43,32.58,02019
2,20,163,79,48.47,63,38.65,02020
2,21,256,106,41.41,119,46.48,02021
2,22,195,101,51.79,67,34.36,02022
2,23,114,68,59.65,29,25.44,02023
2,24,155,70,45.16,62,40.0,02024
2,25,223,87,39.01,94,42.15,02025
2,26,177,54,30.51,84,47.46,02026
2,27,155,61,39.35,61,39.35,02027
2,28,183,100,54.64,55,30.05,02028
2,29,175,76,43.43,68,38.86,02029
2,30,157,79,50.32,51,32.48,02030
2,31,229,107,46.72,73,31.88,02031
2,32,141,55,39.01,60,42.55,02032
2,33,283,164,57.95,81,28.62,02033
2,34,159,85,53.46,48,30.19,02034
2,35,183,76,41.53,78,42.62,02035
2,36,130,58,44.62,50,38.46,02036
2,37,188,84,44.68,70,37.23,02037
2,38,161,88,54.66,46,28.57,02038
2,39,123,38,30.89,58,47.15,02039
2,40,156,63,40.38,67,42.95,02040
2,41,134,47,35.07,60,44.78,02041
2,42,175,53,30.29,84,48.0,02042
2,43,196,93,47.45,69,35.2,02043
2,44,99,47,47.47,37,37.37,02044
2,45,227,85,37.44,115,50.66,02045
2,46,104,54,51.92,39,37.5,02046
3,1,421,154,36.58,179,42.52,03001
3,2,402,141,35.07,156,38.81,03002
3,3,242,97,40.08,104,42.98,03003
3,4,367,133,36.24,152,41.42,03004
3,5,230,79,34.35,100,43.48,03005
3,6,246,104,42.28,101,41.06,03006
3,7,207,83,40.1,78,37.68,03007
3,8,311,84,27.01,147,47.27,03008
3,9,347,99,28.53,167,48.13,03009
3,10,172,71,41.28,74,43.02,03010
3,11,343,106,30.9,150,43.73,03011
3,12,335,97,28.96,156,46.57,03012
3,13,308,126,40.91,135,43.83,03013
3,14,257,101,39.3,113,43.97,03014
3,15,309,97,31.39,140,45.31,03015
3,16,316,96,30.38,147,46.52,03016
3,17,295,104,35.25,133,45.08,03017
3,18,477,152,31.87,219,45.91,03018
3,19,250,113,45.2,101,40.4,03019
3,20,338,110,32.54,158,46.75,03020
3,21,257,103,40.08,107,41.63,03021
3,22,290,104,35.86,135,46.55,03022
3,23,307,106,34.53,145,47.23,03023
3,24,274,103,37.59,125,45.62,03024
3,25,308,143,46.43,114,37.01,03025
3,26,316,148,46.84,120,37.97,03026
3,27,246,92,37.4,113,45.93,03027
3,28,213,66,30.99,99,46.48,03028
3,29,337,120,35.61,155,45.99,03029
3,30,298,89,29.87,143,47.99,03030
3,31,396,109,27.53,186,46.97,03031
3,32,258,102,39.53,105,40.7,03032
3,33,281,115,40.93,125,44.48,03033
3,34,305,104,34.1,150,49.18,03034
3,35,150,38,25.33,74,49.33,03035
3,36,191,67,35.08,72,37.7,03036
3,37,269,69,25.65,128,47.58,03037
3,38,275,114,41.45,108,39.27,03038
3,39,267,126,47.19,98,36.7,03039
3,40,312,100,32.05,153,49.04,03040
3,41,243,82,33.74,104,42.8,03041
4,1,376,165,43.88,149,39.63,04001
4,2,275,126,45.82,115,41.82,04002
4,3,312,95,30.45,146,46.79,04003
4,4,460,120,26.09,223,48.48,04004
4,5,324,94,29.01,157,48.46,04005
4,6,402,124,30.85,186,46.27,04006
4,7,384,116,30.21,172,44.79,04007
4,8,389,147,37.79,151,38.82,04008
4,9,394,111,28.17,176,44.67,04009
4,10,397,122,30.73,172,43.32,04010
4,11,355,117,32.96,144,40.56,04011
4,12,399,111,27.82,190,47.62,04012
4,13,221,71,32.13,114,51.58,04013
4,14,331,119,35.95,139,41.99,04014
4,15,430,102,23.72,214,49.77,04015
4,16,327,117,35.78,155,47.4,04016
4,17,316,124,39.24,148,46.84,04017
4,18,300,104,34.67,137,45.67,04018
4,19,314,109,34.71,135,42.99,04019
4,20,240,112,46.67,86,35.83,04020
4,21,324,99,30.56,180,55.56,04021
4,22,321,134,41.74,124,38.63,04022
4,23,422,155,36.73,180,42.65,04023
4,24,303,105,34.65,133,43.89,04024
4,25,281,121,43.06,119,42.35,04025
4,26,353,127,35.98,142,40.23,04026
4,27,360,128,35.56,154,42.78,04027
4,28,316,89,28.16,151,47.78,04028
4,29,321,100,31.15,144,44.86,04029
4,30,450,131,29.11,224,49.78,04030
4,31,337,129,38.28,134,39.76,04031
4,32,366,90,24.59,181,49.45,04032
4,33,359,121,33.7,166,46.24,04033
4,34,286,96,33.57,131,45.8,04034
4,35,414,130,31.4,183,44.2,04035
4,36,368,124,33.7,157,42.66,04036
4,37,302,140,46.36,112,37.09,04037
4,38,387,122,31.52,176,45.48,04038
5,1,276,74,26.81,134,48.55,05001
5,2,306,68,22.22,157,51.31,05002
5,3,309,121,39.16,134,43.37,05003
5,4,362,116,32.04,172,47.51,05004
5,5,286,87,30.42,129,45.1,05005
5,6,276,87,31.52,123,44.57,05006
5,7,317,102,32.18,153,48.26,05007
5,8,298,152,51.01,85,28.52,05008
5,9,367,128,34.88,155,42.23,05009
5,10,255,77,30.2,120,47.06,05010
5,11,305,121,39.67,132,43.28,05011
5,12,245,71,28.98,117,47.76,05012
5,13,276,70,25.36,127,46.01,05013
5,14,291,78,26.8,129,44.33,05014
5,15,302,83,27.48,148,49.01,05015
5,16,306,84,27.45,157,51.31,05016
5,17,286,72,25.17,156,54.55,05017
5,18,284,88,30.99,143,50.35,05018
5,19,278,130,46.76,93,33.45,05019
5,20,320,114,35.63,142,44.38,05020
5,21,303,125,41.25,130,42.9,05021
5,22,329,134,40.73,122,37.08,05022
5,23,473,192,40.59,184,38.9,05023
5,24,318,132,41.51,125,39.31,05024
5,25,293,83,28.33,153,52.22,05025
5,26,312,78,25.0,159,50.96,05026
5,27,230,116,50.43,79,34.35,05027
5,28,343,100,29.15,142,41.4,05028
5,29,365,94,25.75,186,50.96,05029
5,30,242,65,26.86,115,47.52,05030
5,31,270,79,29.26,123,45.56,05031
5,32,344,98,28.49,145,42.15,05032
5,33,325,106,32.62,147,45.23,05033
5,34,302,157,51.99,89,29.47,05034
5,35,319,138,43.26,114,35.74,05035
5,36,235,62,26.38,113,48.09,05036
5,37,296,134,45.27,114,38.51,05037
5,38,333,83,24.92,155,46.55,05038
5,39,239,107,44.77,85,35.56,05039
5,40,251,87,34.66,110,43.82,05040
5,41,157,76,48.41,55,35.03,05041
6,1,311,104,33.44,130,41.8,06001
6,2,295,84,28.47,142,48.14,06002
6,3,309,124,40.13,129,41.75,06003
6,4,213,59,27.7,97,45.54,06004
6,5,201,66,32.84,90,44.78,06005
6,6,273,97,35.53,106,38.83,06006
6,7,309,112,36.25,128,41.42,06007
6,8,319,122,38.24,131,41.07,06008
6,9,283,80,28.27,135,47.7,06009
6,10,222,68,30.63,106,47.75,06010
6,11,302,102,33.77,134,44.37,06011
6,12,239,83,34.73,116,48.54,06012
6,13,230,63,27.39,109,47.39,06013
6,14,257,69,26.85,121,47.08,06014
6,15,230,69,30.0,117,50.87,06015
6,16,302,110,36.42,139,46.03,06016
6,17,195,63,32.31,93,47.69,06017
6,18,174,64,36.78,75,43.1,06018
6,19,261,75,28.74,120,45.98,06019
6,20,177,44,24.86,93,52.54,06020
6,21,171,42,24.56,97,56.73,06021
6,22,194,57,29.38,95,48.97,06022
6,23,156,63,40.38,61,39.1,06023
6,24,184,52,28.26,83,45.11,06024
6,25,179,59,32.96,74,41.34,06025
6,26,234,65,27.78,104,44.44,06026
6,27,185,60,32.43,85,45.95,06027
6,28,142,50,35.21,67,47.18,06028
6,29,292,111,38.01,102,34.93,06029
6,30,256,87,33.98,110,42.97,06030
6,31,299,118,39.46,122,40.8,06031
6,32,257,91,35.41,112,43.58,06032
6,33,294,82,27.89,135,45.92,06033
6,34,297,101,34.01,143,48.15,06034
6,35,273,84,30.77,137,50.18,06035
6,36,332,115,34.64,143,43.07,06036
6,37,302,105,34.77,128,42.38,06037
6,38,304,93,30.59,140,46.05,06038
6,39,271,78,28.78,134,49.45,06039
6,40,256,77,30.08,119,46.48,06040
6,41,321,87,27.1,154,47.98,06041
6,42,310,114,36.77,128,41.29,06042
6,43,236,82,34.75,92,38.98,06043
6,44,288,80,27.78,131,45.49,06044
6,45,320,110,34.38,124,38.75,06045
6,46,194,55,28.35,104,53.61,06046
6,47,227,73,32.16,105,46.26,06047
6,48,295,96,32.54,132,44.75,06048
7,1,262,61,23.28,137,52.29,07001
7,2,255,82,32.16,114,44.71,07002
7,3,272,78,28.68,125,45.96,07003
7,4,291,70,24.05,134,46.05,07004
7,5,192,54,28.13,87,45.31,07005
7,6,334,94,28.14,157,47.01,07006
7,7,244,62,25.41,134,54.92,07007
7,8,207,69,33.33,82,39.61,07008
7,9,401,114,28.43,191,47.63,07009
7,10,318,86,27.04,154,48.43,07010
7,11,331,102,30.82,164,49.55,07011
7,12,247,69,27.94,135,54.66,07012
7,13,152,43,28.29,61,40.13,07013
7,14,293,98,33.45,137,46.76,07014
7,15,280,103,36.79,117,41.79,07015
7,16,251,59,23.51,118,47.01,07016
7,17,242,84,34.71,107,44.21,07017
7,18,217,59,27.19,109,50.23,07018
7,19,273,65,23.81,136,49.82,07019
7,20,202,64,31.68,97,48.02,07020
7,21,201,66,32.84,93,46.27,07021
7,22,213,50,23.47,126,59.15,07022
7,23,294,86,29.25,138,46.94,07023
7,24,244,65,26.64,116,47.54,07024
7,25,257,61,23.74,153,59.53,07025
7,26,249,85,34.14,101,40.56,07026
7,27,231,66,28.57,105,45.45,07027
7,28,188,49,26.06,104,55.32,07028
7,29,243,83,34.16,109,44.86,07029
7,30,207,57,27.54,109,52.66,07030
7,31,165,32,19.39,103,62.42,07031
7,32,391,130,33.25,148,37.85,07032
7,33,356,105,29.49,165,46.35,07033
7,34,322,86,26.71,157,48.76,07034
7,35,258,71,27.52,127,49.22,07035
7,36,358,122,34.08,153,42.74,07036
7,37,299,71,23.75,145,48.49,07037
7,38,247,71,28.74,115,46.56,07038
7,39,267,65,24.34,141,52.81,07039
7,40,252,76,30.16,107,42.46,07040
7,41,270,73,27.04,133,49.26,07041
7,42,267,75,28.09,139,52.06,07042
7,43,238,64,26.89,116,48.74,07043
7,44,269,67,24.91,139,51.67,07044
7,45,280,75,26.79,148,52.86,07045
7,46,115,34,29.57,64,55.65,07046
8,1,225,88,39.11,95,42.22,08001
8,2,319,111,34.8,135,42.32,08002
8,3,322,140,43.48,113,35.09,08003
8,4,342,142,41.52,126,36.84,08004
8,5,316,116,36.71,135,42.72,08005
8,6,319,142,44.51,114,35.74,08006
8,7,342,112,32.75,146,42.69,08007
