ward,precinct,total,Colleen Reardon Daly,Colleen Reardon Daly Percent,Eve Marie Reilly,Eve Marie Reilly Percent,Michael John Malatesta,Michael John Malatesta Percent,Richard ''Rick'' Cenar,Richard ''Rick'' Cenar Percent,precinct_id
30,3,107,25,23.36,48,44.86,15,14.02,19,17.76,30003
30,15,220,79,35.91,81,36.82,21,9.55,39,17.73,30015
30,20,48,9,18.75,26,54.17,3,6.25,10,20.83,30020
30,32,191,47,24.61,84,43.98,24,12.57,36,18.85,30032
32,19,177,62,35.03,65,36.72,20,11.3,30,16.95,32019
32,21,183,45,24.59,70,38.25,12,6.56,56,30.6,32021
32,25,168,48,28.57,68,40.48,20,11.9,32,19.05,32025
33,2,334,88,26.35,153,45.81,35,10.48,58,17.37,33002
33,7,286,77,26.92,134,46.85,29,10.14,46,16.08,33007
33,18,374,95,25.4,177,47.33,39,10.43,63,16.84,33018
35,9,257,66,25.68,100,38.91,41,15.95,50,19.46,35009
35,22,306,65,21.24,136,44.44,38,12.42,67,21.9,35022
35,23,103,20,19.42,45,43.69,13,12.62,25,24.27,35023
35,29,216,50,23.15,94,43.52,29,13.43,43,19.91,35029
35,30,276,72,26.09,113,40.94,38,13.77,53,19.2,35030
35,31,291,93,31.96,126,43.3,25,8.59,47,16.15,35031
38,1,191,40,20.94,91,47.64,23,12.04,37,19.37,38001
38,31,224,47,20.98,110,49.11,34,15.18,33,14.73,38031
38,32,197,56,28.43,97,49.24,25,12.69,19,9.64,38032
38,41,224,56,25.0,105,46.88,25,11.16,38,16.96,38041
39,1,249,185,74.3,40,16.06,7,2.81,17,6.83,39001
39,2,224,136,60.71,51,22.77,9,4.02,28,12.5,39002
39,3,266,80,30.08,122,45.86,18,6.77,46,17.29,39003
39,4,244,173,70.9,38,15.57,10,4.1,23,9.43,39004
39,5,254,74,29.13,110,43.31,30,11.81,40,15.75,39005
39,6,262,66,25.19,109,41.6,39,14.89,48,18.32,39006
39,7,222,67,30.18,91,40.99,22,9.91,42,18.92,39007
39,8,298,138,46.31,101,33.89,31,10.4,28,9.4,39008
39,9,243,86,35.39,87,35.8,37,15.23,33,13.58,39009
39,10,136,35,25.74,63,46.32,15,11.03,23,16.91,39010
39,11,258,106,41.09,85,32.95,36,13.95,31,12.02,39011
39,12,317,82,25.87,149,47.0,47,14.83,39,12.3,39012
39,13,173,55,31.79,63,36.42,24,13.87,31,17.92,39013
39,14,206,72,34.95,86,41.75,23,11.17,25,12.14,39014
39,15,302,174,57.62,66,21.85,24,7.95,38,12.58,39015
39,16,183,56,30.6,80,43.72,19,10.38,28,15.3,39016
39,17,268,96,35.82,102,38.06,23,8.58,47,17.54,39017
39,18,218,74,33.94,83,38.07,20,9.17,41,18.81,39018
39,19,220,81,36.82,87,39.55,23,10.45,29,13.18,39019
39,20,263,88,33.46,105,39.92,29,11.03,41,15.59,39020
39,21,204,91,44.61,62,30.39,22,10.78,29,14.22,39021
39,22,176,39,22.16,77,43.75,31,17.61,29,16.48,39022
39,23,249,115,46.18,85,34.14,21,8.43,28,11.24,39023
39,24,286,121,42.31,82,28.67,34,11.89,49,17.13,39024
39,25,215,62,28.84,95,44.19,19,8.84,39,18.14,39025
39,26,209,102,48.8,62,29.67,24,11.48,21,10.05,39026
39,27,57,28,49.12,4,7.02,0,0.0,25,43.86,39027
39,28,317,93,29.34,130,41.01,32,10.09,62,19.56,39028
39,29,123,39,31.71,45,36.59,19,15.45,20,16.26,39029
39,30,294,74,25.17,131,44.56,34,11.56,55,18.71,39030
39,31,249,57,22.89,120,48.19,28,11.24,44,17.67,39031
39,32,85,32,37.65,27,31.76,12,14.12,14,16.47,39032
39,33,248,89,35.89,96,38.71,26,10.48,37,14.92,39033
39,34,239,55,23.01,109,45.61,31,12.97,44,18.41,39034
39,35,227,54,23.79,100,44.05,21,9.25,52,22.91,39035
39,36,55,23,41.82,22,40.0,0,0.0,10,18.18,39036
39,37,288,195,67.71,34,11.81,12,4.17,47,16.32,39037
39,38,148,59,39.86,56,37.84,14,9.46,19,12.84,39038
39,39,161,79,49.07,43,26.71,16,9.94,23,14.29,39039
39,40,200,129,64.5,40,20.0,14,7.0,17,8.5,39040
39,41,288,152,52.78,71,24.65,20,6.94,45,15.63,39041
39,42,309,218,70.55,24,7.77,17,5.5,50,16.18,39042
39,43,244,131,53.69,53,21.72,20,8.2,40,16.39,39043
39,44,211,88,41.71,50,23.7,16,7.58,57,27.01,39044
39,45,272,121,44.49,72,26.47,9,3.31,70,25.74,39045
40,1,204,54,26.47,94,46.08,21,10.29,35,17.16,40001
40,2,230,81,35.22,93,40.43,12,5.22,44,19.13,40002
40,3,330,108,32.73,153,46.36,13,3.94,56,16.97,40003
40,4,143,37,25.87,76,53.15,10,6.99,20,13.99,40004
40,5,279,95,34.05,124,44.44,19,6.81,41,14.7,40005
40,6,311,118,37.94,122,39.23,15,4.82,56,18.01,40006
40,7,296,91,30.74,121,40.88,18,6.08,66,22.3,40007
40,10,199,60,30.15,90,45.23,21,10.55,28,14.07,40010
40,11,253,60,23.72,132,52.17,19,7.51,42,16.6,40011
40,12,193,56,29.02,88,45.6,9,4.66,40,20.73,40012
40,13,208,61,29.33,96,46.15,11,5.29,40,19.23,40013
