ward,precinct,total,Matthew Link,Matthew Link Percent,precinct_id
3,28,8,8,100.0,03028
11,1,226,226,100.0,11001
11,2,34,34,100.0,11002
11,3,196,196,100.0,11003
11,4,209,209,100.0,11004
11,5,294,294,100.0,11005
11,7,220,220,100.0,11007
11,8,235,235,100.0,11008
11,9,210,210,100.0,11009
11,10,209,209,100.0,11010
11,11,217,217,100.0,11011
11,17,294,294,100.0,11017
11,19,311,311,100.0,11019
11,21,351,351,100.0,11021
11,22,294,294,100.0,11022
11,24,362,362,100.0,11024
11,25,281,281,100.0,11025
11,26,286,286,100.0,11026
11,29,263,263,100.0,11029
11,31,212,212,100.0,11031
11,33,203,203,100.0,11033
11,37,2,2,100.0,11037
11,38,121,121,100.0,11038
12,1,244,244,100.0,12001
12,2,199,199,100.0,12002
12,3,283,283,100.0,12003
12,4,258,258,100.0,12004
12,5,203,203,100.0,12005
12,6,230,230,100.0,12006
12,7,222,222,100.0,12007
12,8,254,254,100.0,12008
12,9,192,192,100.0,12009
12,10,296,296,100.0,12010
12,11,261,261,100.0,12011
12,12,235,235,100.0,12012
12,13,249,249,100.0,12013
12,14,222,222,100.0,12014
12,15,176,176,100.0,12015
12,16,224,224,100.0,12016
12,17,246,246,100.0,12017
12,18,208,208,100.0,12018
12,19,235,235,100.0,12019
12,20,299,299,100.0,12020
12,21,242,242,100.0,12021
12,22,264,264,100.0,12022
12,23,235,235,100.0,12023
14,5,316,316,100.0,14005
14,6,125,125,100.0,14006
14,10,171,171,100.0,14010
14,11,179,179,100.0,14011
14,14,253,253,100.0,14014
14,15,307,307,100.0,14015
14,16,166,166,100.0,14016
14,17,187,187,100.0,14017
14,19,283,283,100.0,14019
14,20,159,159,100.0,14020
14,21,208,208,100.0,14021
14,25,145,145,100.0,14025
14,26,169,169,100.0,14026
14,29,203,203,100.0,14029
14,30,147,147,100.0,14030
14,31,162,162,100.0,14031
15,1,204,204,100.0,15001
15,4,232,232,100.0,15004
15,5,252,252,100.0,15005
15,6,217,217,100.0,15006
15,8,219,219,100.0,15008
15,9,286,286,100.0,15009
15,10,317,317,100.0,15010
15,11,317,317,100.0,15011
15,12,274,274,100.0,15012
15,13,217,217,100.0,15013
15,14,204,204,100.0,15014
15,15,192,192,100.0,15015
15,16,217,217,100.0,15016
15,19,169,169,100.0,15019
16,1,245,245,100.0,16001
16,2,51,51,100.0,16002
16,4,145,145,100.0,16004
16,6,11,11,100.0,16006
16,7,190,190,100.0,16007
16,11,182,182,100.0,16011
16,13,215,215,100.0,16013
16,17,205,205,100.0,16017
16,18,181,181,100.0,16018
16,19,200,200,100.0,16019
16,22,174,174,100.0,16022
16,23,189,189,100.0,16023
16,32,225,225,100.0,16032
16,35,215,215,100.0,16035
17,6,205,205,100.0,17006
17,7,238,238,100.0,17007
17,12,194,194,100.0,17012
17,14,74,74,100.0,17014
17,16,224,224,100.0,17016
17,25,169,169,100.0,17025
20,4,42,42,100.0,20004
20,15,235,235,100.0,20015
20,17,112,112,100.0,20017
20,20,200,200,100.0,20020
22,3,320,320,100.0,22003
22,4,206,206,100.0,22004
22,5,227,227,100.0,22005
22,6,201,201,100.0,22006
22,7,148,148,100.0,22007
22,9,187,187,100.0,22009
22,10,307,307,100.0,22010
22,11,161,161,100.0,22011
22,12,191,191,100.0,22012
22,13,246,246,100.0,22013
22,14,166,166,100.0,22014
22,15,198,198,100.0,22015
22,16,220,220,100.0,22016
22,17,226,226,100.0,22017
22,18,200,200,100.0,22018
22,19,113,113,100.0,22019
22,20,233,233,100.0,22020
22,22,209,209,100.0,22022
22,24,287,287,100.0,22024
22,25,228,228,100.0,22025
24,7,125,125,100.0,24007
24,10,28,28,100.0,24010
24,16,237,237,100.0,24016
24,39,202,202,100.0,24039
25,1,237,237,100.0,25001
25,2,250,250,100.0,25002
25,4,40,40,100.0,25004
25,5,262,262,100.0,25005
25,7,229,229,100.0,25007
25,8,284,284,100.0,25008
25,9,270,270,100.0,25009
25,11,276,276,100.0,25011
25,12,223,223,100.0,25012
25,13,255,255,100.0,25013
25,14,19,19,100.0,25014
25,15,231,231,100.0,25015
25,17,227,227,100.0,25017
25,19,236,236,100.0,25019
25,22,252,252,100.0,25022
25,23,297,297,100.0,25023
25,24,253,253,100.0,25024
25,25,187,187,100.0,25025
25,26,282,282,100.0,25026
25,27,18,18,100.0,25027
25,28,284,284,100.0,25028
25,30,254,254,100.0,25030
25,32,214,214,100.0,25032
28,19,32,32,100.0,28019
