ward,precinct,total,"Michael Scott, Jr.","Michael Scott, Jr. Percent",precinct_id
24,1,259,259,100.0,24001
24,2,257,257,100.0,24002
24,3,255,255,100.0,24003
24,4,244,244,100.0,24004
24,5,140,140,100.0,24005
24,6,258,258,100.0,24006
24,7,138,138,100.0,24007
24,8,114,114,100.0,24008
24,9,259,259,100.0,24009
24,10,145,145,100.0,24010
24,11,274,274,100.0,24011
24,12,157,157,100.0,24012
24,13,124,124,100.0,24013
24,14,222,222,100.0,24014
24,15,154,154,100.0,24015
24,16,271,271,100.0,24016
24,17,196,196,100.0,24017
24,18,299,299,100.0,24018
24,19,304,304,100.0,24019
24,20,191,191,100.0,24020
24,21,143,143,100.0,24021
24,22,343,343,100.0,24022
24,23,234,234,100.0,24023
24,24,312,312,100.0,24024
24,25,234,234,100.0,24025
24,26,332,332,100.0,24026
24,27,265,265,100.0,24027
24,28,196,196,100.0,24028
24,29,188,188,100.0,24029
24,30,142,142,100.0,24030
24,31,302,302,100.0,24031
24,32,139,139,100.0,24032
24,33,156,156,100.0,24033
24,34,205,205,100.0,24034
24,35,250,250,100.0,24035
24,36,324,324,100.0,24036
24,37,157,157,100.0,24037
24,38,187,187,100.0,24038
24,39,257,257,100.0,24039
24,40,235,235,100.0,24040
24,41,192,192,100.0,24041
