ward,precinct,total,Emma M. Mitts,Emma M. Mitts Percent,precinct_id
37,1,217,217,100.0,37001
37,2,158,158,100.0,37002
37,3,216,216,100.0,37003
37,4,222,222,100.0,37004
37,5,270,270,100.0,37005
37,6,247,247,100.0,37006
37,7,192,192,100.0,37007
37,8,189,189,100.0,37008
37,9,264,264,100.0,37009
37,10,294,294,100.0,37010
37,11,209,209,100.0,37011
37,12,205,205,100.0,37012
37,13,200,200,100.0,37013
37,14,266,266,100.0,37014
37,15,294,294,100.0,37015
37,16,278,278,100.0,37016
37,17,268,268,100.0,37017
37,18,256,256,100.0,37018
37,19,208,208,100.0,37019
37,20,260,260,100.0,37020
37,21,217,217,100.0,37021
37,22,250,250,100.0,37022
37,23,279,279,100.0,37023
37,24,260,260,100.0,37024
37,25,253,253,100.0,37025
37,26,332,332,100.0,37026
37,27,228,228,100.0,37027
37,28,225,225,100.0,37028
37,29,268,268,100.0,37029
37,30,275,275,100.0,37030
37,31,290,290,100.0,37031
37,32,223,223,100.0,37032
37,33,262,262,100.0,37033
37,34,253,253,100.0,37034
37,35,254,254,100.0,37035
37,36,259,259,100.0,37036
37,37,290,290,100.0,37037
37,38,286,286,100.0,37038
37,39,240,240,100.0,37039
37,40,286,286,100.0,37040
37,41,250,250,100.0,37041
