ward,precinct,total,Toni Reed Preckwinkle,Toni Reed Preckwinkle Percent,precinct_id
4,1,400,400,100.0,04001
4,2,286,286,100.0,04002
4,3,333,333,100.0,04003
4,4,486,486,100.0,04004
4,5,348,348,100.0,04005
4,6,433,433,100.0,04006
4,7,425,425,100.0,04007
4,8,421,421,100.0,04008
4,9,455,455,100.0,04009
4,10,423,423,100.0,04010
4,11,384,384,100.0,04011
4,12,425,425,100.0,04012
4,13,242,242,100.0,04013
4,14,352,352,100.0,04014
4,15,459,459,100.0,04015
4,16,332,332,100.0,04016
4,17,324,324,100.0,04017
4,18,317,317,100.0,04018
4,19,330,330,100.0,04019
4,20,252,252,100.0,04020
4,21,326,326,100.0,04021
4,22,353,353,100.0,04022
4,23,454,454,100.0,04023
4,24,344,344,100.0,04024
4,25,279,279,100.0,04025
4,26,363,363,100.0,04026
4,27,401,401,100.0,04027
4,28,340,340,100.0,04028
4,29,340,340,100.0,04029
4,30,485,485,100.0,04030
4,31,386,386,100.0,04031
4,32,388,388,100.0,04032
4,33,403,403,100.0,04033
4,34,314,314,100.0,04034
4,35,462,462,100.0,04035
4,36,385,385,100.0,04036
4,37,306,306,100.0,04037
4,38,414,414,100.0,04038
