ward,precinct,total,Derrick G. Curtis,Derrick G. Curtis Percent,precinct_id
18,1,268,268,100.0,18001
18,2,236,236,100.0,18002
18,3,208,208,100.0,18003
18,4,327,327,100.0,18004
18,5,185,185,100.0,18005
18,6,206,206,100.0,18006
18,7,287,287,100.0,18007
18,8,302,302,100.0,18008
18,9,277,277,100.0,18009
18,10,409,409,100.0,18010
18,11,250,250,100.0,18011
18,12,282,282,100.0,18012
18,13,314,314,100.0,18013
18,14,297,297,100.0,18014
18,15,320,320,100.0,18015
18,16,277,277,100.0,18016
18,17,296,296,100.0,18017
18,18,247,247,100.0,18018
18,19,276,276,100.0,18019
18,20,236,236,100.0,18020
18,21,371,371,100.0,18021
18,22,364,364,100.0,18022
18,23,274,274,100.0,18023
18,24,240,240,100.0,18024
18,25,240,240,100.0,18025
18,26,341,341,100.0,18026
18,27,219,219,100.0,18027
18,28,222,222,100.0,18028
18,29,300,300,100.0,18029
18,30,264,264,100.0,18030
18,31,322,322,100.0,18031
18,32,308,308,100.0,18032
18,33,250,250,100.0,18033
18,34,378,378,100.0,18034
18,35,328,328,100.0,18035
18,36,293,293,100.0,18036
18,37,332,332,100.0,18037
18,38,269,269,100.0,18038
18,39,206,206,100.0,18039
18,40,314,314,100.0,18040
18,41,332,332,100.0,18041
18,42,237,237,100.0,18042
18,43,206,206,100.0,18043
18,44,213,213,100.0,18044
18,45,245,245,100.0,18045
18,46,286,286,100.0,18046
18,47,217,217,100.0,18047
18,48,237,237,100.0,18048
18,49,189,189,100.0,18049
18,50,190,190,100.0,18050
