ward,precinct,total,Ariel E. Reboyras,Ariel E. Reboyras Percent,Noe Favela,Noe Favela Percent,precinct_id
30,1,310,211,68.06,99,31.94,30001
30,2,260,198,76.15,62,23.85,30002
30,3,214,134,62.62,80,37.38,30003
30,4,276,176,63.77,100,36.23,30004
30,5,211,146,69.19,65,30.81,30005
30,6,249,180,72.29,69,27.71,30006
30,7,305,193,63.28,112,36.72,30007
30,8,327,228,69.72,99,30.28,30008
30,9,239,187,78.24,52,21.76,30009
30,10,334,238,71.26,96,28.74,30010
30,11,268,188,70.15,80,29.85,30011
30,12,238,190,79.83,48,20.17,30012
30,13,230,160,69.57,70,30.43,30013
30,14,211,157,74.41,54,25.59,30014
30,15,260,196,75.38,64,24.62,30015
30,16,141,91,64.54,50,35.46,30016
30,17,261,190,72.8,71,27.2,30017
30,18,305,211,69.18,94,30.82,30018
30,19,314,226,71.97,88,28.03,30019
30,20,288,215,74.65,73,25.35,30020
30,21,181,121,66.85,60,33.15,30021
30,22,382,255,66.75,127,33.25,30022
30,23,302,207,68.54,95,31.46,30023
30,24,284,207,72.89,77,27.11,30024
30,25,329,241,73.25,88,26.75,30025
30,26,163,112,68.71,51,31.29,30026
30,27,184,118,64.13,66,35.87,30027
30,28,314,226,71.97,88,28.03,30028
30,29,173,116,67.05,57,32.95,30029
30,30,121,96,79.34,25,20.66,30030
30,31,185,113,61.08,72,38.92,30031
30,32,216,146,67.59,70,32.41,30032
