ward,precinct,total,Daniel J. Burke,Daniel J. Burke Percent,precinct_id
12,20,13,13,100.0,12020
14,1,246,246,100.0,14001
14,2,391,391,100.0,14002
14,4,208,208,100.0,14004
14,5,433,433,100.0,14005
14,6,127,127,100.0,14006
14,7,294,294,100.0,14007
14,8,280,280,100.0,14008
14,9,289,289,100.0,14009
14,10,205,205,100.0,14010
14,12,252,252,100.0,14012
14,13,248,248,100.0,14013
14,14,309,309,100.0,14014
14,16,219,219,100.0,14016
14,17,245,245,100.0,14017
14,18,20,20,100.0,14018
14,19,322,322,100.0,14019
14,20,196,196,100.0,14020
14,21,253,253,100.0,14021
14,22,79,79,100.0,14022
14,23,141,141,100.0,14023
14,24,270,270,100.0,14024
14,25,184,184,100.0,14025
14,26,212,212,100.0,14026
14,27,274,274,100.0,14027
14,28,191,191,100.0,14028
14,29,249,249,100.0,14029
14,30,169,169,100.0,14030
14,31,177,177,100.0,14031
15,3,27,27,100.0,15003
15,4,247,247,100.0,15004
15,8,237,237,100.0,15008
15,9,41,41,100.0,15009
15,10,210,210,100.0,15010
15,11,180,180,100.0,15011
15,12,280,280,100.0,15012
15,15,30,30,100.0,15015
15,16,238,238,100.0,15016
15,19,205,205,100.0,15019
16,1,275,275,100.0,16001
16,2,50,50,100.0,16002
16,7,211,211,100.0,16007
16,11,235,235,100.0,16011
16,13,231,231,100.0,16013
16,17,139,139,100.0,16017
16,23,224,224,100.0,16023
16,32,252,252,100.0,16032
16,35,247,247,100.0,16035
17,1,221,221,100.0,17001
17,7,277,277,100.0,17007
17,12,332,332,100.0,17012
17,14,262,262,100.0,17014
17,16,175,175,100.0,17016
17,30,81,81,100.0,17030
22,1,160,160,100.0,22001
22,2,270,270,100.0,22002
22,8,293,293,100.0,22008
22,12,221,221,100.0,22012
22,23,286,286,100.0,22023
23,3,183,183,100.0,23003
23,6,73,73,100.0,23006
23,12,7,7,100.0,23012
23,14,181,181,100.0,23014
23,17,120,120,100.0,23017
23,19,228,228,100.0,23019
23,20,3,3,100.0,23020
23,22,69,69,100.0,23022
23,24,140,140,100.0,23024
23,25,186,186,100.0,23025
23,26,57,57,100.0,23026
23,31,157,157,100.0,23031
23,37,56,56,100.0,23037
