ward,precinct,total,Robert ''Bob'' Rita,Robert ''Bob'' Rita Percent,precinct_id
9,1,284,284,100.0,09001
9,2,232,232,100.0,09002
9,4,210,210,100.0,09004
9,5,260,260,100.0,09005
9,6,278,278,100.0,09006
9,9,67,67,100.0,09009
9,13,80,80,100.0,09013
9,14,367,367,100.0,09014
9,17,215,215,100.0,09017
9,19,283,283,100.0,09019
9,22,303,303,100.0,09022
9,29,208,208,100.0,09029
9,31,170,170,100.0,09031
9,32,246,246,100.0,09032
9,34,225,225,100.0,09034
9,35,274,274,100.0,09035
9,38,74,74,100.0,09038
9,39,307,307,100.0,09039
9,40,315,315,100.0,09040
9,43,145,145,100.0,09043
9,44,45,45,100.0,09044
34,2,132,132,100.0,34002
34,3,320,320,100.0,34003
34,4,245,245,100.0,34004
34,6,345,345,100.0,34006
34,9,223,223,100.0,34009
34,11,241,241,100.0,34011
34,14,238,238,100.0,34014
34,15,16,16,100.0,34015
34,16,234,234,100.0,34016
34,18,224,224,100.0,34018
34,20,136,136,100.0,34020
34,22,267,267,100.0,34022
34,23,231,231,100.0,34023
34,24,297,297,100.0,34024
34,26,315,315,100.0,34026
34,27,245,245,100.0,34027
34,28,230,230,100.0,34028
34,30,296,296,100.0,34030
34,31,173,173,100.0,34031
34,33,241,241,100.0,34033
34,36,258,258,100.0,34036
34,37,207,207,100.0,34037
34,38,159,159,100.0,34038
34,39,239,239,100.0,34039
34,41,219,219,100.0,34041
34,42,278,278,100.0,34042
34,50,244,244,100.0,34050
34,51,243,243,100.0,34051
34,53,231,231,100.0,34053
