ward,precinct,total,Lucy Moog,Lucy Moog Percent,precinct_id
43,1,109,109,100.0,43001
43,2,162,162,100.0,43002
43,3,185,185,100.0,43003
43,4,172,172,100.0,43004
43,5,161,161,100.0,43005
43,6,120,120,100.0,43006
43,7,132,132,100.0,43007
43,8,152,152,100.0,43008
43,9,229,229,100.0,43009
43,10,195,195,100.0,43010
43,11,130,130,100.0,43011
43,12,114,114,100.0,43012
43,13,199,199,100.0,43013
43,14,185,185,100.0,43014
43,15,173,173,100.0,43015
43,16,184,184,100.0,43016
43,17,133,133,100.0,43017
43,18,194,194,100.0,43018
43,19,205,205,100.0,43019
43,20,236,236,100.0,43020
43,21,205,205,100.0,43021
43,22,115,115,100.0,43022
43,23,127,127,100.0,43023
43,24,116,116,100.0,43024
43,25,171,171,100.0,43025
43,26,139,139,100.0,43026
43,27,173,173,100.0,43027
43,28,208,208,100.0,43028
43,29,152,152,100.0,43029
43,30,264,264,100.0,43030
43,31,196,196,100.0,43031
43,32,216,216,100.0,43032
43,33,190,190,100.0,43033
43,34,137,137,100.0,43034
43,35,182,182,100.0,43035
43,36,103,103,100.0,43036
43,37,249,249,100.0,43037
43,38,119,119,100.0,43038
43,39,252,252,100.0,43039
43,40,152,152,100.0,43040
43,41,269,269,100.0,43041
43,42,147,147,100.0,43042
43,43,182,182,100.0,43043
43,44,176,176,100.0,43044
43,45,127,127,100.0,43045
43,46,81,81,100.0,43046
