ward,precinct,total,Joe Moore,Joe Moore Percent,precinct_id
49,1,232,232,100.0,49001
49,2,210,210,100.0,49002
49,3,334,334,100.0,49003
49,4,391,391,100.0,49004
49,5,303,303,100.0,49005
49,6,282,282,100.0,49006
49,7,318,318,100.0,49007
49,8,260,260,100.0,49008
49,9,308,308,100.0,49009
49,10,292,292,100.0,49010
49,11,382,382,100.0,49011
49,12,435,435,100.0,49012
49,13,358,358,100.0,49013
49,14,251,251,100.0,49014
49,15,248,248,100.0,49015
49,16,332,332,100.0,49016
49,17,215,215,100.0,49017
49,18,392,392,100.0,49018
49,19,279,279,100.0,49019
49,20,453,453,100.0,49020
49,21,205,205,100.0,49021
49,22,325,325,100.0,49022
49,23,407,407,100.0,49023
49,24,273,273,100.0,49024
49,25,427,427,100.0,49025
49,26,338,338,100.0,49026
49,27,383,383,100.0,49027
49,28,421,421,100.0,49028
49,29,365,365,100.0,49029
49,30,318,318,100.0,49030
49,31,253,253,100.0,49031
49,32,341,341,100.0,49032
49,33,300,300,100.0,49033
