ward,precinct,total,Andrew Seo,Andrew Seo Percent,Tom Greenhaw,Tom Greenhaw Percent,Martin J. Durkan,Martin J. Durkan Percent,precinct_id
1,1,306,104,33.99,127,41.5,75,24.51,01001
1,2,304,94,30.92,115,37.83,95,31.25,01002
1,3,252,101,40.08,95,37.7,56,22.22,01003
1,4,238,68,28.57,93,39.08,77,32.35,01004
1,5,221,88,39.82,73,33.03,60,27.15,01005
1,6,257,86,33.46,101,39.3,70,27.24,01006
1,7,212,61,28.77,95,44.81,56,26.42,01007
1,8,211,53,25.12,85,40.28,73,34.6,01008
1,9,240,88,36.67,88,36.67,64,26.67,01009
1,10,217,68,31.34,101,46.54,48,22.12,01010
1,11,249,94,37.75,102,40.96,53,21.29,01011
1,12,274,102,37.23,105,38.32,67,24.45,01012
1,13,120,33,27.5,44,36.67,43,35.83,01013
1,14,259,80,30.89,112,43.24,67,25.87,01014
1,15,260,96,36.92,87,33.46,77,29.62,01015
1,16,261,97,37.16,97,37.16,67,25.67,01016
1,17,273,89,32.6,110,40.29,74,27.11,01017
1,18,295,107,36.27,126,42.71,62,21.02,01018
1,19,342,115,33.63,139,40.64,88,25.73,01019
1,20,236,84,35.59,93,39.41,59,25.0,01020
1,21,222,68,30.63,101,45.5,53,23.87,01021
1,22,200,77,38.5,80,40.0,43,21.5,01022
1,23,410,160,39.02,175,42.68,75,18.29,01023
1,24,269,88,32.71,92,34.2,89,33.09,01024
1,25,268,98,36.57,105,39.18,65,24.25,01025
1,26,241,100,41.49,60,24.9,81,33.61,01026
1,27,263,103,39.16,96,36.5,64,24.33,01027
1,28,102,38,37.25,32,31.37,32,31.37,01028
1,29,245,85,34.69,91,37.14,69,28.16,01029
1,30,299,96,32.11,111,37.12,92,30.77,01030
1,31,298,98,32.89,119,39.93,81,27.18,01031
1,32,246,72,29.27,99,40.24,75,30.49,01032
1,33,242,74,30.58,99,40.91,69,28.51,01033
1,34,234,103,44.02,83,35.47,48,20.51,01034
1,35,277,96,34.66,108,38.99,73,26.35,01035
1,36,214,75,35.05,90,42.06,49,22.9,01036
1,37,242,89,36.78,85,35.12,68,28.1,01037
1,38,256,92,35.94,103,40.23,61,23.83,01038
1,39,217,77,35.48,82,37.79,58,26.73,01039
1,40,256,74,28.91,101,39.45,81,31.64,01040
1,41,183,69,37.7,70,38.25,44,24.04,01041
1,42,89,24,26.97,42,47.19,23,25.84,01042
1,43,207,77,37.2,81,39.13,49,23.67,01043
1,44,243,94,38.68,107,44.03,42,17.28,01044
2,1,225,77,34.22,102,45.33,46,20.44,02001
2,2,124,42,33.87,59,47.58,23,18.55,02002
2,3,248,71,28.63,123,49.6,54,21.77,02003
2,4,209,86,41.15,79,37.8,44,21.05,02004
2,5,256,87,33.98,98,38.28,71,27.73,02005
2,6,276,82,29.71,121,43.84,73,26.45,02006
2,7,208,73,35.1,80,38.46,55,26.44,02007
2,8,230,74,32.17,91,39.57,65,28.26,02008
2,9,132,46,34.85,52,39.39,34,25.76,02009
2,10,147,42,28.57,61,41.5,44,29.93,02010
2,11,152,45,29.61,66,43.42,41,26.97,02011
2,12,234,57,24.36,98,41.88,79,33.76,02012
2,13,194,55,28.35,97,50.0,42,21.65,02013
2,14,272,109,40.07,110,40.44,53,19.49,02014
2,15,215,70,32.56,85,39.53,60,27.91,02015
2,16,197,65,32.99,89,45.18,43,21.83,02016
2,17,285,110,38.6,111,38.95,64,22.46,02017
2,18,189,65,34.39,70,37.04,54,28.57,02018
2,19,129,29,22.48,68,52.71,32,24.81,02019
2,20,175,56,32.0,76,43.43,43,24.57,02020
2,21,239,80,33.47,101,42.26,58,24.27,02021
2,22,176,46,26.14,78,44.32,52,29.55,02022
2,23,109,24,22.02,56,51.38,29,26.61,02023
2,24,166,45,27.11,74,44.58,47,28.31,02024
2,25,214,76,35.51,87,40.65,51,23.83,02025
2,26,174,55,31.61,59,33.91,60,34.48,02026
2,27,160,50,31.25,65,40.63,45,28.13,02027
2,28,205,68,33.17,85,41.46,52,25.37,02028
2,29,186,69,37.1,73,39.25,44,23.66,02029
2,30,168,54,32.14,76,45.24,38,22.62,02030
2,31,225,62,27.56,92,40.89,71,31.56,02031
2,32,155,44,28.39,69,44.52,42,27.1,02032
2,33,282,78,27.66,137,48.58,67,23.76,02033
2,34,155,40,25.81,78,50.32,37,23.87,02034
2,35,175,63,36.0,65,37.14,47,26.86,02035
2,36,144,49,34.03,60,41.67,35,24.31,02036
2,37,198,63,31.82,88,44.44,47,23.74,02037
2,38,160,45,28.13,71,44.38,44,27.5,02038
2,39,124,43,34.68,43,34.68,38,30.65,02039
2,40,182,58,31.87,79,43.41,45,24.73,02040
2,41,141,54,38.3,57,40.43,30,21.28,02041
2,42,195,66,33.85,77,39.49,52,26.67,02042
2,43,206,77,37.38,89,43.2,40,19.42,02043
2,44,107,31,28.97,44,41.12,32,29.91,02044
2,45,244,76,31.15,100,40.98,68,27.87,02045
2,46,112,35,31.25,42,37.5,35,31.25,02046
3,1,438,105,23.97,131,29.91,202,46.12,03001
3,2,437,108,24.71,167,38.22,162,37.07,03002
3,3,260,78,30.0,82,31.54,100,38.46,03003
3,4,370,96,25.95,114,30.81,160,43.24,03004
3,5,266,59,22.18,80,30.08,127,47.74,03005
3,6,257,94,36.58,92,35.8,71,27.63,03006
3,7,266,120,45.11,72,27.07,74,27.82,03007
3,8,341,76,22.29,94,27.57,171,50.15,03008
3,9,348,102,29.31,109,31.32,137,39.37,03009
3,10,198,32,16.16,73,36.87,93,46.97,03010
3,11,369,87,23.58,133,36.04,149,40.38,03011
3,12,364,95,26.1,121,33.24,148,40.66,03012
3,13,304,131,43.09,113,37.17,60,19.74,03013
3,14,289,93,32.18,114,39.45,82,28.37,03014
3,15,355,82,23.1,107,30.14,166,46.76,03015
3,16,344,88,25.58,104,30.23,152,44.19,03016
3,17,302,94,31.13,104,34.44,104,34.44,03017
3,18,516,145,28.1,136,26.36,235,45.54,03018
3,19,244,84,34.43,91,37.3,69,28.28,03019
3,20,369,109,29.54,115,31.17,145,39.3,03020
3,21,269,81,30.11,103,38.29,85,31.6,03021
3,22,308,124,40.26,108,35.06,76,24.68,03022
3,23,323,82,25.39,97,30.03,144,44.58,03023
3,24,321,71,22.12,117,36.45,133,41.43,03024
3,25,320,117,36.56,129,40.31,74,23.13,03025
3,26,325,119,36.62,128,39.38,78,24.0,03026
3,27,248,86,34.68,94,37.9,68,27.42,03027
3,28,239,56,23.43,86,35.98,97,40.59,03028
3,29,340,91,26.76,112,32.94,137,40.29,03029
3,30,312,77,24.68,101,32.37,134,42.95,03030
3,31,424,108,25.47,123,29.01,193,45.52,03031
3,32,281,80,28.47,126,44.84,75,26.69,03032
3,33,277,101,36.46,98,35.38,78,28.16,03033
3,34,326,114,34.97,119,36.5,93,28.53,03034
3,35,158,45,28.48,56,35.44,57,36.08,03035
3,36,210,40,19.05,72,34.29,98,46.67,03036
3,37,282,79,28.01,89,31.56,114,40.43,03037
3,38,304,70,23.03,114,37.5,120,39.47,03038
3,39,274,104,37.96,124,45.26,46,16.79,03039
3,40,344,85,24.71,135,39.24,124,36.05,03040
3,41,272,86,31.62,100,36.76,86,31.62,03041
4,1,375,129,34.4,168,44.8,78,20.8,04001
4,2,284,114,40.14,114,40.14,56,19.72,04002
4,3,327,69,21.1,120,36.7,138,42.2,04003
4,4,478,122,25.52,135,28.24,221,46.23,04004
4,5,337,100,29.67,104,30.86,133,39.47,04005
4,6,418,108,25.84,167,39.95,143,34.21,04006
4,7,411,117,28.47,137,33.33,157,38.2,04007
4,8,414,93,22.46,172,41.55,149,35.99,04008
4,9,409,114,27.87,153,37.41,142,34.72,04009
4,10,402,128,31.84,151,37.56,123,30.6,04010
4,11,386,81,20.98,139,36.01,166,43.01,04011
4,12,412,126,30.58,126,30.58,160,38.83,04012
4,13,237,94,39.66,87,36.71,56,23.63,04013
4,14,348,81,23.28,123,35.34,144,41.38,04014
4,15,451,130,28.82,147,32.59,174,38.58,04015
4,16,347,135,38.9,148,42.65,64,18.44,04016
4,17,329,127,38.6,143,43.47,59,17.93,04017
4,18,317,74,23.34,108,34.07,135,42.59,04018
4,19,340,62,18.24,120,35.29,158,46.47,04019
4,20,253,73,28.85,118,46.64,62,24.51,04020
4,21,346,135,39.02,128,36.99,83,23.99,04021
4,22,334,96,28.74,138,41.32,100,29.94,04022
4,23,430,136,31.63,199,46.28,95,22.09,04023
4,24,324,99,30.56,127,39.2,98,30.25,04024
4,25,288,93,32.29,131,45.49,64,22.22,04025
4,26,352,85,24.15,126,35.8,141,40.06,04026
4,27,375,125,33.33,144,38.4,106,28.27,04027
4,28,340,107,31.47,127,37.35,106,31.18,04028
4,29,348,90,25.86,115,33.05,143,41.09,04029
4,30,479,117,24.43,148,30.9,214,44.68,04030
4,31,358,96,26.82,159,44.41,103,28.77,04031
4,32,371,96,25.88,118,31.81,157,42.32,04032
4,33,376,99,26.33,139,36.97,138,36.7,04033
4,34,307,81,26.38,101,32.9,125,40.72,04034
4,35,454,134,29.52,141,31.06,179,39.43,04035
4,36,374,99,26.47,135,36.1,140,37.43,04036
4,37,306,92,30.07,140,45.75,74,24.18,04037
4,38,409,132,32.27,155,37.9,122,29.83,04038
5,1,297,79,26.6,100,33.67,118,39.73,05001
5,2,314,88,28.03,95,30.25,131,41.72,05002
5,3,298,121,40.6,119,39.93,58,19.46,05003
5,4,369,130,35.23,121,32.79,118,31.98,05004
5,5,299,68,22.74,92,30.77,139,46.49,05005
5,6,289,77,26.64,88,30.45,124,42.91,05006
5,7,322,94,29.19,119,36.96,109,33.85,05007
5,8,289,89,30.8,147,50.87,53,18.34,05008
5,9,361,131,36.29,154,42.66,76,21.05,05009
5,10,298,78,26.17,90,30.2,130,43.62,05010
5,11,316,102,32.28,137,43.35,77,24.37,05011
5,12,258,60,23.26,67,25.97,131,50.78,05012
5,13,287,79,27.53,96,33.45,112,39.02,05013
5,14,300,95,31.67,87,29.0,118,39.33,05014
5,15,313,92,29.39,98,31.31,123,39.3,05015
5,16,320,83,25.94,94,29.38,143,44.69,05016
5,17,319,69,21.63,107,33.54,143,44.83,05017
5,18,287,105,36.59,106,36.93,76,26.48,05018
5,19,290,91,31.38,128,44.14,71,24.48,05019
5,20,338,130,38.46,134,39.64,74,21.89,05020
5,21,306,117,38.24,123,40.2,66,21.57,05021
5,22,342,107,31.29,151,44.15,84,24.56,05022
5,23,473,140,29.6,232,49.05,101,21.35,05023
5,24,339,114,33.63,134,39.53,91,26.84,05024
5,25,300,89,29.67,105,35.0,106,35.33,05025
5,26,319,87,27.27,104,32.6,128,40.13,05026
5,27,243,74,30.45,125,51.44,44,18.11,05027
5,28,358,110,30.73,130,36.31,118,32.96,05028
5,29,371,121,32.61,122,32.88,128,34.5,05029
5,30,267,78,29.21,64,23.97,125,46.82,05030
5,31,281,69,24.56,88,31.32,124,44.13,05031
5,32,373,104,27.88,143,38.34,126,33.78,05032
5,33,348,81,23.28,132,37.93,135,38.79,05033
5,34,320,91,28.44,169,52.81,60,18.75,05034
5,35,313,116,37.06,149,47.6,48,15.34,05035
5,36,270,55,20.37,88,32.59,127,47.04,05036
5,37,291,78,26.8,146,50.17,67,23.02,05037
5,38,349,114,32.66,84,24.07,151,43.27,05038
5,39,227,65,28.63,106,46.7,56,24.67,05039
5,40,259,83,32.05,83,32.05,93,35.91,05040
5,41,164,52,31.71,75,45.73,37,22.56,05041
6,1,331,74,22.36,128,38.67,129,38.97,06001
6,2,319,76,23.82,112,35.11,131,41.07,06002
6,3,326,77,23.62,127,38.96,122,37.42,06003
6,4,240,44,18.33,88,36.67,108,45.0,06004
6,5,212,47,22.17,77,36.32,88,41.51,06005
6,6,303,80,26.4,120,39.6,103,33.99,06006
6,7,329,74,22.49,126,38.3,129,39.21,06007
