ward,precinct,total,Jacob Meister,Jacob Meister Percent,Dorothy A. Brown,Dorothy A. Brown Percent,Michelle A. Harris,Michelle A. Harris Percent,precinct_id
1,1,345,136,39.42,119,34.49,90,26.09,01001
1,2,335,113,33.73,140,41.79,82,24.48,01002
1,3,294,112,38.1,100,34.01,82,27.89,01003
1,4,274,95,34.67,102,37.23,77,28.1,01004
1,5,273,98,35.9,113,41.39,62,22.71,01005
1,6,293,101,34.47,117,39.93,75,25.6,01006
1,7,229,121,52.84,62,27.07,46,20.09,01007
1,8,242,91,37.6,101,41.74,50,20.66,01008
1,9,266,111,41.73,89,33.46,66,24.81,01009
1,10,270,124,45.93,78,28.89,68,25.19,01010
1,11,278,120,43.17,86,30.94,72,25.9,01011
1,12,300,101,33.67,117,39.0,82,27.33,01012
1,13,135,65,48.15,52,38.52,18,13.33,01013
1,14,310,131,42.26,110,35.48,69,22.26,01014
1,15,298,100,33.56,120,40.27,78,26.17,01015
1,16,289,108,37.37,108,37.37,73,25.26,01016
1,17,321,107,33.33,133,41.43,81,25.23,01017
1,18,333,115,34.53,141,42.34,77,23.12,01018
1,19,398,159,39.95,141,35.43,98,24.62,01019
1,20,256,93,36.33,88,34.38,75,29.3,01020
1,21,258,114,44.19,80,31.01,64,24.81,01021
1,22,235,80,34.04,104,44.26,51,21.7,01022
1,23,465,197,42.37,148,31.83,120,25.81,01023
1,24,315,74,23.49,157,49.84,84,26.67,01024
1,25,314,103,32.8,135,42.99,76,24.2,01025
1,26,266,63,23.68,126,47.37,77,28.95,01026
1,27,302,116,38.41,114,37.75,72,23.84,01027
1,28,123,24,19.51,72,58.54,27,21.95,01028
1,29,291,132,45.36,98,33.68,61,20.96,01029
1,30,344,126,36.63,141,40.99,77,22.38,01030
1,31,337,111,32.94,139,41.25,87,25.82,01031
1,32,278,110,39.57,96,34.53,72,25.9,01032
1,33,296,116,39.19,93,31.42,87,29.39,01033
1,34,277,104,37.55,110,39.71,63,22.74,01034
1,35,323,103,31.89,112,34.67,108,33.44,01035
1,36,237,107,45.15,72,30.38,58,24.47,01036
1,37,276,85,30.8,91,32.97,100,36.23,01037
1,38,282,119,42.2,93,32.98,70,24.82,01038
1,39,252,92,36.51,97,38.49,63,25.0,01039
1,40,291,93,31.96,130,44.67,68,23.37,01040
1,41,210,86,40.95,71,33.81,53,25.24,01041
1,42,100,45,45.0,37,37.0,18,18.0,01042
1,43,239,93,38.91,84,35.15,62,25.94,01043
1,44,270,108,40.0,95,35.19,67,24.81,01044
2,1,271,103,38.01,81,29.89,87,32.1,02001
2,2,168,73,43.45,40,23.81,55,32.74,02002
2,3,278,118,42.45,85,30.58,75,26.98,02003
2,4,244,105,43.03,74,30.33,65,26.64,02004
2,5,293,111,37.88,90,30.72,92,31.4,02005
2,6,299,95,31.77,98,32.78,106,35.45,02006
2,7,248,82,33.06,106,42.74,60,24.19,02007
2,8,271,89,32.84,94,34.69,88,32.47,02008
2,9,174,52,29.89,72,41.38,50,28.74,02009
2,10,188,83,44.15,48,25.53,57,30.32,02010
2,11,198,93,46.97,51,25.76,54,27.27,02011
2,12,295,64,21.69,141,47.8,90,30.51,02012
2,13,227,108,47.58,58,25.55,61,26.87,02013
2,14,314,107,34.08,109,34.71,98,31.21,02014
2,15,250,94,37.6,81,32.4,75,30.0,02015
2,16,228,75,32.89,82,35.96,71,31.14,02016
2,17,323,130,40.25,109,33.75,84,26.01,02017
2,18,221,93,42.08,62,28.05,66,29.86,02018
2,19,150,82,54.67,36,24.0,32,21.33,02019
2,20,202,80,39.6,64,31.68,58,28.71,02020
2,21,285,110,38.6,95,33.33,80,28.07,02021
2,22,221,108,48.87,51,23.08,62,28.05,02022
2,23,146,79,54.11,28,19.18,39,26.71,02023
2,24,204,64,31.37,89,43.63,51,25.0,02024
2,25,244,102,41.8,63,25.82,79,32.38,02025
2,26,214,67,31.31,89,41.59,58,27.1,02026
2,27,189,90,47.62,47,24.87,52,27.51,02027
2,28,230,89,38.7,65,28.26,76,33.04,02028
2,29,212,76,35.85,73,34.43,63,29.72,02029
2,30,196,90,45.92,52,26.53,54,27.55,02030
2,31,270,121,44.81,70,25.93,79,29.26,02031
2,32,176,54,30.68,58,32.95,64,36.36,02032
2,33,323,168,52.01,80,24.77,75,23.22,02033
2,34,182,94,51.65,44,24.18,44,24.18,02034
2,35,211,77,36.49,78,36.97,56,26.54,02035
2,36,182,71,39.01,60,32.97,51,28.02,02036
2,37,227,101,44.49,61,26.87,65,28.63,02037
2,38,196,96,48.98,59,30.1,41,20.92,02038
2,39,142,43,30.28,60,42.25,39,27.46,02039
2,40,200,65,32.5,74,37.0,61,30.5,02040
2,41,161,51,31.68,55,34.16,55,34.16,02041
2,42,237,72,30.38,96,40.51,69,29.11,02042
2,43,246,108,43.9,72,29.27,66,26.83,02043
2,44,130,64,49.23,23,17.69,43,33.08,02044
2,45,273,68,24.91,125,45.79,80,29.3,02045
2,46,130,45,34.62,45,34.62,40,30.77,02046
3,1,543,22,4.05,383,70.53,138,25.41,03001
3,2,548,34,6.2,392,71.53,122,22.26,03002
3,3,328,40,12.2,205,62.5,83,25.3,03003
3,4,459,20,4.36,301,65.58,138,30.07,03004
3,5,313,13,4.15,216,69.01,84,26.84,03005
3,6,309,94,30.42,100,32.36,115,37.22,03006
3,7,322,17,5.28,228,70.81,77,23.91,03007
3,8,418,17,4.07,307,73.44,94,22.49,03008
3,9,431,18,4.18,284,65.89,129,29.93,03009
3,10,231,12,5.19,149,64.5,70,30.3,03010
3,11,444,21,4.73,300,67.57,123,27.7,03011
3,12,453,27,5.96,292,64.46,134,29.58,03012
3,13,350,109,31.14,121,34.57,120,34.29,03013
3,14,328,57,17.38,166,50.61,105,32.01,03014
3,15,440,8,1.82,316,71.82,116,26.36,03015
3,16,423,19,4.49,287,67.85,117,27.66,03016
3,17,364,37,10.16,201,55.22,126,34.62,03017
3,18,610,41,6.72,401,65.74,168,27.54,03018
3,19,290,80,27.59,105,36.21,105,36.21,03019
3,20,461,30,6.51,316,68.55,115,24.95,03020
3,21,326,65,19.94,145,44.48,116,35.58,03021
3,22,358,90,25.14,138,38.55,130,36.31,03022
3,23,405,14,3.46,295,72.84,96,23.7,03023
3,24,381,22,5.77,251,65.88,108,28.35,03024
3,25,387,139,35.92,116,29.97,132,34.11,03025
3,26,383,149,38.9,132,34.46,102,26.63,03026
3,27,289,77,26.64,105,36.33,107,37.02,03027
3,28,296,14,4.73,195,65.88,87,29.39,03028
3,29,445,20,4.49,316,71.01,109,24.49,03029
3,30,410,18,4.39,284,69.27,108,26.34,03030
3,31,512,28,5.47,341,66.6,143,27.93,03031
3,32,341,81,23.75,153,44.87,107,31.38,03032
3,33,320,94,29.38,120,37.5,106,33.13,03033
3,34,375,87,23.2,170,45.33,118,31.47,03034
3,35,198,12,6.06,132,66.67,54,27.27,03035
3,36,257,16,6.23,196,76.26,45,17.51,03036
3,37,373,21,5.63,264,70.78,88,23.59,03037
3,38,369,13,3.52,250,67.75,106,28.73,03038
3,39,328,113,34.45,111,33.84,104,31.71,03039
3,40,420,42,10.0,255,60.71,123,29.29,03040
3,41,328,32,9.76,195,59.45,101,30.79,03041
4,1,438,96,21.92,178,40.64,164,37.44,04001
4,2,329,112,34.04,109,33.13,108,32.83,04002
4,3,413,20,4.84,267,64.65,126,30.51,04003
4,4,591,32,5.41,368,62.27,191,32.32,04004
4,5,433,28,6.47,248,57.27,157,36.26,04005
4,6,504,32,6.35,298,59.13,174,34.52,04006
4,7,502,26,5.18,301,59.96,175,34.86,04007
4,8,494,26,5.26,296,59.92,172,34.82,04008
4,9,536,36,6.72,294,54.85,206,38.43,04009
4,10,504,50,9.92,293,58.13,161,31.94,04010
4,11,486,23,4.73,343,70.58,120,24.69,04011
4,12,484,23,4.75,316,65.29,145,29.96,04012
4,13,270,83,30.74,105,38.89,82,30.37,04013
4,14,432,25,5.79,288,66.67,119,27.55,04014
4,15,548,38,6.93,353,64.42,157,28.65,04015
4,16,387,138,35.66,122,31.52,127,32.82,04016
4,17,376,120,31.91,132,35.11,124,32.98,04017
4,18,405,28,6.91,268,66.17,109,26.91,04018
4,19,451,15,3.33,332,73.61,104,23.06,04019
4,20,311,102,32.8,116,37.3,93,29.9,04020
4,21,402,106,26.37,179,44.53,117,29.1,04021
4,22,420,82,19.52,210,50.0,128,30.48,04022
4,23,492,107,21.75,212,43.09,173,35.16,04023
4,24,381,54,14.17,189,49.61,138,36.22,04024
4,25,331,124,37.46,114,34.44,93,28.1,04025
4,26,449,24,5.35,266,59.24,159,35.41,04026
4,27,432,80,18.52,192,44.44,160,37.04,04027
4,28,391,26,6.65,229,58.57,136,34.78,04028
4,29,428,19,4.44,272,63.55,137,32.01,04029
4,30,587,23,3.92,409,69.68,155,26.41,04030
4,31,450,57,12.67,223,49.56,170,37.78,04031
4,32,462,20,4.33,304,65.8,138,29.87,04032
4,33,453,45,9.93,261,57.62,147,32.45,04033
4,34,383,30,7.83,231,60.31,122,31.85,04034
4,35,539,24,4.45,313,58.07,202,37.48,04035
4,36,470,30,6.38,285,60.64,155,32.98,04036
4,37,344,142,41.28,98,28.49,104,30.23,04037
4,38,484,39,8.06,265,54.75,180,37.19,04038
5,1,372,21,5.65,247,66.4,104,27.96,05001
5,2,369,7,1.9,244,66.12,118,31.98,05002
5,3,341,77,22.58,119,34.9,145,42.52,05003
5,4,447,46,10.29,221,49.44,180,40.27,05004
5,5,415,17,4.1,276,66.51,122,29.4,05005
5,6,360,20,5.56,214,59.44,126,35.0,05006
5,7,379,59,15.57,185,48.81,135,35.62,05007
5,8,326,113,34.66,97,29.75,116,35.58,05008
5,9,452,67,14.82,189,41.81,196,43.36,05009
5,10,365,20,5.48,223,61.1,122,33.42,05010
5,11,379,97,25.59,162,42.74,120,31.66,05011
5,12,337,7,2.08,234,69.44,96,28.49,05012
5,13,348,15,4.31,230,66.09,103,29.6,05013
5,14,382,15,3.93,213,55.76,154,40.31,05014
5,15,374,45,12.03,208,55.61,121,32.35,05015
5,16,411,18,4.38,255,62.04,138,33.58,05016
5,17,392,18,4.59,256,65.31,118,30.1,05017
5,18,344,65,18.9,160,46.51,119,34.59,05018
5,19,340,111,32.65,123,36.18,106,31.18,05019
5,20,412,70,16.99,192,46.6,150,36.41,05020
5,21,368,84,22.83,154,41.85,130,35.33,05021
5,22,415,103,24.82,175,42.17,137,33.01,05022
5,23,578,157,27.16,220,38.06,201,34.78,05023
5,24,392,92,23.47,160,40.82,140,35.71,05024
5,25,395,32,8.1,222,56.2,141,35.7,05025
5,26,414,19,4.59,259,62.56,136,32.85,05026
5,27,277,108,38.99,75,27.08,94,33.94,05027
5,28,447,28,6.26,240,53.69,179,40.04,05028
5,29,454,32,7.05,239,52.64,183,40.31,05029
5,30,336,18,5.36,214,63.69,104,30.95,05030
5,31,352,17,4.83,214,60.8,121,34.38,05031
5,32,447,21,4.7,263,58.84,163,36.47,05032
5,33,443,20,4.51,279,62.98,144,32.51,05033
5,34,361,147,40.72,97,26.87,117,32.41,05034
5,35,369,110,29.81,124,33.6,135,36.59,05035
5,36,323,15,4.64,199,61.61,109,33.75,05036
5,37,350,91,26.0,123,35.14,136,38.86,05037
5,38,426,11,2.58,286,67.14,129,30.28,05038
5,39,282,102,36.17,94,33.33,86,30.5,05039
5,40,324,19,5.86,205,63.27,100,30.86,05040
5,41,209,49,23.44,77,36.84,83,39.71,05041
6,1,398,14,3.52,241,60.55,143,35.93,06001
