ward,precinct,total,Nicholas Sposato,Nicholas Sposato Percent,precinct_id
38,1,170,170,100.0,38001
38,2,201,201,100.0,38002
38,3,220,220,100.0,38003
38,4,213,213,100.0,38004
38,5,185,185,100.0,38005
38,6,206,206,100.0,38006
38,7,208,208,100.0,38007
38,8,193,193,100.0,38008
38,9,241,241,100.0,38009
38,10,219,219,100.0,38010
38,11,194,194,100.0,38011
38,12,181,181,100.0,38012
38,13,206,206,100.0,38013
38,14,220,220,100.0,38014
38,15,197,197,100.0,38015
38,16,213,213,100.0,38016
38,17,246,246,100.0,38017
38,18,186,186,100.0,38018
38,19,197,197,100.0,38019
38,20,204,204,100.0,38020
38,21,183,183,100.0,38021
38,22,208,208,100.0,38022
38,23,232,232,100.0,38023
38,24,219,219,100.0,38024
38,25,178,178,100.0,38025
38,26,192,192,100.0,38026
38,27,209,209,100.0,38027
38,28,241,241,100.0,38028
38,29,258,258,100.0,38029
38,30,192,192,100.0,38030
38,31,199,199,100.0,38031
38,32,191,191,100.0,38032
38,33,191,191,100.0,38033
38,34,192,192,100.0,38034
38,35,231,231,100.0,38035
38,36,196,196,100.0,38036
38,37,214,214,100.0,38037
38,38,184,184,100.0,38038
38,39,253,253,100.0,38039
38,40,213,213,100.0,38040
38,41,221,221,100.0,38041
