ward,precinct,total,Michael J. Madigan,Michael J. Madigan Percent,Jason Gonzales,Jason Gonzales Percent,Joe G. Barboza,Joe G. Barboza Percent,Grasiela Rodriguez,Grasiela Rodriguez Percent,precinct_id
13,1,274,192,70.07,66,24.09,0,0.0,16,5.84,13001
13,2,287,226,78.75,56,19.51,1,0.35,4,1.39,13002
13,3,264,168,63.64,73,27.65,3,1.14,20,7.58,13003
13,4,304,199,65.46,91,29.93,4,1.32,10,3.29,13004
13,5,403,296,73.45,82,20.35,8,1.99,17,4.22,13005
13,6,314,220,70.06,85,27.07,2,0.64,7,2.23,13006
13,7,280,201,71.79,49,17.5,7,2.5,23,8.21,13007
13,8,235,166,70.64,59,25.11,4,1.7,6,2.55,13008
13,9,317,191,60.25,101,31.86,4,1.26,21,6.62,13009
13,10,230,150,65.22,69,30.0,4,1.74,7,3.04,13010
13,11,335,249,74.33,63,18.81,10,2.99,13,3.88,13011
13,12,307,231,75.24,61,19.87,2,0.65,13,4.23,13012
13,13,362,267,73.76,82,22.65,1,0.28,12,3.31,13013
13,14,317,218,68.77,71,22.4,8,2.52,20,6.31,13014
13,15,555,426,76.76,104,18.74,6,1.08,19,3.42,13015
13,16,271,188,69.37,68,25.09,5,1.85,10,3.69,13016
13,17,279,180,64.52,82,29.39,8,2.87,9,3.23,13017
13,18,226,152,67.26,60,26.55,5,2.21,9,3.98,13018
13,19,453,297,65.56,108,23.84,5,1.1,43,9.49,13019
13,20,180,131,72.78,37,20.56,7,3.89,5,2.78,13020
13,21,325,228,70.15,80,24.62,8,2.46,9,2.77,13021
13,22,333,252,75.68,71,21.32,5,1.5,5,1.5,13022
13,23,276,178,64.49,82,29.71,3,1.09,13,4.71,13023
13,24,313,238,76.04,61,19.49,1,0.32,13,4.15,13024
13,25,345,245,71.01,75,21.74,8,2.32,17,4.93,13025
13,26,374,301,80.48,51,13.64,6,1.6,16,4.28,13026
13,27,324,239,73.77,67,20.68,7,2.16,11,3.4,13027
13,28,288,199,69.1,70,24.31,2,0.69,17,5.9,13028
13,29,270,180,66.67,69,25.56,5,1.85,16,5.93,13029
13,30,265,208,78.49,44,16.6,5,1.89,8,3.02,13030
13,31,325,229,70.46,80,24.62,10,3.08,6,1.85,13031
13,32,269,184,68.4,70,26.02,5,1.86,10,3.72,13032
13,33,273,178,65.2,81,29.67,4,1.47,10,3.66,13033
13,34,442,364,82.35,57,12.9,5,1.13,16,3.62,13034
13,35,305,250,81.97,42,13.77,3,0.98,10,3.28,13035
13,36,194,141,72.68,40,20.62,3,1.55,10,5.15,13036
13,37,374,262,70.05,90,24.06,7,1.87,15,4.01,13037
13,38,235,159,67.66,64,27.23,3,1.28,9,3.83,13038
13,39,333,236,70.87,84,25.23,3,0.9,10,3.0,13039
13,40,288,229,79.51,48,16.67,4,1.39,7,2.43,13040
13,41,350,232,66.29,94,26.86,7,2.0,17,4.86,13041
13,42,275,166,60.36,98,35.64,5,1.82,6,2.18,13042
13,43,351,269,76.64,64,18.23,3,0.85,15,4.27,13043
13,44,476,443,93.07,26,5.46,1,0.21,6,1.26,13044
13,45,406,347,85.47,48,11.82,3,0.74,8,1.97,13045
13,46,421,288,68.41,107,25.42,5,1.19,21,4.99,13046
13,47,369,287,77.78,64,17.34,5,1.36,13,3.52,13047
13,48,288,219,76.04,61,21.18,0,0.0,8,2.78,13048
14,3,389,200,51.41,123,31.62,16,4.11,50,12.85,14003
14,6,39,20,51.28,16,41.03,0,0.0,3,7.69,14006
14,10,0,0,0.0,0,0.0,0,0.0,0,0.0,14010
14,11,224,127,56.7,62,27.68,5,2.23,30,13.39,14011
14,15,419,217,51.79,136,32.46,12,2.86,54,12.89,14015
14,18,106,42,39.62,47,44.34,2,1.89,15,14.15,14018
14,22,279,148,53.05,92,32.97,13,4.66,26,9.32,14022
14,23,72,32,44.44,32,44.44,5,6.94,3,4.17,14023
18,15,342,206,60.23,107,31.29,6,1.75,23,6.73,18015
18,43,243,112,46.09,94,38.68,9,3.7,28,11.52,18043
18,46,226,134,59.29,77,34.07,4,1.77,11,4.87,18046
23,1,201,129,64.18,58,28.86,5,2.49,9,4.48,23001
23,2,268,151,56.34,102,38.06,5,1.87,10,3.73,23002
