ward,precinct,total,Will Guzzardi,Will Guzzardi Percent,precinct_id
1,2,108,108,100.0,01002
1,7,223,223,100.0,01007
1,9,233,233,100.0,01009
1,13,138,138,100.0,01013
1,16,270,270,100.0,01016
1,17,15,15,100.0,01017
1,19,410,410,100.0,01019
1,23,485,485,100.0,01023
1,34,278,278,100.0,01034
1,41,185,185,100.0,01041
1,42,87,87,100.0,01042
1,43,215,215,100.0,01043
26,7,216,216,100.0,26007
26,34,234,234,100.0,26034
26,37,13,13,100.0,26037
30,1,279,279,100.0,30001
30,4,248,248,100.0,30004
30,7,265,265,100.0,30007
30,9,137,137,100.0,30009
30,17,247,247,100.0,30017
30,18,143,143,100.0,30018
30,19,59,59,100.0,30019
30,20,244,244,100.0,30020
30,23,272,272,100.0,30023
30,24,84,84,100.0,30024
30,25,190,190,100.0,30025
30,26,130,130,100.0,30026
30,27,153,153,100.0,30027
30,31,161,161,100.0,30031
31,1,152,152,100.0,31001
31,2,149,149,100.0,31002
31,5,196,196,100.0,31005
31,6,146,146,100.0,31006
31,7,286,286,100.0,31007
31,8,118,118,100.0,31008
31,9,209,209,100.0,31009
31,10,167,167,100.0,31010
31,11,144,144,100.0,31011
31,12,156,156,100.0,31012
31,13,200,200,100.0,31013
31,14,129,129,100.0,31014
31,17,158,158,100.0,31017
31,18,161,161,100.0,31018
31,20,153,153,100.0,31020
31,21,152,152,100.0,31021
31,23,152,152,100.0,31023
31,24,206,206,100.0,31024
31,26,198,198,100.0,31026
31,27,144,144,100.0,31027
31,28,162,162,100.0,31028
31,29,176,176,100.0,31029
31,30,138,138,100.0,31030
31,32,152,152,100.0,31032
31,33,144,144,100.0,31033
31,34,166,166,100.0,31034
31,35,189,189,100.0,31035
31,36,177,177,100.0,31036
31,37,160,160,100.0,31037
31,38,189,189,100.0,31038
31,40,193,193,100.0,31040
31,41,175,175,100.0,31041
32,3,189,189,100.0,32003
32,11,353,353,100.0,32011
32,12,276,276,100.0,32012
32,14,368,368,100.0,32014
32,20,368,368,100.0,32020
32,22,439,439,100.0,32022
32,26,200,200,100.0,32026
32,28,200,200,100.0,32028
32,43,24,24,100.0,32043
35,2,27,27,100.0,35002
35,10,457,457,100.0,35010
35,11,316,316,100.0,35011
35,15,344,344,100.0,35015
35,17,306,306,100.0,35017
35,25,377,377,100.0,35025
35,28,287,287,100.0,35028
36,9,0,0,0.0,36009
36,14,230,230,100.0,36014
36,16,228,228,100.0,36016
36,17,278,278,100.0,36017
36,18,156,156,100.0,36018
36,20,220,220,100.0,36020
38,23,257,257,100.0,38023
38,34,209,209,100.0,38034
38,35,257,257,100.0,38035
38,39,76,76,100.0,38039
45,8,247,247,100.0,45008
45,9,289,289,100.0,45009
45,10,288,288,100.0,45010
45,11,216,216,100.0,45011
