ward,precinct,total,Jameika Mangum,Jameika Mangum Percent,Leonard Murray,Leonard Murray Percent,precinct_id
3,1,414,180,43.48,234,56.52,03001
3,2,389,181,46.53,208,53.47,03002
3,4,367,175,47.68,192,52.32,03004
3,5,230,94,40.87,136,59.13,03005
3,7,256,80,31.25,176,68.75,03007
3,8,305,123,40.33,182,59.67,03008
3,9,346,184,53.18,162,46.82,03009
3,10,164,66,40.24,98,59.76,03010
3,11,334,170,50.9,164,49.1,03011
3,12,339,167,49.26,172,50.74,03012
3,15,302,133,44.04,169,55.96,03015
3,16,320,165,51.56,155,48.44,03016
3,18,426,212,49.77,214,50.23,03018
3,20,347,170,48.99,177,51.01,03020
3,23,297,135,45.45,162,54.55,03023
3,24,276,129,46.74,147,53.26,03024
3,28,208,86,41.35,122,58.65,03028
3,29,323,159,49.23,164,50.77,03029
3,30,290,132,45.52,158,54.48,03030
3,31,402,198,49.25,204,50.75,03031
3,35,148,71,47.97,77,52.03,03035
3,36,195,83,42.56,112,57.44,03036
3,37,269,121,44.98,148,55.02,03037
3,38,276,114,41.3,162,58.7,03038
3,41,250,104,41.6,146,58.4,03041
4,1,386,180,46.63,206,53.37,04001
4,3,308,131,42.53,177,57.47,04003
4,4,468,208,44.44,260,55.56,04004
4,5,345,160,46.38,185,53.62,04005
4,6,297,142,47.81,155,52.19,04006
4,7,402,184,45.77,218,54.23,04007
4,8,405,185,45.68,220,54.32,04008
4,9,460,287,62.39,173,37.61,04009
4,10,405,197,48.64,208,51.36,04010
4,11,361,182,50.42,179,49.58,04011
4,12,406,193,47.54,213,52.46,04012
4,14,324,143,44.14,181,55.86,04014
4,15,437,226,51.72,211,48.28,04015
4,18,298,141,47.32,157,52.68,04018
4,19,318,148,46.54,170,53.46,04019
4,22,319,142,44.51,177,55.49,04022
4,23,417,182,43.65,235,56.35,04023
4,24,311,136,43.73,175,56.27,04024
4,26,347,141,40.63,206,59.37,04026
4,27,366,160,43.72,206,56.28,04027
4,28,313,151,48.24,162,51.76,04028
4,29,333,179,53.75,154,46.25,04029
4,30,452,198,43.81,254,56.19,04030
4,31,337,132,39.17,205,60.83,04031
4,32,369,188,50.95,181,49.05,04032
4,33,366,177,48.36,189,51.64,04033
4,34,295,136,46.1,159,53.9,04034
4,35,424,190,44.81,234,55.19,04035
4,36,375,152,40.53,223,59.47,04036
4,38,385,178,46.23,207,53.77,04038
5,1,280,128,45.71,152,54.29,05001
5,2,302,150,49.67,152,50.33,05002
5,3,294,133,45.24,161,54.76,05003
5,4,365,193,52.88,172,47.12,05004
5,5,289,135,46.71,154,53.29,05005
5,6,288,114,39.58,174,60.42,05006
5,7,321,164,51.09,157,48.91,05007
5,8,279,102,36.56,177,63.44,05008
5,9,354,171,48.31,183,51.69,05009
5,10,260,129,49.62,131,50.38,05010
5,11,307,129,42.02,178,57.98,05011
5,12,66,24,36.36,42,63.64,05012
5,13,274,123,44.89,151,55.11,05013
5,14,330,104,31.52,226,68.48,05014
5,15,305,144,47.21,161,52.79,05015
5,16,308,156,50.65,152,49.35,05016
5,17,271,126,46.49,145,53.51,05017
5,18,286,129,45.1,157,54.9,05018
5,19,272,106,38.97,166,61.03,05019
5,20,322,156,48.45,166,51.55,05020
5,21,284,148,52.11,136,47.89,05021
5,22,327,124,37.92,203,62.08,05022
5,23,447,193,43.18,254,56.82,05023
5,24,322,144,44.72,178,55.28,05024
5,25,301,129,42.86,172,57.14,05025
5,26,309,167,54.05,142,45.95,05026
5,27,217,82,37.79,135,62.21,05027
5,28,341,156,45.75,185,54.25,05028
5,29,369,172,46.61,197,53.39,05029
5,30,248,133,53.63,115,46.37,05030
5,31,269,117,43.49,152,56.51,05031
5,32,344,184,53.49,160,46.51,05032
5,33,323,154,47.68,169,52.32,05033
5,34,283,95,33.57,188,66.43,05034
5,35,306,130,42.48,176,57.52,05035
5,36,239,102,42.68,137,57.32,05036
5,37,280,97,34.64,183,65.36,05037
5,38,347,168,48.41,179,51.59,05038
5,39,220,70,31.82,150,68.18,05039
5,40,256,113,44.14,143,55.86,05040
5,41,148,56,37.84,92,62.16,05041
6,7,298,137,45.97,161,54.03,06007
6,9,288,144,50.0,144,50.0,06009
6,11,295,131,44.41,164,55.59,06011
6,15,178,84,47.19,94,52.81,06015
6,18,25,15,60.0,10,40.0,06018
6,21,111,52,46.85,59,53.15,06021
6,23,160,67,41.88,93,58.13,06023
6,24,182,91,50.0,91,50.0,06024
6,26,176,83,47.16,93,52.84,06026
6,28,138,55,39.86,83,60.14,06028
6,30,229,101,44.1,128,55.9,06030
6,32,256,116,45.31,140,54.69,06032
6,40,27,13,48.15,14,51.85,06040
6,48,296,129,43.58,167,56.42,06048
7,1,267,139,52.06,128,47.94,07001
7,2,265,113,42.64,152,57.36,07002
7,3,280,138,49.29,142,50.71,07003
7,4,291,139,47.77,152,52.23,07004
7,5,196,96,48.98,100,51.02,07005
7,6,317,162,51.1,155,48.9,07006
7,8,206,102,49.51,104,50.49,07008
7,9,391,197,50.38,194,49.62,07009
7,13,9,5,55.56,4,44.44,07013
8,1,223,104,46.64,119,53.36,08001
8,2,191,80,41.88,111,58.12,08002
8,26,105,43,40.95,62,59.05,08026
8,42,379,161,42.48,218,57.52,08042
11,12,347,86,24.78,261,75.22,11012
11,13,314,88,28.03,226,71.97,11013
11,14,98,38,38.78,60,61.22,11014
11,15,83,28,33.73,55,66.27,11015
11,16,153,53,34.64,100,65.36,11016
11,18,215,68,31.63,147,68.37,11018
11,20,179,50,27.93,129,72.07,11020
11,23,151,43,28.48,108,71.52,11023
11,27,89,39,43.82,50,56.18,11027
11,28,134,35,26.12,99,73.88,11028
11,32,118,25,21.19,93,78.81,11032
11,34,71,21,29.58,50,70.42,11034
11,35,51,20,39.22,31,60.78,11035
15,2,177,85,48.02,92,51.98,15002
15,3,177,78,44.07,99,55.93,15003
15,7,200,87,43.5,113,56.5,15007
15,17,154,59,38.31,95,61.69,15017
15,18,194,79,40.72,115,59.28,15018
15,20,149,67,44.97,82,55.03,15020
15,21,203,83,40.89,120,59.11,15021
15,22,84,34,40.48,50,59.52,15022
15,23,209,87,41.63,122,58.37,15023
15,24,182,70,38.46,112,61.54,15024
16,2,191,90,47.12,101,52.88,16002
16,3,199,98,49.25,101,50.75,16003
16,5,222,110,49.55,112,50.45,16005
16,6,226,101,44.69,125,55.31,16006
16,8,170,66,38.82,104,61.18,16008
16,9,282,132,46.81,150,53.19,16009
16,10,201,88,43.78,113,56.22,16010
16,11,23,7,30.43,16,69.57,16011
16,12,205,100,48.78,105,51.22,16012
16,14,183,78,42.62,105,57.38,16014
16,15,243,116,47.74,127,52.26,16015
16,16,216,84,38.89,132,61.11,16016
16,20,186,70,37.63,116,62.37,16020
16,21,178,82,46.07,96,53.93,16021
16,24,141,66,46.81,75,53.19,16024
16,25,239,108,45.19,131,54.81,16025
16,26,168,94,55.95,74,44.05,16026
16,27,175,87,49.71,88,50.29,16027
16,28,196,83,42.35,113,57.65,16028
16,29,160,84,52.5,76,47.5,16029
16,30,184,78,42.39,106,57.61,16030
16,31,201,95,47.26,106,52.74,16031
16,33,194,102,52.58,92,47.42,16033
16,34,219,110,50.23,109,49.77,16034
16,36,157,67,42.68,90,57.32,16036
17,8,6,3,50.0,3,50.0,17008
17,13,201,94,46.77,107,53.23,17013
17,19,58,21,36.21,37,63.79,17019
17,35,15,7,46.67,8,53.33,17035
17,36,110,44,40.0,66,60.0,17036
20,1,238,110,46.22,128,53.78,20001
20,2,113,46,40.71,67,59.29,20002
20,3,210,108,51.43,102,48.57,20003
20,4,79,27,34.18,52,65.82,20004
20,5,264,144,54.55,120,45.45,20005
20,6,137,49,35.77,88,64.23,20006
20,7,293,146,49.83,147,50.17,20007
20,8,235,106,45.11,129,54.89,20008
20,9,301,166,55.15,135,44.85,20009
20,10,214,99,46.26,115,53.74,20010
20,11,342,166,48.54,176,51.46,20011
20,12,176,85,48.3,91,51.7,20012
20,13,275,103,37.45,172,62.55,20013
20,14,148,63,42.57,85,57.43,20014
20,16,303,150,49.5,153,50.5,20016
20,17,8,4,50.0,4,50.0,20017
20,18,199,95,47.74,104,52.26,20018
20,19,275,139,50.55,136,49.45,20019
20,21,214,87,40.65,127,59.35,20021
20,22,326,174,53.37,152,46.63,20022
20,23,275,131,47.64,144,52.36,20023
20,24,259,133,51.35,126,48.65,20024
20,25,181,78,43.09,103,56.91,20025
20,26,273,130,47.62,143,52.38,20026
20,27,161,66,40.99,95,59.01,20027
20,28,172,92,53.49,80,46.51,20028
20,29,295,140,47.46,155,52.54,20029
20,30,146,67,45.89,79,54.11,20030
20,31,303,151,49.83,152,50.17,20031
20,32,258,125,48.45,133,51.55,20032
20,33,150,65,43.33,85,56.67,20033
20,34,340,151,44.41,189,55.59,20034
20,35,224,104,46.43,120,53.57,20035
20,36,101,50,49.5,51,50.5,20036
20,37,99,51,51.52,48,48.48,20037
20,38,107,36,33.64,71,66.36,20038
20,39,45,20,44.44,25,55.56,20039
