ward,precinct,total,"Howard B. Brookins, Jr.","Howard B. Brookins, Jr. Percent",precinct_id
21,1,282,282,100.0,21001
21,2,204,204,100.0,21002
21,3,305,305,100.0,21003
21,4,283,283,100.0,21004
21,5,284,284,100.0,21005
21,6,238,238,100.0,21006
21,7,288,288,100.0,21007
21,8,274,274,100.0,21008
21,9,305,305,100.0,21009
21,10,239,239,100.0,21010
21,11,247,247,100.0,21011
21,12,260,260,100.0,21012
21,13,269,269,100.0,21013
21,14,326,326,100.0,21014
21,15,250,250,100.0,21015
21,16,239,239,100.0,21016
21,17,237,237,100.0,21017
21,18,324,324,100.0,21018
21,19,294,294,100.0,21019
21,20,223,223,100.0,21020
21,21,233,233,100.0,21021
21,22,243,243,100.0,21022
21,23,233,233,100.0,21023
21,24,263,263,100.0,21024
21,25,233,233,100.0,21025
21,26,262,262,100.0,21026
21,27,246,246,100.0,21027
21,28,304,304,100.0,21028
21,29,295,295,100.0,21029
21,30,225,225,100.0,21030
21,31,198,198,100.0,21031
21,32,252,252,100.0,21032
21,33,271,271,100.0,21033
21,34,267,267,100.0,21034
21,35,248,248,100.0,21035
21,36,281,281,100.0,21036
21,37,212,212,100.0,21037
21,38,283,283,100.0,21038
21,39,200,200,100.0,21039
21,40,232,232,100.0,21040
21,41,259,259,100.0,21041
21,42,280,280,100.0,21042
21,43,289,289,100.0,21043
21,44,240,240,100.0,21044
21,45,231,231,100.0,21045
21,46,272,272,100.0,21046
21,47,239,239,100.0,21047
21,48,226,226,100.0,21048
21,49,255,255,100.0,21049
21,50,227,227,100.0,21050
21,51,243,243,100.0,21051
21,52,290,290,100.0,21052
21,53,201,201,100.0,21053
21,54,248,248,100.0,21054
