ward,precinct,total,Kevin Bailey,Kevin Bailey Percent,precinct_id
20,1,238,238,100.0,20001
20,2,116,116,100.0,20002
20,3,206,206,100.0,20003
20,4,125,125,100.0,20004
20,5,247,247,100.0,20005
20,6,132,132,100.0,20006
20,7,281,281,100.0,20007
20,8,229,229,100.0,20008
20,9,300,300,100.0,20009
20,10,213,213,100.0,20010
20,11,329,329,100.0,20011
20,12,177,177,100.0,20012
20,13,273,273,100.0,20013
20,14,150,150,100.0,20014
20,15,250,250,100.0,20015
20,16,292,292,100.0,20016
20,17,140,140,100.0,20017
20,18,197,197,100.0,20018
20,19,269,269,100.0,20019
20,20,213,213,100.0,20020
20,21,215,215,100.0,20021
20,22,329,329,100.0,20022
20,23,271,271,100.0,20023
20,24,239,239,100.0,20024
20,25,194,194,100.0,20025
20,26,278,278,100.0,20026
20,27,156,156,100.0,20027
20,28,171,171,100.0,20028
20,29,301,301,100.0,20029
20,30,136,136,100.0,20030
20,31,291,291,100.0,20031
20,32,271,271,100.0,20032
20,33,153,153,100.0,20033
20,34,348,348,100.0,20034
20,35,212,212,100.0,20035
20,36,99,99,100.0,20036
20,37,92,92,100.0,20037
20,38,113,113,100.0,20038
20,39,43,43,100.0,20039
