ward,precinct,total,Michael J. Madigan,Michael J. Madigan Percent,precinct_id
13,1,220,220,100.0,13001
13,2,239,239,100.0,13002
13,3,215,215,100.0,13003
13,4,245,245,100.0,13004
13,5,331,331,100.0,13005
13,6,253,253,100.0,13006
13,7,218,218,100.0,13007
13,8,190,190,100.0,13008
13,9,237,237,100.0,13009
13,10,183,183,100.0,13010
13,11,272,272,100.0,13011
13,12,254,254,100.0,13012
13,13,273,273,100.0,13013
13,14,245,245,100.0,13014
13,15,460,460,100.0,13015
13,16,216,216,100.0,13016
13,17,229,229,100.0,13017
13,18,172,172,100.0,13018
13,19,350,350,100.0,13019
13,20,146,146,100.0,13020
13,21,261,261,100.0,13021
13,22,264,264,100.0,13022
13,23,220,220,100.0,13023
13,24,253,253,100.0,13024
13,25,284,284,100.0,13025
13,26,308,308,100.0,13026
13,27,271,271,100.0,13027
13,28,236,236,100.0,13028
13,29,204,204,100.0,13029
13,30,224,224,100.0,13030
13,31,271,271,100.0,13031
13,32,199,199,100.0,13032
13,33,212,212,100.0,13033
13,34,343,343,100.0,13034
13,35,258,258,100.0,13035
13,36,171,171,100.0,13036
13,37,277,277,100.0,13037
13,38,194,194,100.0,13038
13,39,275,275,100.0,13039
13,40,229,229,100.0,13040
13,41,290,290,100.0,13041
13,42,197,197,100.0,13042
13,43,264,264,100.0,13043
13,44,358,358,100.0,13044
13,45,334,334,100.0,13045
13,46,323,323,100.0,13046
13,47,295,295,100.0,13047
13,48,216,216,100.0,13048
