ward,precinct,total,Antonio ''Tony'' Munoz,Antonio ''Tony'' Munoz Percent,precinct_id
11,1,245,245,100.0,11001
11,3,243,243,100.0,11003
11,4,254,254,100.0,11004
11,5,332,332,100.0,11005
11,8,257,257,100.0,11008
11,9,235,235,100.0,11009
11,10,218,218,100.0,11010
11,11,242,242,100.0,11011
11,14,111,111,100.0,11014
11,15,100,100,100.0,11015
11,16,165,165,100.0,11016
11,17,324,324,100.0,11017
11,18,224,224,100.0,11018
11,19,358,358,100.0,11019
11,20,172,172,100.0,11020
11,22,321,321,100.0,11022
11,23,168,168,100.0,11023
11,25,299,299,100.0,11025
11,26,302,302,100.0,11026
11,27,90,90,100.0,11027
11,30,126,126,100.0,11030
11,36,105,105,100.0,11036
11,37,75,75,100.0,11037
11,38,134,134,100.0,11038
12,1,280,280,100.0,12001
12,3,352,352,100.0,12003
12,4,318,318,100.0,12004
12,5,243,243,100.0,12005
12,6,6,6,100.0,12006
12,8,343,343,100.0,12008
12,9,228,228,100.0,12009
12,13,301,301,100.0,12013
12,17,121,121,100.0,12017
12,19,293,293,100.0,12019
12,20,17,17,100.0,12020
12,21,297,297,100.0,12021
12,23,291,291,100.0,12023
14,1,239,239,100.0,14001
14,2,385,385,100.0,14002
14,4,205,205,100.0,14004
14,5,429,429,100.0,14005
14,6,133,133,100.0,14006
14,7,325,325,100.0,14007
14,8,307,307,100.0,14008
14,9,290,290,100.0,14009
14,10,208,208,100.0,14010
14,12,257,257,100.0,14012
14,13,254,254,100.0,14013
14,14,313,313,100.0,14014
14,16,227,227,100.0,14016
14,17,258,258,100.0,14017
14,18,22,22,100.0,14018
14,19,337,337,100.0,14019
14,20,202,202,100.0,14020
14,21,285,285,100.0,14021
14,22,86,86,100.0,14022
14,23,125,125,100.0,14023
14,24,266,266,100.0,14024
14,25,194,194,100.0,14025
14,26,224,224,100.0,14026
14,27,261,261,100.0,14027
14,28,191,191,100.0,14028
14,29,265,265,100.0,14029
14,30,178,178,100.0,14030
14,31,188,188,100.0,14031
15,3,25,25,100.0,15003
15,4,291,291,100.0,15004
15,5,241,241,100.0,15005
15,8,275,275,100.0,15008
15,9,320,320,100.0,15009
15,10,226,226,100.0,15010
15,11,201,201,100.0,15011
15,12,314,314,100.0,15012
15,13,119,119,100.0,15013
15,14,211,211,100.0,15014
15,15,257,257,100.0,15015
15,16,286,286,100.0,15016
15,19,223,223,100.0,15019
16,1,309,309,100.0,16001
16,2,55,55,100.0,16002
16,7,221,221,100.0,16007
16,11,240,240,100.0,16011
16,13,251,251,100.0,16013
16,17,152,152,100.0,16017
16,23,251,251,100.0,16023
16,32,275,275,100.0,16032
16,35,257,257,100.0,16035
17,1,227,227,100.0,17001
17,7,283,283,100.0,17007
17,12,354,354,100.0,17012
17,14,282,282,100.0,17014
17,16,170,170,100.0,17016
17,30,81,81,100.0,17030
20,20,3,3,100.0,20020
22,1,164,164,100.0,22001
22,2,280,280,100.0,22002
22,8,319,319,100.0,22008
22,12,240,240,100.0,22012
22,23,303,303,100.0,22023
23,3,179,179,100.0,23003
23,6,75,75,100.0,23006
23,12,9,9,100.0,23012
23,14,175,175,100.0,23014
23,17,135,135,100.0,23017
23,19,256,256,100.0,23019
23,20,2,2,100.0,23020
23,22,70,70,100.0,23022
23,24,148,148,100.0,23024
23,25,200,200,100.0,23025
23,26,57,57,100.0,23026
23,31,186,186,100.0,23031
23,37,57,57,100.0,23037
25,1,285,285,100.0,25001
25,2,299,299,100.0,25002
25,5,305,305,100.0,25005
25,6,63,63,100.0,25006
25,7,303,303,100.0,25007
25,8,338,338,100.0,25008
25,9,339,339,100.0,25009
25,11,331,331,100.0,25011
25,12,282,282,100.0,25012
25,13,326,326,100.0,25013
25,14,143,143,100.0,25014
25,15,293,293,100.0,25015
25,17,289,289,100.0,25017
25,18,120,120,100.0,25018
25,19,308,308,100.0,25019
25,22,308,308,100.0,25022
25,23,356,356,100.0,25023
25,24,310,310,100.0,25024
25,26,339,339,100.0,25026
25,27,20,20,100.0,25027
25,28,340,340,100.0,25028
25,30,309,309,100.0,25030
25,32,268,268,100.0,25032
28,19,39,39,100.0,28019
