ward,precinct,total,Raymond A. Lopez,Raymond A. Lopez Percent,precinct_id
15,1,250,250,100.0,15001
15,2,181,181,100.0,15002
15,3,183,183,100.0,15003
15,4,274,274,100.0,15004
15,5,280,280,100.0,15005
15,6,258,258,100.0,15006
15,7,216,216,100.0,15007
15,8,262,262,100.0,15008
15,9,336,336,100.0,15009
15,10,376,376,100.0,15010
15,11,354,354,100.0,15011
15,12,318,318,100.0,15012
15,13,248,248,100.0,15013
15,14,241,241,100.0,15014
15,15,252,252,100.0,15015
15,16,267,267,100.0,15016
15,17,175,175,100.0,15017
15,18,214,214,100.0,15018
15,19,206,206,100.0,15019
15,20,170,170,100.0,15020
15,21,216,216,100.0,15021
15,22,193,193,100.0,15022
15,23,221,221,100.0,15023
15,24,189,189,100.0,15024
