ward,precinct,total,Anthony A. Beale,Anthony A. Beale Percent,precinct_id
9,1,315,315,100.0,09001
9,2,258,258,100.0,09002
9,3,206,206,100.0,09003
9,4,226,226,100.0,09004
9,5,259,259,100.0,09005
9,6,274,274,100.0,09006
9,7,184,184,100.0,09007
9,8,288,288,100.0,09008
9,9,306,306,100.0,09009
9,10,266,266,100.0,09010
9,11,200,200,100.0,09011
9,12,322,322,100.0,09012
9,13,315,315,100.0,09013
9,14,383,383,100.0,09014
9,15,259,259,100.0,09015
9,16,264,264,100.0,09016
9,17,222,222,100.0,09017
9,18,196,196,100.0,09018
9,19,298,298,100.0,09019
9,20,307,307,100.0,09020
9,21,250,250,100.0,09021
9,22,296,296,100.0,09022
9,23,322,322,100.0,09023
9,24,313,313,100.0,09024
9,25,289,289,100.0,09025
9,26,250,250,100.0,09026
9,27,264,264,100.0,09027
9,28,181,181,100.0,09028
9,29,218,218,100.0,09029
9,30,248,248,100.0,09030
9,31,214,214,100.0,09031
9,32,259,259,100.0,09032
9,33,222,222,100.0,09033
9,34,216,216,100.0,09034
9,35,275,275,100.0,09035
9,36,250,250,100.0,09036
9,37,308,308,100.0,09037
9,38,281,281,100.0,09038
9,39,305,305,100.0,09039
9,40,317,317,100.0,09040
9,41,228,228,100.0,09041
9,42,309,309,100.0,09042
9,43,249,249,100.0,09043
9,44,246,246,100.0,09044
9,45,225,225,100.0,09045
9,46,270,270,100.0,09046
9,47,305,305,100.0,09047
9,48,317,317,100.0,09048
9,49,321,321,100.0,09049
9,50,353,353,100.0,09050
9,51,289,289,100.0,09051
