ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,Javier Salas,Javier Salas Percent,precinct_id
1,1,379,293,77.31,86,22.69,01001
1,2,362,280,77.35,82,22.65,01002
1,7,253,198,78.26,55,21.74,01007
1,9,292,220,75.34,72,24.66,01009
1,13,152,127,83.55,25,16.45,01013
1,15,278,204,73.38,74,26.62,01015
1,16,317,239,75.39,78,24.61,01016
1,17,341,267,78.3,74,21.7,01017
1,18,364,276,75.82,88,24.18,01018
1,19,458,362,79.04,96,20.96,01019
1,20,283,216,76.33,67,23.67,01020
1,22,256,199,77.73,57,22.27,01022
1,23,515,404,78.45,111,21.55,01023
1,24,332,247,74.4,85,25.6,01024
1,25,361,272,75.35,89,24.65,01025
1,26,295,214,72.54,81,27.46,01026
1,27,331,270,81.57,61,18.43,01027
1,29,309,227,73.46,82,26.54,01029
1,30,383,295,77.02,88,22.98,01030
1,31,353,268,75.92,85,24.08,01031
1,34,317,238,75.08,79,24.92,01034
1,38,258,201,77.91,57,22.09,01038
1,41,234,163,69.66,71,30.34,01041
1,42,103,81,78.64,22,21.36,01042
1,43,252,198,78.57,54,21.43,01043
1,44,296,232,78.38,64,21.62,01044
11,3,305,223,73.11,82,26.89,11003
11,37,2,2,100.0,0,0.0,11037
11,38,175,122,69.71,53,30.29,11038
12,2,317,216,68.14,101,31.86,12002
12,3,84,47,55.95,37,44.05,12003
12,5,194,139,71.65,55,28.35,12005
12,6,310,228,73.55,82,26.45,12006
12,7,319,219,68.65,100,31.35,12007
12,8,352,246,69.89,106,30.11,12008
12,10,358,255,71.23,103,28.77,12010
12,11,358,260,72.63,98,27.37,12011
12,12,346,270,78.03,76,21.97,12012
12,13,359,234,65.18,125,34.82,12013
12,14,326,237,72.7,89,27.3,12014
12,15,228,172,75.44,56,24.56,12015
12,16,350,240,68.57,110,31.43,12016
12,17,366,258,70.49,108,29.51,12017
12,18,286,195,68.18,91,31.82,12018
12,19,2,1,50.0,1,50.0,12019
12,20,417,302,72.42,115,27.58,12020
12,21,341,259,75.95,82,24.05,12021
12,22,371,273,73.58,98,26.42,12022
14,2,430,316,73.49,114,26.51,14002
14,3,397,301,75.82,96,24.18,14003
14,5,388,296,76.29,92,23.71,14005
14,6,184,137,74.46,47,25.54,14006
14,10,234,169,72.22,65,27.78,14010
14,11,226,172,76.11,54,23.89,14011
14,13,278,206,74.1,72,25.9,14013
14,14,333,262,78.68,71,21.32,14014
14,15,412,321,77.91,91,22.09,14015
14,16,251,182,72.51,69,27.49,14016
14,17,284,218,76.76,66,23.24,14017
14,19,359,266,74.09,93,25.91,14019
14,20,236,168,71.19,68,28.81,14020
14,25,208,151,72.6,57,27.4,14025
14,27,312,231,74.04,81,25.96,14027
14,28,226,160,70.8,66,29.2,14028
14,30,192,150,78.13,42,21.88,14030
14,31,205,163,79.51,42,20.49,14031
15,1,6,5,83.33,1,16.67,15001
15,4,325,232,71.38,93,28.62,15004
15,5,258,196,75.97,62,24.03,15005
15,6,326,244,74.85,82,25.15,15006
15,8,181,131,72.38,50,27.62,15008
15,9,415,294,70.84,121,29.16,15009
15,10,435,311,71.49,124,28.51,15010
15,11,381,276,72.44,105,27.56,15011
15,12,386,289,74.87,97,25.13,15012
15,15,21,13,61.9,8,38.1,15015
16,1,25,21,84.0,4,16.0,16001
22,3,474,313,66.03,161,33.97,22003
22,4,293,200,68.26,93,31.74,22004
22,5,341,228,66.86,113,33.14,22005
22,6,312,199,63.78,113,36.22,22006
22,7,246,166,67.48,80,32.52,22007
22,9,288,199,69.1,89,30.9,22009
22,10,453,307,67.77,146,32.23,22010
22,11,270,186,68.89,84,31.11,22011
22,13,347,246,70.89,101,29.11,22013
22,14,162,122,75.31,40,24.69,22014
22,15,286,211,73.78,75,26.22,22015
22,16,333,220,66.07,113,33.93,22016
22,17,334,238,71.26,96,28.74,22017
22,18,320,234,73.13,86,26.88,22018
22,19,2,2,100.0,0,0.0,22019
22,20,344,254,73.84,90,26.16,22020
22,22,300,222,74.0,78,26.0,22022
22,24,413,301,72.88,112,27.12,22024
22,25,335,235,70.15,100,29.85,22025
23,9,163,120,73.62,43,26.38,23009
23,13,265,203,76.6,62,23.4,23013
23,15,17,12,70.59,5,29.41,23015
23,24,274,193,70.44,81,29.56,23024
23,26,22,17,77.27,5,22.73,23026
23,34,124,94,75.81,30,24.19,23034
23,39,203,151,74.38,52,25.62,23039
24,16,101,66,65.35,35,34.65,24016
25,1,343,238,69.39,105,30.61,25001
25,2,381,264,69.29,117,30.71,25002
25,5,383,242,63.19,141,36.81,25005
25,7,372,278,74.73,94,25.27,25007
25,8,407,274,67.32,133,32.68,25008
25,9,427,310,72.6,117,27.4,25009
25,11,427,293,68.62,134,31.38,25011
25,12,350,251,71.71,99,28.29,25012
25,13,416,288,69.23,128,30.77,25013
25,14,27,17,62.96,10,37.04,25014
25,15,366,276,75.41,90,24.59,25015
25,17,392,292,74.49,100,25.51,25017
25,19,402,301,74.88,101,25.12,25019
25,22,388,282,72.68,106,27.32,25022
25,23,440,332,75.45,108,24.55,25023
25,24,401,291,72.57,110,27.43,25024
25,26,405,283,69.88,122,30.12,25026
25,27,26,17,65.38,9,34.62,25027
25,28,424,299,70.52,125,29.48,25028
25,30,393,284,72.26,109,27.74,25030
25,32,325,226,69.54,99,30.46,25032
26,1,156,120,76.92,36,23.08,26001
26,2,253,193,76.28,60,23.72,26002
26,5,274,204,74.45,70,25.55,26005
26,6,267,195,73.03,72,26.97,26006
26,7,232,177,76.29,55,23.71,26007
26,8,159,115,72.33,44,27.67,26008
26,9,249,187,75.1,62,24.9,26009
26,10,76,47,61.84,29,38.16,26010
26,11,279,224,80.29,55,19.71,26011
26,12,285,207,72.63,78,27.37,26012
26,13,207,164,79.23,43,20.77,26013
26,14,224,164,73.21,60,26.79,26014
26,15,164,142,86.59,22,13.41,26015
26,16,176,130,73.86,46,26.14,26016
26,18,246,192,78.05,54,21.95,26018
26,20,250,190,76.0,60,24.0,26020
26,22,175,139,79.43,36,20.57,26022
26,23,190,158,83.16,32,16.84,26023
26,24,244,198,81.15,46,18.85,26024
26,25,229,166,72.49,63,27.51,26025
26,26,186,143,76.88,43,23.12,26026
26,27,213,153,71.83,60,28.17,26027
26,29,167,126,75.45,41,24.55,26029
26,30,216,174,80.56,42,19.44,26030
26,31,130,98,75.38,32,24.62,26031
26,33,71,58,81.69,13,18.31,26033
26,34,309,233,75.4,76,24.6,26034
26,35,234,176,75.21,58,24.79,26035
26,36,47,38,80.85,9,19.15,26036
26,37,322,249,77.33,73,22.67,26037
26,38,144,113,78.47,31,21.53,26038
26,39,133,99,74.44,34,25.56,26039
26,40,177,142,80.23,35,19.77,26040
26,41,283,223,78.8,60,21.2,26041
26,42,206,157,76.21,49,23.79,26042
26,43,171,141,82.46,30,17.54,26043
26,44,170,129,75.88,41,24.12,26044
26,45,68,54,79.41,14,20.59,26045
26,47,181,120,66.3,61,33.7,26047
26,48,246,177,71.95,69,28.05,26048
26,49,178,134,75.28,44,24.72,26049
28,19,42,30,71.43,12,28.57,28019
29,1,60,46,76.67,14,23.33,29001
29,9,323,246,76.16,77,23.84,29009
29,23,236,178,75.42,58,24.58,29023
29,30,373,286,76.68,87,23.32,29030
29,38,252,188,74.6,64,25.4,29038
29,39,164,124,75.61,40,24.39,29039
29,43,153,112,73.2,41,26.8,29043
30,1,346,255,73.7,91,26.3,30001
30,2,305,227,74.43,78,25.57,30002
30,3,229,173,75.55,56,24.45,30003
30,4,290,217,74.83,73,25.17,30004
30,5,249,195,78.31,54,21.69,30005
30,6,271,216,79.7,55,20.3,30006
30,7,324,238,73.46,86,26.54,30007
30,8,345,263,76.23,82,23.77,30008
30,9,261,182,69.73,79,30.27,30009
30,10,358,285,79.61,73,20.39,30010
30,11,303,238,78.55,65,21.45,30011
30,12,268,207,77.24,61,22.76,30012
30,13,260,208,80.0,52,20.0,30013
30,14,230,187,81.3,43,18.7,30014
30,15,65,56,86.15,9,13.85,30015
30,16,161,121,75.16,40,24.84,30016
30,17,136,107,78.68,29,21.32,30017
30,18,352,263,74.72,89,25.28,30018
30,19,353,285,80.74,68,19.26,30019
30,20,297,232,78.11,65,21.89,30020
30,22,421,328,77.91,93,22.09,30022
30,23,346,242,69.94,104,30.06,30023
30,24,335,262,78.21,73,21.79,30024
30,25,372,278,74.73,94,25.27,30025
30,26,174,129,74.14,45,25.86,30026
30,27,183,147,80.33,36,19.67,30027
30,28,323,251,77.71,72,22.29,30028
30,29,196,151,77.04,45,22.96,30029
30,30,148,113,76.35,35,23.65,30030
30,31,195,144,73.85,51,26.15,30031
30,32,227,174,76.65,53,23.35,30032
31,1,212,162,76.42,50,23.58,31001
31,2,208,165,79.33,43,20.67,31002
31,3,216,159,73.61,57,26.39,31003
31,4,305,227,74.43,78,25.57,31004
31,5,224,171,76.34,53,23.66,31005
31,6,206,168,81.55,38,18.45,31006
31,7,326,255,78.22,71,21.78,31007
31,8,153,123,80.39,30,19.61,31008
31,9,258,201,77.91,57,22.09,31009
31,10,208,156,75.0,52,25.0,31010
31,11,180,139,77.22,41,22.78,31011
31,12,190,152,80.0,38,20.0,31012
31,13,253,199,78.66,54,21.34,31013
31,14,191,143,74.87,48,25.13,31014
31,15,173,123,71.1,50,28.9,31015
31,16,288,213,73.96,75,26.04,31016
31,17,189,147,77.78,42,22.22,31017
31,18,207,153,73.91,54,26.09,31018
31,19,188,150,79.79,38,20.21,31019
31,20,211,162,76.78,49,23.22,31020
31,21,230,177,76.96,53,23.04,31021
31,22,200,142,71.0,58,29.0,31022
31,23,201,153,76.12,48,23.88,31023
31,24,241,179,74.27,62,25.73,31024
31,25,196,154,78.57,42,21.43,31025
31,26,245,184,75.1,61,24.9,31026
31,27,203,140,68.97,63,31.03,31027
31,28,217,169,77.88,48,22.12,31028
31,29,250,173,69.2,77,30.8,31029
31,30,169,130,76.92,39,23.08,31030
31,31,233,161,69.1,72,30.9,31031
31,32,198,153,77.27,45,22.73,31032
31,33,189,145,76.72,44,23.28,31033
31,34,199,147,73.87,52,26.13,31034
31,35,247,187,75.71,60,24.29,31035
31,36,215,156,72.56,59,27.44,31036
31,37,201,157,78.11,44,21.89,31037
31,38,250,195,78.0,55,22.0,31038
31,39,237,178,75.11,59,24.89,31039
31,40,235,162,68.94,73,31.06,31040
31,41,225,164,72.89,61,27.11,31041
32,1,2,2,100.0,0,0.0,32001
32,3,432,319,73.84,113,26.16,32003
32,11,385,310,80.52,75,19.48,32011
32,12,320,242,75.63,78,24.38,32012
32,14,366,286,78.14,80,21.86,32014
32,16,39,28,71.79,11,28.21,32016
32,17,399,294,73.68,105,26.32,32017
32,20,408,324,79.41,84,20.59,32020
32,22,484,394,81.4,90,18.6,32022
