ward,precinct,total,Tom Hanson,Tom Hanson Percent,Jon Stewart,Jon Stewart Percent,Gregory A. Bedell,Gregory A. Bedell Percent,Daniel S. Kay (Karkusiewicz),Daniel S. Kay (Karkusiewicz) Percent,precinct_id
36,1,8,2,25.0,2,25.0,1,12.5,2,25.0,36001
36,2,4,0,0.0,2,50.0,1,25.0,0,0.0,36002
36,3,11,1,9.09,2,18.18,2,18.18,1,9.09,36003
36,5,5,1,20.0,0,0.0,0,0.0,3,60.0,36005
36,6,6,2,33.33,0,0.0,0,0.0,1,16.67,36006
36,7,3,0,0.0,1,33.33,0,0.0,0,0.0,36007
36,8,11,2,18.18,1,9.09,0,0.0,1,9.09,36008
36,9,2,0,0.0,0,0.0,0,0.0,1,50.0,36009
36,10,5,0,0.0,0,0.0,0,0.0,0,0.0,36010
36,11,3,1,33.33,0,0.0,1,33.33,1,33.33,36011
36,12,2,0,0.0,0,0.0,0,0.0,1,50.0,36012
36,13,8,0,0.0,0,0.0,3,37.5,2,25.0,36013
36,14,7,2,28.57,1,14.29,0,0.0,0,0.0,36014
36,15,7,2,28.57,1,14.29,1,14.29,0,0.0,36015
36,16,6,3,50.0,0,0.0,0,0.0,0,0.0,36016
36,17,7,2,28.57,1,14.29,0,0.0,0,0.0,36017
36,18,4,0,0.0,0,0.0,2,50.0,0,0.0,36018
36,19,7,0,0.0,1,14.29,0,0.0,1,14.29,36019
36,20,4,3,75.0,0,0.0,0,0.0,0,0.0,36020
36,21,11,1,9.09,0,0.0,5,45.45,1,9.09,36021
36,22,11,2,18.18,1,9.09,0,0.0,1,9.09,36022
36,25,9,3,33.33,0,0.0,2,22.22,1,11.11,36025
36,26,8,3,37.5,1,12.5,1,12.5,1,12.5,36026
36,27,6,0,0.0,2,33.33,1,16.67,0,0.0,36027
36,28,1,0,0.0,0,0.0,0,0.0,0,0.0,36028
36,29,6,2,33.33,0,0.0,2,33.33,1,16.67,36029
36,30,10,3,30.0,2,20.0,0,0.0,1,10.0,36030
