ward,precinct,total,ED H. SMITH,ED H. SMITH Percent,SHAWN A. WALKER,SHAWN A. WALKER Percent,precinct_id
28,1,109,65,59.63,44,40.37,28001
28,2,88,59,67.05,29,32.95,28002
28,3,71,43,60.56,28,39.44,28003
28,4,169,104,61.54,65,38.46,28004
28,5,112,83,74.11,29,25.89,28005
28,6,94,51,54.26,43,45.74,28006
28,7,161,81,50.31,80,49.69,28007
28,8,71,51,71.83,20,28.17,28008
28,9,88,59,67.05,29,32.95,28009
28,10,36,31,86.11,5,13.89,28010
28,11,128,53,41.41,75,58.59,28011
28,12,98,72,73.47,26,26.53,28012
28,13,94,50,53.19,44,46.81,28013
28,14,77,57,74.03,20,25.97,28014
28,15,63,47,74.6,16,25.4,28015
28,16,119,59,49.58,60,50.42,28016
28,17,124,89,71.77,35,28.23,28017
28,18,134,77,57.46,57,42.54,28018
28,19,118,97,82.2,21,17.8,28019
28,20,137,104,75.91,33,24.09,28020
28,21,143,98,68.53,45,31.47,28021
28,22,124,78,62.9,46,37.1,28022
28,23,156,116,74.36,40,25.64,28023
28,24,71,44,61.97,27,38.03,28024
28,25,98,70,71.43,28,28.57,28025
28,26,136,105,77.21,31,22.79,28026
28,27,80,53,66.25,27,33.75,28027
28,28,106,71,66.98,35,33.02,28028
28,29,144,109,75.69,35,24.31,28029
28,30,90,52,57.78,38,42.22,28030
28,31,130,82,63.08,48,36.92,28031
28,32,118,76,64.41,42,35.59,28032
28,33,89,63,70.79,26,29.21,28033
28,34,16,12,75.0,4,25.0,28034
28,35,86,56,65.12,30,34.88,28035
28,36,112,83,74.11,29,25.89,28036
28,37,182,160,87.91,22,12.09,28037
28,38,58,49,84.48,9,15.52,28038
28,39,25,16,64.0,9,36.0,28039
28,40,129,92,71.32,37,28.68,28040
28,41,44,28,63.64,16,36.36,28041
28,42,75,55,73.33,20,26.67,28042
28,43,86,65,75.58,21,24.42,28043
28,44,90,55,61.11,35,38.89,28044
28,45,100,73,73.0,27,27.0,28045
28,46,121,89,73.55,32,26.45,28046
28,47,86,65,75.58,21,24.42,28047
28,48,55,37,67.27,18,32.73,28048
28,49,54,37,68.52,17,31.48,28049
28,50,71,52,73.24,19,26.76,28050
28,51,122,67,54.92,55,45.08,28051
28,52,105,66,62.86,39,37.14,28052
28,53,60,38,63.33,22,36.67,28053
28,54,105,82,78.1,23,21.9,28054
28,55,74,56,75.68,18,24.32,28055
28,56,104,81,77.88,23,22.12,28056
28,57,119,93,78.15,26,21.85,28057
28,58,75,54,72.0,21,28.0,28058
28,59,78,61,78.21,17,21.79,28059
28,60,102,75,73.53,27,26.47,28060
28,61,53,32,60.38,21,39.62,28061
28,62,100,81,81.0,19,19.0,28062
28,63,87,63,72.41,24,27.59,28063
28,64,76,61,80.26,15,19.74,28064
28,65,111,77,69.37,34,30.63,28065
28,66,88,70,79.55,18,20.45,28066
28,67,68,52,76.47,16,23.53,28067
28,68,112,76,67.86,36,32.14,28068
28,69,64,54,84.38,10,15.63,28069
28,70,60,39,65.0,21,35.0,28070
28,71,143,132,92.31,11,7.69,28071
28,72,69,47,68.12,22,31.88,28072
28,73,60,48,80.0,12,20.0,28073
