ward,precinct,total,TODD H. STROGER,TODD H. STROGER Percent,JOHN DAVIS,JOHN DAVIS Percent,JAMES L. DANIELS,JAMES L. DANIELS Percent,DERRICK T. PRINCE,DERRICK T. PRINCE Percent,SHANNON WASHINGTON,SHANNON WASHINGTON Percent,precinct_id
8,1,245,160,65.31,44,17.96,21,8.57,16,6.53,4,1.63,08001
8,2,121,64,52.89,45,37.19,1,0.83,5,4.13,6,4.96,08002
8,3,308,182,59.09,81,26.3,1,0.32,43,13.96,1,0.32,08003
8,4,199,138,69.35,41,20.6,3,1.51,13,6.53,4,2.01,08004
8,5,260,135,51.92,92,35.38,0,0.0,33,12.69,0,0.0,08005
8,6,201,152,75.62,25,12.44,4,1.99,16,7.96,4,1.99,08006
8,7,167,128,76.65,20,11.98,1,0.6,9,5.39,9,5.39,08007
8,8,275,185,67.27,54,19.64,3,1.09,28,10.18,5,1.82,08008
8,9,265,148,55.85,70,26.42,3,1.13,43,16.23,1,0.38,08009
8,10,282,176,62.41,53,18.79,2,0.71,44,15.6,7,2.48,08010
8,11,187,146,78.07,17,9.09,3,1.6,11,5.88,10,5.35,08011
8,12,183,122,66.67,22,12.02,3,1.64,34,18.58,2,1.09,08012
8,13,155,117,75.48,18,11.61,3,1.94,11,7.1,6,3.87,08013
8,14,140,111,79.29,12,8.57,3,2.14,11,7.86,3,2.14,08014
8,15,169,127,75.15,21,12.43,8,4.73,7,4.14,6,3.55,08015
8,16,241,150,62.24,34,14.11,10,4.15,44,18.26,3,1.24,08016
8,17,183,127,69.4,39,21.31,1,0.55,13,7.1,3,1.64,08017
8,18,130,111,85.38,12,9.23,1,0.77,4,3.08,2,1.54,08018
8,19,258,118,45.74,83,32.17,3,1.16,51,19.77,3,1.16,08019
8,20,149,104,69.8,24,16.11,9,6.04,6,4.03,6,4.03,08020
8,21,154,110,71.43,13,8.44,2,1.3,16,10.39,13,8.44,08021
8,22,166,123,74.1,22,13.25,0,0.0,15,9.04,6,3.61,08022
8,23,186,136,73.12,20,10.75,2,1.08,16,8.6,12,6.45,08023
8,24,224,168,75.0,35,15.63,5,2.23,10,4.46,6,2.68,08024
8,25,199,155,77.89,25,12.56,2,1.01,11,5.53,6,3.02,08025
8,26,128,90,70.31,13,10.16,1,0.78,12,9.38,12,9.38,08026
8,27,233,116,49.79,36,15.45,0,0.0,79,33.91,2,0.86,08027
8,28,177,117,66.1,23,12.99,0,0.0,13,7.34,24,13.56,08028
8,29,215,173,80.47,23,10.7,4,1.86,10,4.65,5,2.33,08029
8,30,178,116,65.17,35,19.66,5,2.81,21,11.8,1,0.56,08030
8,31,123,93,75.61,21,17.07,4,3.25,5,4.07,0,0.0,08031
8,32,314,215,68.47,39,12.42,3,0.96,46,14.65,11,3.5,08032
8,33,191,141,73.82,42,21.99,2,1.05,3,1.57,3,1.57,08033
8,34,233,153,65.67,42,18.03,4,1.72,26,11.16,8,3.43,08034
8,35,269,202,75.09,42,15.61,11,4.09,13,4.83,1,0.37,08035
8,36,203,134,66.01,34,16.75,4,1.97,17,8.37,14,6.9,08036
8,37,201,148,73.63,27,13.43,5,2.49,9,4.48,12,5.97,08037
8,38,180,135,75.0,28,15.56,2,1.11,11,6.11,4,2.22,08038
8,39,208,126,60.58,25,12.02,1,0.48,54,25.96,2,0.96,08039
8,40,214,166,77.57,26,12.15,7,3.27,9,4.21,6,2.8,08040
