ward,precinct,total,WAYNE A. STRNAD,WAYNE A. STRNAD Percent,"ISAAC """"IKE"""" SIMS CAROTHERS","ISAAC """"IKE"""" SIMS CAROTHERS Percent","MARSHALL E. HATCH, SR.","MARSHALL E. HATCH, SR. Percent",precinct_id
29,1,209,7,3.35,171,81.82,31,14.83,29001
29,2,171,53,30.99,90,52.63,28,16.37,29002
29,3,268,3,1.12,215,80.22,50,18.66,29003
29,4,251,7,2.79,199,79.28,45,17.93,29004
29,5,203,3,1.48,156,76.85,44,21.67,29005
29,6,111,29,26.13,77,69.37,5,4.5,29006
29,7,128,33,25.78,83,64.84,12,9.38,29007
29,8,139,5,3.6,85,61.15,49,35.25,29008
29,9,92,16,17.39,63,68.48,13,14.13,29009
29,10,213,3,1.41,192,90.14,18,8.45,29010
29,11,263,3,1.14,196,74.52,64,24.33,29011
29,12,214,13,6.07,126,58.88,75,35.05,29012
29,13,212,7,3.3,149,70.28,56,26.42,29013
29,14,233,10,4.29,148,63.52,75,32.19,29014
29,15,173,6,3.47,134,77.46,33,19.08,29015
29,16,248,1,0.4,216,87.1,31,12.5,29016
29,17,154,9,5.84,121,78.57,24,15.58,29017
29,18,407,3,0.74,364,89.43,40,9.83,29018
29,19,187,3,1.6,140,74.87,44,23.53,29019
29,20,199,7,3.52,150,75.38,42,21.11,29020
29,21,142,6,4.23,92,64.79,44,30.99,29021
29,22,176,13,7.39,123,69.89,40,22.73,29022
29,23,215,1,0.47,163,75.81,51,23.72,29023
29,24,107,23,21.5,77,71.96,7,6.54,29024
29,25,229,12,5.24,181,79.04,36,15.72,29025
29,26,209,2,0.96,163,77.99,44,21.05,29026
29,27,116,3,2.59,82,70.69,31,26.72,29027
29,28,263,5,1.9,230,87.45,28,10.65,29028
29,29,234,3,1.28,193,82.48,38,16.24,29029
29,30,46,6,13.04,26,56.52,14,30.43,29030
29,31,166,4,2.41,104,62.65,58,34.94,29031
29,32,180,61,33.89,113,62.78,6,3.33,29032
29,33,200,7,3.5,149,74.5,44,22.0,29033
29,34,145,13,8.97,118,81.38,14,9.66,29034
29,35,216,5,2.31,166,76.85,45,20.83,29035
29,36,221,1,0.45,171,77.38,49,22.17,29036
29,37,237,1,0.42,178,75.11,58,24.47,29037
29,38,162,1,0.62,112,69.14,49,30.25,29038
29,39,173,27,15.61,138,79.77,8,4.62,29039
29,40,288,6,2.08,218,75.69,64,22.22,29040
29,41,235,8,3.4,180,76.6,47,20.0,29041
29,42,189,5,2.65,102,53.97,82,43.39,29042
29,43,283,11,3.89,220,77.74,52,18.37,29043
29,44,194,1,0.52,136,70.1,57,29.38,29044
29,45,192,10,5.21,142,73.96,40,20.83,29045
29,46,157,3,1.91,108,68.79,46,29.3,29046
29,47,302,4,1.32,235,77.81,63,20.86,29047
29,48,219,8,3.65,179,81.74,32,14.61,29048
29,49,275,6,2.18,240,87.27,29,10.55,29049
29,50,221,2,0.9,168,76.02,51,23.08,29050
29,51,164,12,7.32,113,68.9,39,23.78,29051
29,52,173,35,20.23,123,71.1,15,8.67,29052
29,53,173,48,27.75,106,61.27,19,10.98,29053
29,54,168,44,26.19,115,68.45,9,5.36,29054
