ward,precinct,total,RICHARD R. GORDON,RICHARD R. GORDON Percent,BURTON F. NATARUS,BURTON F. NATARUS Percent,precinct_id
42,1,196,65,33.16,131,66.84,42001
42,2,140,74,52.86,66,47.14,42002
42,3,114,50,43.86,64,56.14,42003
42,4,189,76,40.21,113,59.79,42004
42,5,180,99,55.0,81,45.0,42005
42,6,404,183,45.3,221,54.7,42006
42,7,176,65,36.93,111,63.07,42007
42,8,198,80,40.4,118,59.6,42008
42,9,115,44,38.26,71,61.74,42009
42,10,102,51,50.0,51,50.0,42010
42,11,211,95,45.02,116,54.98,42011
42,12,102,29,28.43,73,71.57,42012
42,13,362,181,50.0,181,50.0,42013
42,14,141,40,28.37,101,71.63,42014
42,15,181,67,37.02,114,62.98,42015
42,16,86,41,47.67,45,52.33,42016
42,17,120,78,65.0,42,35.0,42017
42,18,111,44,39.64,67,60.36,42018
42,19,62,23,37.1,39,62.9,42019
42,20,96,47,48.96,49,51.04,42020
42,21,61,19,31.15,42,68.85,42021
42,22,115,40,34.78,75,65.22,42022
42,23,195,85,43.59,110,56.41,42023
42,24,212,79,37.26,133,62.74,42024
42,25,186,114,61.29,72,38.71,42025
42,26,184,68,36.96,116,63.04,42026
42,27,289,111,38.41,178,61.59,42027
42,28,226,101,44.69,125,55.31,42028
42,29,188,80,42.55,108,57.45,42029
42,30,99,44,44.44,55,55.56,42030
42,31,68,43,63.24,25,36.76,42031
42,32,167,78,46.71,89,53.29,42032
42,33,259,85,32.82,174,67.18,42033
42,34,185,99,53.51,86,46.49,42034
42,35,138,63,45.65,75,54.35,42035
42,36,108,59,54.63,49,45.37,42036
42,37,150,54,36.0,96,64.0,42037
42,38,168,82,48.81,86,51.19,42038
42,39,218,37,16.97,181,83.03,42039
42,40,122,73,59.84,49,40.16,42040
42,41,170,93,54.71,77,45.29,42041
42,42,104,41,39.42,63,60.58,42042
42,43,204,78,38.24,126,61.76,42043
42,44,146,76,52.05,70,47.95,42044
42,45,127,40,31.5,87,68.5,42045
42,46,98,49,50.0,49,50.0,42046
42,47,115,51,44.35,64,55.65,42047
42,48,88,37,42.05,51,57.95,42048
42,49,102,37,36.27,65,63.73,42049
42,50,139,87,62.59,52,37.41,42050
42,51,180,114,63.33,66,36.67,42051
42,52,120,65,54.17,55,45.83,42052
42,53,140,64,45.71,76,54.29,42053
42,54,105,51,48.57,54,51.43,42054
42,55,182,94,51.65,88,48.35,42055
42,56,91,35,38.46,56,61.54,42056
42,57,88,35,39.77,53,60.23,42057
42,58,50,17,34.0,33,66.0,42058
42,59,44,26,59.09,18,40.91,42059
42,60,92,44,47.83,48,52.17,42060
42,61,83,39,46.99,44,53.01,42061
42,62,119,41,34.45,78,65.55,42062
42,63,197,82,41.62,115,58.38,42063
42,64,79,40,50.63,39,49.37,42064
42,65,113,75,66.37,38,33.63,42065
42,66,111,54,48.65,57,51.35,42066
42,67,73,16,21.92,57,78.08,42067
42,68,140,42,30.0,98,70.0,42068
42,69,183,85,46.45,98,53.55,42069
