ward,precinct,total,WILLIAM J.P. BANKS,WILLIAM J.P. BANKS Percent,precinct_id
36,1,203,203,100.0,36001
36,2,150,150,100.0,36002
36,3,285,285,100.0,36003
36,4,76,76,100.0,36004
36,5,168,168,100.0,36005
36,6,145,145,100.0,36006
36,7,156,156,100.0,36007
36,8,188,188,100.0,36008
36,9,166,166,100.0,36009
36,10,111,111,100.0,36010
36,11,241,241,100.0,36011
36,12,130,130,100.0,36012
36,13,354,354,100.0,36013
36,14,223,223,100.0,36014
36,15,170,170,100.0,36015
36,16,263,263,100.0,36016
36,17,164,164,100.0,36017
36,18,220,220,100.0,36018
36,19,232,232,100.0,36019
36,20,254,254,100.0,36020
36,21,290,290,100.0,36021
36,22,221,221,100.0,36022
36,23,110,110,100.0,36023
36,24,156,156,100.0,36024
36,25,140,140,100.0,36025
36,26,221,221,100.0,36026
36,27,109,109,100.0,36027
36,28,169,169,100.0,36028
36,29,182,182,100.0,36029
36,30,235,235,100.0,36030
36,31,240,240,100.0,36031
36,32,197,197,100.0,36032
36,33,134,134,100.0,36033
36,34,140,140,100.0,36034
36,35,265,265,100.0,36035
36,36,145,145,100.0,36036
36,37,152,152,100.0,36037
36,38,111,111,100.0,36038
36,39,177,177,100.0,36039
36,40,196,196,100.0,36040
36,41,151,151,100.0,36041
36,42,188,188,100.0,36042
36,43,146,146,100.0,36043
36,44,161,161,100.0,36044
36,45,159,159,100.0,36045
36,46,157,157,100.0,36046
36,47,147,147,100.0,36047
36,48,145,145,100.0,36048
36,49,209,209,100.0,36049
36,50,186,186,100.0,36050
36,51,276,276,100.0,36051
36,52,170,170,100.0,36052
36,53,112,112,100.0,36053
36,54,207,207,100.0,36054
36,55,238,238,100.0,36055
