ward,precinct,total,PATRICK J. LEVAR,PATRICK J. LEVAR Percent,PETE CONWAY,PETE CONWAY Percent,BRUCE A. BEST,BRUCE A. BEST Percent,precinct_id
45,1,175,126,72.0,44,25.14,5,2.86,45001
45,2,278,156,56.12,118,42.45,4,1.44,45002
45,3,354,290,81.92,60,16.95,4,1.13,45003
45,4,322,248,77.02,66,20.5,8,2.48,45004
45,5,364,198,54.4,156,42.86,10,2.75,45005
45,6,242,150,61.98,89,36.78,3,1.24,45006
45,7,201,116,57.71,82,40.8,3,1.49,45007
45,8,187,118,63.1,64,34.22,5,2.67,45008
45,9,287,200,69.69,79,27.53,8,2.79,45009
45,10,265,129,48.68,132,49.81,4,1.51,45010
45,11,271,155,57.2,112,41.33,4,1.48,45011
45,12,224,112,50.0,109,48.66,3,1.34,45012
45,13,337,255,75.67,74,21.96,8,2.37,45013
45,14,255,137,53.73,112,43.92,6,2.35,45014
45,15,304,227,74.67,73,24.01,4,1.32,45015
45,16,224,169,75.45,46,20.54,9,4.02,45016
45,17,241,174,72.2,57,23.65,10,4.15,45017
45,18,274,170,62.04,101,36.86,3,1.09,45018
45,19,256,172,67.19,73,28.52,11,4.3,45019
45,20,229,116,50.66,112,48.91,1,0.44,45020
45,21,238,162,68.07,73,30.67,3,1.26,45021
45,22,260,171,65.77,84,32.31,5,1.92,45022
45,23,239,174,72.8,57,23.85,8,3.35,45023
45,24,293,167,57.0,124,42.32,2,0.68,45024
45,25,299,255,85.28,43,14.38,1,0.33,45025
45,26,299,223,74.58,71,23.75,5,1.67,45026
45,27,226,169,74.78,56,24.78,1,0.44,45027
45,28,241,183,75.93,53,21.99,5,2.07,45028
45,29,245,173,70.61,69,28.16,3,1.22,45029
45,30,261,151,57.85,105,40.23,5,1.92,45030
45,31,210,151,71.9,53,25.24,6,2.86,45031
45,32,173,86,49.71,79,45.66,8,4.62,45032
45,33,245,155,63.27,84,34.29,6,2.45,45033
45,34,206,113,54.85,89,43.2,4,1.94,45034
45,35,245,112,45.71,130,53.06,3,1.22,45035
45,36,226,118,52.21,107,47.35,1,0.44,45036
45,37,194,121,62.37,65,33.51,8,4.12,45037
45,38,287,171,59.58,111,38.68,5,1.74,45038
45,39,297,198,66.67,95,31.99,4,1.35,45039
45,40,334,258,77.25,66,19.76,10,2.99,45040
45,41,173,105,60.69,67,38.73,1,0.58,45041
45,42,226,136,60.18,87,38.5,3,1.33,45042
45,43,233,174,74.68,55,23.61,4,1.72,45043
45,44,296,200,67.57,90,30.41,6,2.03,45044
45,45,218,143,65.6,71,32.57,4,1.83,45045
45,46,277,146,52.71,130,46.93,1,0.36,45046
45,47,270,179,66.3,91,33.7,0,0.0,45047
45,48,214,124,57.94,86,40.19,4,1.87,45048
45,49,248,123,49.6,119,47.98,6,2.42,45049
45,50,233,170,72.96,60,25.75,3,1.29,45050
45,51,239,163,68.2,69,28.87,7,2.93,45051
45,52,244,141,57.79,93,38.11,10,4.1,45052
45,53,224,134,59.82,84,37.5,6,2.68,45053
