ward,precinct,total,VI DALEY,VI DALEY Percent,precinct_id
43,1,74,74,100.0,43001
43,2,103,103,100.0,43002
43,3,93,93,100.0,43003
43,4,116,116,100.0,43004
43,5,79,79,100.0,43005
43,6,76,76,100.0,43006
43,7,74,74,100.0,43007
43,8,129,129,100.0,43008
43,9,61,61,100.0,43009
43,10,41,41,100.0,43010
43,11,53,53,100.0,43011
43,12,177,177,100.0,43012
43,13,47,47,100.0,43013
43,14,125,125,100.0,43014
43,15,93,93,100.0,43015
43,16,84,84,100.0,43016
43,17,48,48,100.0,43017
43,18,165,165,100.0,43018
43,19,80,80,100.0,43019
43,20,94,94,100.0,43020
43,21,53,53,100.0,43021
43,22,73,73,100.0,43022
43,23,86,86,100.0,43023
43,24,109,109,100.0,43024
43,25,104,104,100.0,43025
43,26,137,137,100.0,43026
43,27,89,89,100.0,43027
43,28,61,61,100.0,43028
43,29,89,89,100.0,43029
43,30,49,49,100.0,43030
43,31,76,76,100.0,43031
43,32,81,81,100.0,43032
43,33,54,54,100.0,43033
43,34,59,59,100.0,43034
43,35,104,104,100.0,43035
43,36,121,121,100.0,43036
43,37,102,102,100.0,43037
43,38,93,93,100.0,43038
43,39,65,65,100.0,43039
43,40,59,59,100.0,43040
43,41,57,57,100.0,43041
43,42,123,123,100.0,43042
43,43,81,81,100.0,43043
43,44,120,120,100.0,43044
43,45,26,26,100.0,43045
43,46,122,122,100.0,43046
43,47,114,114,100.0,43047
43,48,104,104,100.0,43048
43,49,76,76,100.0,43049
43,50,78,78,100.0,43050
43,51,150,150,100.0,43051
43,52,100,100,100.0,43052
43,53,153,153,100.0,43053
43,54,86,86,100.0,43054
43,55,78,78,100.0,43055
43,56,48,48,100.0,43056
43,57,83,83,100.0,43057
43,58,102,102,100.0,43058
43,59,169,169,100.0,43059
43,60,62,62,100.0,43060
43,61,63,63,100.0,43061
43,62,86,86,100.0,43062
43,63,63,63,100.0,43063
43,64,78,78,100.0,43064
43,65,52,52,100.0,43065
43,66,37,37,100.0,43066
43,67,66,66,100.0,43067
