ward,precinct,total,ARIEL E. REBOYRAS,ARIEL E. REBOYRAS Percent,MIGUEL SOTOMAYOR,MIGUEL SOTOMAYOR Percent,"JOSEPH L. """"JOSE"""" PAGAN","JOSEPH L. """"JOSE"""" PAGAN Percent",JULIO VARGAS,JULIO VARGAS Percent,precinct_id
30,1,156,92,58.97,2,1.28,35,22.44,27,17.31,30001
30,2,129,109,84.5,0,0.0,13,10.08,7,5.43,30002
30,3,216,139,64.35,18,8.33,47,21.76,12,5.56,30003
30,4,158,125,79.11,2,1.27,30,18.99,1,0.63,30004
30,5,104,86,82.69,5,4.81,10,9.62,3,2.88,30005
30,6,115,88,76.52,3,2.61,8,6.96,16,13.91,30006
30,7,162,108,66.67,3,1.85,16,9.88,35,21.6,30007
30,8,183,107,58.47,11,6.01,55,30.05,10,5.46,30008
30,9,191,172,90.05,1,0.52,14,7.33,4,2.09,30009
30,10,183,145,79.23,3,1.64,13,7.1,22,12.02,30010
30,11,161,142,88.2,0,0.0,4,2.48,15,9.32,30011
30,12,122,97,79.51,0,0.0,11,9.02,14,11.48,30012
30,13,146,84,57.53,1,0.68,26,17.81,35,23.97,30013
30,14,61,52,85.25,3,4.92,5,8.2,1,1.64,30014
30,15,177,99,55.93,6,3.39,57,32.2,15,8.47,30015
30,16,118,86,72.88,5,4.24,17,14.41,10,8.47,30016
30,17,258,218,84.5,5,1.94,13,5.04,22,8.53,30017
30,18,45,40,88.89,3,6.67,1,2.22,1,2.22,30018
30,19,110,97,88.18,2,1.82,7,6.36,4,3.64,30019
30,20,144,117,81.25,8,5.56,8,5.56,11,7.64,30020
30,21,95,72,75.79,3,3.16,11,11.58,9,9.47,30021
30,22,158,125,79.11,14,8.86,11,6.96,8,5.06,30022
30,23,123,101,82.11,3,2.44,14,11.38,5,4.07,30023
30,24,116,86,74.14,4,3.45,15,12.93,11,9.48,30024
30,25,114,81,71.05,4,3.51,11,9.65,18,15.79,30025
30,26,96,74,77.08,1,1.04,14,14.58,7,7.29,30026
30,27,135,101,74.81,6,4.44,7,5.19,21,15.56,30027
30,28,163,140,85.89,2,1.23,8,4.91,13,7.98,30028
30,29,92,79,85.87,5,5.43,7,7.61,1,1.09,30029
30,30,179,148,82.68,3,1.68,20,11.17,8,4.47,30030
30,31,85,71,83.53,2,2.35,6,7.06,6,7.06,30031
30,32,77,66,85.71,2,2.6,6,7.79,3,3.9,30032
30,33,185,174,94.05,2,1.08,6,3.24,3,1.62,30033
30,34,188,179,95.21,1,0.53,2,1.06,6,3.19,30034
30,35,155,113,72.9,3,1.94,9,5.81,30,19.35,30035
30,36,172,145,84.3,11,6.4,16,9.3,0,0.0,30036
30,37,159,122,76.73,4,2.52,6,3.77,27,16.98,30037
30,38,210,140,66.67,11,5.24,38,18.1,21,10.0,30038
30,39,147,107,72.79,8,5.44,12,8.16,20,13.61,30039
30,40,150,116,77.33,1,0.67,13,8.67,20,13.33,30040
30,41,151,118,78.15,6,3.97,15,9.93,12,7.95,30041
