ward,precinct,total,RICARDO MUNOZ,RICARDO MUNOZ Percent,precinct_id
22,1,101,101,100.0,22001
22,2,83,83,100.0,22002
22,3,98,98,100.0,22003
22,4,129,129,100.0,22004
22,5,157,157,100.0,22005
22,6,126,126,100.0,22006
22,7,141,141,100.0,22007
22,8,101,101,100.0,22008
22,9,130,130,100.0,22009
22,10,107,107,100.0,22010
22,11,112,112,100.0,22011
22,12,86,86,100.0,22012
22,13,135,135,100.0,22013
22,14,98,98,100.0,22014
22,15,107,107,100.0,22015
22,16,140,140,100.0,22016
22,17,120,120,100.0,22017
22,18,119,119,100.0,22018
22,19,103,103,100.0,22019
22,20,124,124,100.0,22020
22,21,148,148,100.0,22021
22,22,91,91,100.0,22022
22,23,72,72,100.0,22023
22,24,111,111,100.0,22024
22,25,83,83,100.0,22025
22,26,81,81,100.0,22026
22,27,117,117,100.0,22027
22,28,83,83,100.0,22028
22,29,80,80,100.0,22029
22,30,121,121,100.0,22030
