ward,precinct,total,DOROTHY J. TILLMAN,DOROTHY J. TILLMAN Percent,PAT DOWELL,PAT DOWELL Percent,"KENNETH """"KENNY"""" SAWYER","KENNETH """"KENNY"""" SAWYER Percent",DOROTHY OLIVIER-HARRIS,DOROTHY OLIVIER-HARRIS Percent,precinct_id
3,1,161,84,52.17,64,39.75,8,4.97,5,3.11,03001
3,2,280,145,51.79,111,39.64,19,6.79,5,1.79,03002
3,3,123,34,27.64,68,55.28,17,13.82,4,3.25,03003
3,4,61,17,27.87,28,45.9,11,18.03,5,8.2,03004
3,5,108,79,73.15,22,20.37,5,4.63,2,1.85,03005
3,6,87,51,58.62,7,8.05,20,22.99,9,10.34,03006
3,7,204,127,62.25,52,25.49,15,7.35,10,4.9,03007
3,8,25,6,24.0,7,28.0,9,36.0,3,12.0,03008
3,9,148,81,54.73,56,37.84,7,4.73,4,2.7,03009
3,10,88,58,65.91,24,27.27,5,5.68,1,1.14,03010
3,11,93,32,34.41,54,58.06,6,6.45,1,1.08,03011
3,12,205,101,49.27,49,23.9,44,21.46,11,5.37,03012
3,13,146,20,13.7,83,56.85,37,25.34,6,4.11,03013
3,14,110,67,60.91,25,22.73,12,10.91,6,5.45,03014
3,15,206,86,41.75,101,49.03,13,6.31,6,2.91,03015
3,16,344,160,46.51,166,48.26,14,4.07,4,1.16,03016
3,17,129,63,48.84,41,31.78,21,16.28,4,3.1,03017
3,18,128,89,69.53,28,21.88,6,4.69,5,3.91,03018
3,19,51,24,47.06,16,31.37,7,13.73,4,7.84,03019
3,20,26,8,30.77,12,46.15,3,11.54,3,11.54,03020
3,21,88,58,65.91,25,28.41,3,3.41,2,2.27,03021
3,22,105,65,61.9,38,36.19,2,1.9,0,0.0,03022
3,23,22,12,54.55,4,18.18,0,0.0,6,27.27,03023
3,24,155,96,61.94,48,30.97,9,5.81,2,1.29,03024
3,25,32,14,43.75,5,15.63,5,15.63,8,25.0,03025
3,26,119,57,47.9,53,44.54,9,7.56,0,0.0,03026
3,27,7,1,14.29,4,57.14,0,0.0,2,28.57,03027
3,28,86,38,44.19,15,17.44,13,15.12,20,23.26,03028
3,29,152,91,59.87,36,23.68,20,13.16,5,3.29,03029
3,30,134,51,38.06,75,55.97,8,5.97,0,0.0,03030
3,31,269,167,62.08,82,30.48,16,5.95,4,1.49,03031
3,32,115,56,48.7,47,40.87,10,8.7,2,1.74,03032
3,33,193,87,45.08,89,46.11,15,7.77,2,1.04,03033
3,34,139,52,37.41,79,56.83,6,4.32,2,1.44,03034
3,35,159,73,45.91,78,49.06,6,3.77,2,1.26,03035
3,36,79,56,70.89,14,17.72,6,7.59,3,3.8,03036
3,37,92,36,39.13,44,47.83,11,11.96,1,1.09,03037
3,38,35,20,57.14,12,34.29,2,5.71,1,2.86,03038
3,39,309,165,53.4,108,34.95,31,10.03,5,1.62,03039
3,40,214,113,52.8,71,33.18,24,11.21,6,2.8,03040
3,41,177,115,64.97,44,24.86,9,5.08,9,5.08,03041
3,42,100,61,61.0,32,32.0,7,7.0,0,0.0,03042
3,43,79,63,79.75,11,13.92,1,1.27,4,5.06,03043
3,44,57,38,66.67,17,29.82,1,1.75,1,1.75,03044
3,45,86,27,31.4,19,22.09,9,10.47,31,36.05,03045
3,46,195,132,67.69,48,24.62,12,6.15,3,1.54,03046
3,47,106,50,47.17,41,38.68,12,11.32,3,2.83,03047
3,48,134,94,70.15,29,21.64,5,3.73,6,4.48,03048
3,49,47,18,38.3,19,40.43,7,14.89,3,6.38,03049
3,50,185,149,80.54,29,15.68,6,3.24,1,0.54,03050
3,51,61,21,34.43,25,40.98,14,22.95,1,1.64,03051
3,52,76,48,63.16,18,23.68,7,9.21,3,3.95,03052
3,53,184,115,62.5,45,24.46,18,9.78,6,3.26,03053
3,54,149,12,8.05,91,61.07,44,29.53,2,1.34,03054
3,55,113,80,70.8,17,15.04,14,12.39,2,1.77,03055
3,56,153,74,48.37,69,45.1,5,3.27,5,3.27,03056
3,57,165,84,50.91,68,41.21,12,7.27,1,0.61,03057
3,58,66,18,27.27,37,56.06,10,15.15,1,1.52,03058
3,59,71,53,74.65,7,9.86,9,12.68,2,2.82,03059
3,60,142,83,58.45,51,35.92,6,4.23,2,1.41,03060
3,61,148,67,45.27,58,39.19,17,11.49,6,4.05,03061
3,62,76,47,61.84,9,11.84,15,19.74,5,6.58,03062
3,63,91,18,19.78,54,59.34,16,17.58,3,3.3,03063
