ward,precinct,total,ELI WASHINGTON,ELI WASHINGTON Percent,WILLYE B. WHITE,WILLYE B. WHITE Percent,EUGENE C. DAVIS,EUGENE C. DAVIS Percent,FREDDRENNA M. LYLE,FREDDRENNA M. LYLE Percent,precinct_id
6,1,260,51,19.62,50,19.23,43,16.54,116,44.62,06001
6,2,258,110,42.64,28,10.85,65,25.19,55,21.32,06002
6,3,246,66,26.83,25,10.16,45,18.29,110,44.72,06003
6,4,175,39,22.29,44,25.14,31,17.71,61,34.86,06004
6,5,95,6,6.32,39,41.05,20,21.05,30,31.58,06005
6,6,200,27,13.5,77,38.5,15,7.5,81,40.5,06006
6,7,208,37,17.79,48,23.08,24,11.54,99,47.6,06007
6,8,204,30,14.71,49,24.02,39,19.12,86,42.16,06008
6,9,154,23,14.94,11,7.14,36,23.38,84,54.55,06009
6,10,262,74,28.24,30,11.45,32,12.21,126,48.09,06010
6,11,208,18,8.65,82,39.42,18,8.65,90,43.27,06011
6,12,153,17,11.11,43,28.1,37,24.18,56,36.6,06012
6,13,193,63,32.64,19,9.84,62,32.12,49,25.39,06013
6,14,186,36,19.35,28,15.05,45,24.19,77,41.4,06014
6,15,164,20,12.2,60,36.59,44,26.83,40,24.39,06015
6,16,222,36,16.22,65,29.28,45,20.27,76,34.23,06016
6,17,262,27,10.31,33,12.6,82,31.3,120,45.8,06017
6,18,49,13,26.53,19,38.78,7,14.29,10,20.41,06018
6,19,215,44,20.47,43,20.0,60,27.91,68,31.63,06019
6,20,194,22,11.34,49,25.26,29,14.95,94,48.45,06020
6,21,213,31,14.55,26,12.21,43,20.19,113,53.05,06021
6,22,196,41,20.92,22,11.22,50,25.51,83,42.35,06022
6,23,152,29,19.08,33,21.71,24,15.79,66,43.42,06023
6,24,221,81,36.65,16,7.24,39,17.65,85,38.46,06024
6,25,159,49,30.82,15,9.43,63,39.62,32,20.13,06025
6,26,245,120,48.98,16,6.53,56,22.86,53,21.63,06026
6,27,289,99,34.26,25,8.65,77,26.64,88,30.45,06027
6,28,367,76,20.71,16,4.36,137,37.33,138,37.6,06028
6,29,267,58,21.72,36,13.48,45,16.85,128,47.94,06029
6,30,188,36,19.15,54,28.72,7,3.72,91,48.4,06030
6,31,266,48,18.05,38,14.29,61,22.93,119,44.74,06031
6,32,246,39,15.85,79,32.11,24,9.76,104,42.28,06032
6,33,248,28,11.29,88,35.48,37,14.92,95,38.31,06033
6,34,168,51,30.36,21,12.5,36,21.43,60,35.71,06034
6,35,270,61,22.59,57,21.11,40,14.81,112,41.48,06035
6,36,94,18,19.15,21,22.34,22,23.4,33,35.11,06036
6,37,229,37,16.16,48,20.96,51,22.27,93,40.61,06037
6,38,209,18,8.61,44,21.05,34,16.27,113,54.07,06038
6,39,193,29,15.03,36,18.65,40,20.73,88,45.6,06039
6,40,96,12,12.5,28,29.17,29,30.21,27,28.13,06040
6,41,198,52,26.26,29,14.65,32,16.16,85,42.93,06041
6,42,103,12,11.65,39,37.86,17,16.5,35,33.98,06042
6,43,229,22,9.61,37,16.16,40,17.47,130,56.77,06043
6,44,204,25,12.25,52,25.49,37,18.14,90,44.12,06044
6,45,135,21,15.56,45,33.33,11,8.15,58,42.96,06045
6,46,207,26,12.56,55,26.57,40,19.32,86,41.55,06046
6,47,227,38,16.74,47,20.7,48,21.15,94,41.41,06047
6,48,233,25,10.73,70,30.04,11,4.72,127,54.51,06048
6,49,195,32,16.41,56,28.72,42,21.54,65,33.33,06049
6,50,200,32,16.0,20,10.0,48,24.0,100,50.0,06050
6,51,165,28,16.97,38,23.03,26,15.76,73,44.24,06051
6,52,147,27,18.37,35,23.81,28,19.05,57,38.78,06052
6,53,163,25,15.34,22,13.5,42,25.77,74,45.4,06053
6,54,172,12,6.98,43,25.0,59,34.3,58,33.72,06054
6,55,170,29,17.06,42,24.71,13,7.65,86,50.59,06055
6,56,172,21,12.21,47,27.33,12,6.98,92,53.49,06056
6,57,108,8,7.41,20,18.52,36,33.33,44,40.74,06057
6,58,234,41,17.52,44,18.8,52,22.22,97,41.45,06058
6,59,172,42,24.42,28,16.28,21,12.21,81,47.09,06059
6,60,136,27,19.85,36,26.47,32,23.53,41,30.15,06060
6,61,127,25,19.69,28,22.05,14,11.02,60,47.24,06061
6,62,78,14,17.95,10,12.82,24,30.77,30,38.46,06062
6,63,176,29,16.48,49,27.84,29,16.48,69,39.2,06063
6,64,245,37,15.1,33,13.47,56,22.86,119,48.57,06064
6,65,65,14,21.54,9,13.85,9,13.85,33,50.77,06065
6,66,201,25,12.44,78,38.81,32,15.92,66,32.84,06066
