ward,precinct,total,"HOWARD B. BROOKINS, JR.","HOWARD B. BROOKINS, JR. Percent",LEONARD DeVILLE,LEONARD DeVILLE Percent,BARBARA J. JONES (B.J.),BARBARA J. JONES (B.J.) Percent,WOODY T. REMBERT,WOODY T. REMBERT Percent,KEVIN AMMONS,KEVIN AMMONS Percent,ADRIENNE A. SMITH,ADRIENNE A. SMITH Percent,precinct_id
21,1,264,96,36.36,107,40.53,32,12.12,2,0.76,6,2.27,21,7.95,21001
21,2,55,17,30.91,27,49.09,3,5.45,1,1.82,5,9.09,2,3.64,21002
21,3,279,92,32.97,143,51.25,29,10.39,1,0.36,3,1.08,11,3.94,21003
21,4,263,95,36.12,115,43.73,35,13.31,1,0.38,1,0.38,16,6.08,21004
21,5,207,79,38.16,111,53.62,8,3.86,4,1.93,0,0.0,5,2.42,21005
21,6,180,62,34.44,64,35.56,19,10.56,1,0.56,22,12.22,12,6.67,21006
21,7,230,80,34.78,80,34.78,66,28.7,1,0.43,1,0.43,2,0.87,21007
21,8,187,58,31.02,73,39.04,19,10.16,7,3.74,1,0.53,29,15.51,21008
21,9,189,75,39.68,91,48.15,13,6.88,3,1.59,2,1.06,5,2.65,21009
21,10,142,56,39.44,71,50.0,6,4.23,0,0.0,1,0.7,8,5.63,21010
21,11,202,93,46.04,88,43.56,6,2.97,2,0.99,2,0.99,11,5.45,21011
21,12,237,133,56.12,86,36.29,6,2.53,0,0.0,5,2.11,7,2.95,21012
21,13,89,39,43.82,46,51.69,0,0.0,0,0.0,2,2.25,2,2.25,21013
21,14,215,68,31.63,109,50.7,10,4.65,1,0.47,2,0.93,25,11.63,21014
21,15,136,42,30.88,79,58.09,5,3.68,0,0.0,4,2.94,6,4.41,21015
21,16,180,65,36.11,90,50.0,10,5.56,2,1.11,8,4.44,5,2.78,21016
21,17,100,39,39.0,51,51.0,6,6.0,1,1.0,0,0.0,3,3.0,21017
21,18,202,62,30.69,122,60.4,9,4.46,4,1.98,4,1.98,1,0.5,21018
21,19,157,65,41.4,73,46.5,4,2.55,1,0.64,1,0.64,13,8.28,21019
21,20,80,31,38.75,29,36.25,10,12.5,1,1.25,0,0.0,9,11.25,21020
21,21,239,102,42.68,102,42.68,13,5.44,5,2.09,5,2.09,12,5.02,21021
21,22,216,77,35.65,120,55.56,10,4.63,1,0.46,1,0.46,7,3.24,21022
21,23,163,74,45.4,77,47.24,4,2.45,2,1.23,1,0.61,5,3.07,21023
21,24,203,78,38.42,118,58.13,5,2.46,0,0.0,0,0.0,2,0.99,21024
21,25,162,71,43.83,80,49.38,7,4.32,1,0.62,0,0.0,3,1.85,21025
21,26,142,69,48.59,67,47.18,4,2.82,0,0.0,1,0.7,1,0.7,21026
21,27,232,65,28.02,143,61.64,7,3.02,13,5.6,3,1.29,1,0.43,21027
21,28,156,57,36.54,88,56.41,4,2.56,1,0.64,0,0.0,6,3.85,21028
21,29,78,22,28.21,41,52.56,4,5.13,2,2.56,1,1.28,8,10.26,21029
21,30,151,46,30.46,77,50.99,7,4.64,3,1.99,9,5.96,9,5.96,21030
21,31,277,93,33.57,163,58.84,10,3.61,0,0.0,3,1.08,8,2.89,21031
21,32,110,42,38.18,63,57.27,1,0.91,0,0.0,1,0.91,3,2.73,21032
21,33,205,85,41.46,74,36.1,38,18.54,0,0.0,2,0.98,6,2.93,21033
21,34,197,61,30.96,98,49.75,7,3.55,1,0.51,30,15.23,0,0.0,21034
21,35,120,51,42.5,51,42.5,12,10.0,0,0.0,2,1.67,4,3.33,21035
21,36,166,63,37.95,80,48.19,8,4.82,3,1.81,5,3.01,7,4.22,21036
21,37,141,58,41.13,70,49.65,5,3.55,1,0.71,5,3.55,2,1.42,21037
21,38,194,52,26.8,106,54.64,23,11.86,4,2.06,4,2.06,5,2.58,21038
21,39,134,49,36.57,60,44.78,7,5.22,0,0.0,11,8.21,7,5.22,21039
21,40,178,80,44.94,70,39.33,18,10.11,1,0.56,8,4.49,1,0.56,21040
21,41,141,28,19.86,77,54.61,5,3.55,1,0.71,25,17.73,5,3.55,21041
21,42,199,66,33.17,118,59.3,9,4.52,0,0.0,2,1.01,4,2.01,21042
21,43,172,75,43.6,75,43.6,7,4.07,4,2.33,4,2.33,7,4.07,21043
21,44,183,57,31.15,98,53.55,17,9.29,1,0.55,5,2.73,5,2.73,21044
21,45,147,54,36.73,82,55.78,5,3.4,1,0.68,0,0.0,5,3.4,21045
