ward,precinct,total,MARY ANN SMITH,MARY ANN SMITH Percent,KURT JAMES ECKHARDT,KURT JAMES ECKHARDT Percent,precinct_id
48,1,149,120,80.54,29,19.46,48001
48,2,183,140,76.5,43,23.5,48002
48,3,226,177,78.32,49,21.68,48003
48,4,177,128,72.32,49,27.68,48004
48,5,173,142,82.08,31,17.92,48005
48,6,229,185,80.79,44,19.21,48006
48,7,104,78,75.0,26,25.0,48007
48,8,135,106,78.52,29,21.48,48008
48,9,183,134,73.22,49,26.78,48009
48,10,98,81,82.65,17,17.35,48010
48,11,192,157,81.77,35,18.23,48011
48,12,108,94,87.04,14,12.96,48012
48,13,139,113,81.29,26,18.71,48013
48,14,267,194,72.66,73,27.34,48014
48,15,273,260,95.24,13,4.76,48015
48,16,139,113,81.29,26,18.71,48016
48,17,133,107,80.45,26,19.55,48017
48,18,124,99,79.84,25,20.16,48018
48,19,155,133,85.81,22,14.19,48019
48,20,84,69,82.14,15,17.86,48020
48,21,91,66,72.53,25,27.47,48021
48,22,277,202,72.92,75,27.08,48022
48,23,175,120,68.57,55,31.43,48023
48,24,218,187,85.78,31,14.22,48024
48,25,162,120,74.07,42,25.93,48025
48,26,169,127,75.15,42,24.85,48026
48,27,119,95,79.83,24,20.17,48027
48,28,191,158,82.72,33,17.28,48028
48,29,205,185,90.24,20,9.76,48029
48,30,140,110,78.57,30,21.43,48030
48,31,127,99,77.95,28,22.05,48031
48,32,197,125,63.45,72,36.55,48032
48,33,176,120,68.18,56,31.82,48033
48,34,98,74,75.51,24,24.49,48034
48,35,119,103,86.55,16,13.45,48035
48,36,167,132,79.04,35,20.96,48036
48,37,106,89,83.96,17,16.04,48037
48,38,184,149,80.98,35,19.02,48038
48,39,156,124,79.49,32,20.51,48039
48,40,80,56,70.0,24,30.0,48040
48,41,85,54,63.53,31,36.47,48041
48,42,105,80,76.19,25,23.81,48042
48,43,119,89,74.79,30,25.21,48043
48,44,113,93,82.3,20,17.7,48044
48,45,137,105,76.64,32,23.36,48045
48,46,107,81,75.7,26,24.3,48046
48,47,89,64,71.91,25,28.09,48047
48,48,121,93,76.86,28,23.14,48048
48,49,61,51,83.61,10,16.39,48049
48,50,172,139,80.81,33,19.19,48050
48,51,199,157,78.89,42,21.11,48051
48,52,97,81,83.51,16,16.49,48052
48,53,151,102,67.55,49,32.45,48053
48,54,109,79,72.48,30,27.52,48054
48,55,89,70,78.65,19,21.35,48055
48,56,161,135,83.85,26,16.15,48056
