ward,precinct,total,FRANK J. OLIVO,FRANK J. OLIVO Percent,precinct_id
13,1,250,250,100.0,13001
13,2,200,200,100.0,13002
13,3,195,195,100.0,13003
13,4,348,348,100.0,13004
13,5,179,179,100.0,13005
13,6,199,199,100.0,13006
13,7,267,267,100.0,13007
13,8,272,272,100.0,13008
13,9,264,264,100.0,13009
13,10,243,243,100.0,13010
13,11,220,220,100.0,13011
13,12,233,233,100.0,13012
13,13,303,303,100.0,13013
13,14,185,185,100.0,13014
13,15,276,276,100.0,13015
13,16,206,206,100.0,13016
13,17,271,271,100.0,13017
13,18,197,197,100.0,13018
13,19,171,171,100.0,13019
13,20,175,175,100.0,13020
13,21,188,188,100.0,13021
13,22,260,260,100.0,13022
13,23,213,213,100.0,13023
13,24,289,289,100.0,13024
13,25,173,173,100.0,13025
13,26,167,167,100.0,13026
13,27,304,304,100.0,13027
13,28,170,170,100.0,13028
13,29,237,237,100.0,13029
13,30,187,187,100.0,13030
13,31,174,174,100.0,13031
13,32,158,158,100.0,13032
13,33,209,209,100.0,13033
13,34,257,257,100.0,13034
13,35,256,256,100.0,13035
13,36,151,151,100.0,13036
13,37,144,144,100.0,13037
13,38,224,224,100.0,13038
13,39,204,204,100.0,13039
13,40,190,190,100.0,13040
13,41,184,184,100.0,13041
13,42,314,314,100.0,13042
13,43,188,188,100.0,13043
13,44,381,381,100.0,13044
13,45,363,363,100.0,13045
13,46,239,239,100.0,13046
13,47,226,226,100.0,13047
13,48,175,175,100.0,13048
13,49,271,271,100.0,13049
13,50,283,283,100.0,13050
13,51,198,198,100.0,13051
13,52,272,272,100.0,13052
13,53,269,269,100.0,13053
13,54,252,252,100.0,13054
