ward,precinct,total,WILLIAM M. BEAVERS,WILLIAM M. BEAVERS Percent,precinct_id
7,1,172,172,100.0,07001
7,2,180,180,100.0,07002
7,3,104,104,100.0,07003
7,4,130,130,100.0,07004
7,5,105,105,100.0,07005
7,6,95,95,100.0,07006
7,7,97,97,100.0,07007
7,8,45,45,100.0,07008
7,9,101,101,100.0,07009
7,10,98,98,100.0,07010
7,11,123,123,100.0,07011
7,12,117,117,100.0,07012
7,13,95,95,100.0,07013
7,14,160,160,100.0,07014
7,15,78,78,100.0,07015
7,16,89,89,100.0,07016
7,17,97,97,100.0,07017
7,18,79,79,100.0,07018
7,19,184,184,100.0,07019
7,20,74,74,100.0,07020
7,21,152,152,100.0,07021
7,22,122,122,100.0,07022
7,23,89,89,100.0,07023
7,24,128,128,100.0,07024
7,25,131,131,100.0,07025
7,26,191,191,100.0,07026
7,27,182,182,100.0,07027
7,28,155,155,100.0,07028
7,29,93,93,100.0,07029
7,30,162,162,100.0,07030
7,31,135,135,100.0,07031
7,32,94,94,100.0,07032
7,33,138,138,100.0,07033
7,34,105,105,100.0,07034
7,35,77,77,100.0,07035
7,36,164,164,100.0,07036
7,37,69,69,100.0,07037
7,38,97,97,100.0,07038
7,39,110,110,100.0,07039
7,40,159,159,100.0,07040
7,41,112,112,100.0,07041
7,42,183,183,100.0,07042
7,43,154,154,100.0,07043
7,44,150,150,100.0,07044
7,45,204,204,100.0,07045
7,46,82,82,100.0,07046
7,47,114,114,100.0,07047
7,48,38,38,100.0,07048
7,49,90,90,100.0,07049
7,50,91,91,100.0,07050
7,51,107,107,100.0,07051
7,52,109,109,100.0,07052
7,53,94,94,100.0,07053
7,54,66,66,100.0,07054
7,55,125,125,100.0,07055
7,56,104,104,100.0,07056
7,57,108,108,100.0,07057
7,58,185,185,100.0,07058
7,59,74,74,100.0,07059
7,60,97,97,100.0,07060
7,61,121,121,100.0,07061
7,62,138,138,100.0,07062
7,63,134,134,100.0,07063
7,64,103,103,100.0,07064
7,65,126,126,100.0,07065
